dataset,variable,word_column,mean_column,sd_column,n_items,min_score,max_score,n_per_item
Kuperman2012.csv,aoa,word_english,aoa_mean,aoa_sd,31105,1.58,25,20
Lachaud2007.csv,aoa,word_french,aoa_mean,aoa_sd,1225,2.8,24,20
Manoiloff2010.csv,aoa,word_spanish,aoa_mean,aoa_sd,400,1.14,4.72,35
Marques2007.csv,aoa,word_portuguese,aoa_mean,aoa_sd,834,1.05,7.71,22
Masterson1998.csv,aoa,word_english,aoa_mean,aoa_sd,266,1.3,4.56,40
Miklashevsky2018.csv,aoa,word_russian,aoa_mean,aoa_sd,506,2.54,11.78,20
Mochizuki2025.csv,aoa,word_japanese,aoa_mean,aoa_sd,5736,2.463414634,6.85106383,40
Montefinese2019.csv,aoa,word_italian,aoa_mean,aoa_sd,1957,1.88,14.35,25
Moors2013.csv,aoa,word_dutch,aoa_mean,aoa_sd,4299,2.03,14.58,32
Moreno-Martinez2012.csv,aoa,word_spanish,aoa_mean,aoa_sd,360,1.37,6.73,77
Navarrete2019.csv,aoa,word_italian,aoa_mean,aoa_sd,357,1.42,6.83,81
PetiStantic2021.csv,aoa,word_croatian,aoa_mean,aoa_sd,6000,2.24137931,16.72222222,30
Raman2014.csv,aoa,word_turkish,aoa_mean,aoa_sd,260,0.18,1.47,61
Rami2022.csv,aoa,word_arabic_moroccan,aoa_mean,aoa_sd,130,1,4.08,40
Russell1970.csv,aoa,word_german,aoa_mean,aoa_sd,824,1.25,6.95,20
Ruts2004.csv,aoa,word_dutch,aoa_mean,aoa_sd,338,3.38,12.86,24
Schock2012.csv,aoa,word_english,aoa_mean,aoa_sd,3000,1.76,6.45,32
Schroder2012.csv,aoa,word_german,aoa_mean,aoa_sd,824,1.25,6.947368421,20
Schwitter2004.csv,aoa,word_french,aoa_mean,aoa_sd,112,1.13,3.9,30
Scott2017.csv,aoa,word_english,aoa_mean,aoa_sd,5553,1.1935,6.9714,34
Scott2019.csv,aoa,word_english,aoa_mean,aoa_sd,5553,1.219,6.971,34
Stration1975.csv,aoa,word_english,aoa_mean,aoa_sd,506,1.54,8.85,30
Tabossi2011.csv,aoa,word_italian_idiom,aoa_mean,aoa_sd,245,2.2,6,42
Tsaparina2011.csv,aoa,word_russian,aoa_mean,aoa_sd,260,1.19,4.29,35
Valueva2025.csv,aoa,word_russian,aoa_mean,aoa_sd,30846,1.65,21,30
Verheyen2020.csv,aoa,word_dutch,aoa_mean,aoa_sd,1000,2.8,15.39,20
Xu2021.csv,aoa,word_chinese_simplified,aoa_mean,aoa_sd,19716,3.9,21.2,15
