word_german,word_english,semantic_category,exemplar_generation_n_20,exemplar_generation_percent,typical_M,typical_SD,aoa_M,aoa_SD,familiar_M,familiar_SD,frequency,frequency_log,phonemes,syllables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ente,duck,animal,5,0.25,1.30,0.66,1.80,0.62,3.85,1.14,5.40,0.73,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
regenwurm,earthworm,animal,1,0.05,3.05,1.88,2.45,0.60,3.30,1.30,2.07,0.32,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aal,eel,animal,1,0.05,2.79,1.87,3.05,1.10,3.00,1.17,3.20,0.50,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elefant,elephant,animal,11,0.55,1.15,0.67,2.05,0.76,3.65,1.04,10.28,1.01,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elch,elk,animal,2,0.10,2.35,1.31,3.95,1.10,2.90,1.25,0.56,-0.25,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frettchen,ferret,animal,2,0.10,3.79,1.93,4.60,1.39,1.85,0.93,0.09,-1.05,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fisch,fish,animal,13,0.65,1.42,0.90,1.50,0.51,4.55,0.76,42.66,1.63,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuchs,fox,animal,13,0.65,1.75,1.41,2.15,0.67,3.10,1.41,12.57,1.10,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frosch,frog,animal,8,0.40,2.15,1.57,2.05,0.83,3.40,1.43,6.65,0.82,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kreuzspinne,garden spider,animal,1,0.05,4.45,1.93,3.80,1.40,2.85,1.23,0.21,-0.67,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gazelle,gazelle,animal,2,0.10,3.10,1.77,4.80,1.01,2.42,1.30,0.69,-0.16,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
giraffe,giraffe,animal,12,0.60,1.60,1.05,2.35,0.81,3.00,1.17,0.95,-0.02,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ziege,goat,animal,12,0.60,1.85,1.27,2.00,0.56,3.45,1.05,5.98,0.78,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gans,goose,animal,4,0.20,1.20,0.41,1.90,0.64,3.85,1.14,9.64,0.98,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meerschweinchen,guinea pig,animal,8,0.40,2.55,1.61,2.75,0.72,3.55,1.28,1.23,0.09,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hamster,hamster,animal,8,0.40,1.90,1.29,2.75,0.97,3.05,1.15,1.09,0.04,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hase,hare,animal,11,0.55,1.35,0.93,1.70,0.66,3.80,1.15,8.22,0.91,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
igel,hedgehog,animal,8,0.40,1.95,1.23,1.95,0.51,3.50,1.10,2.16,0.33,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nilpferd,hippopotamus,animal,8,0.40,2.70,1.34,3.60,1.27,2.40,1.31,0.83,-0.08,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pferd,horse,animal,15,0.75,1.05,0.22,1.75,0.55,3.20,1.40,76.31,1.88,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buckelwal,humpback whale,animal,1,0.05,3.60,1.98,4.90,1.55,2.21,0.92,0.02,-1.79,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steinbock,ibex,animal,1,0.05,2.90,1.68,4.45,1.61,2.55,1.23,0.88,-0.05,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
