category,word_english,typical_M_older,typical_SD_older,familiar_M_older,familiar_SD_older,unknown_percent_older,frequency_M_older,frequency_SD_older,visual_complex_M_older,visual_complex_SD_older,imagine_M_older,imagine_SD_older,aoa_M_older,aoa_SD_older,,typical_M_younger,typical_SD_younger,familiar_M_younger,familiar_SD_younger,unknown_percent_younger,frequency_M_younger,frequency_SD_younger,visual_complex_M_younger,visual_complex_SD_younger,imagine_M_younger,imagine_SD_younger,aoa_M_younger,aoa_SD_younger,,,
Animals,chipmunk,4.458 ,(1.624),3.255 ,(1.496),7.843 ,2.340 ,(1.069),4.043 ,(1.488),4.660 ,(1.659),6.711 ,(0.589),,4.000 ,(1.743),3.849 ,(1.574),0.000 ,2.660 ,(1.344),4.280 ,(1.179),4.480 ,(1.432),4.250 ,(1.100),,,
Animals,cod,4.098 ,(2.369),5.288 ,(1.513),0.000 ,4.327 ,(1.812),3.288 ,(1.513),5.635 ,(1.521),4.667 ,(1.424),,3.038 ,(1.860),5.113 ,(1.489),0.000 ,4.226 ,(1.515),2.885 ,(1.132),4.846 ,(1.513),3.830 ,(0.995),,,
Animals,cougar,4.830 ,(1.878),3.623 ,(1.712),1.852 ,2.264 ,(1.022),3.981 ,(1.550),4.808 ,(1.704),6.491 ,(0.953),,4.061 ,(1.983),2.970 ,(1.610),36.538 ,2.303 ,(1.287),4.276 ,(1.192),3.793 ,(1.677),5.242 ,(1.275),,,
Animals,cow,6.852 ,(0.408),6.537 ,(0.905),0.000 ,5.685 ,(1.588),4.204 ,(1.857),6.698 ,(0.932),2.604 ,(1.321),,6.692 ,(0.544),6.327 ,(0.964),0.000 ,5.731 ,(1.239),3.731 ,(1.586),6.538 ,(0.753),1.904 ,(0.823),,,
Animals,coyote,4.480 ,(1.752),3.080 ,(1.748),5.660 ,2.180 ,(1.101),3.681 ,(1.643),4.553 ,(1.767),6.313 ,(1.151),,4.020 ,(1.790),3.660 ,(1.533),5.660 ,2.600 ,(1.485),4.000 ,(1.258),4.409 ,(1.604),4.429 ,(1.323),,,
Animals,crab,4.615 ,(1.922),5.019 ,(1.651),1.887 ,3.442 ,(1.526),4.615 ,(1.430),6.077 ,(1.152),4.019 ,(1.663),,4.019 ,(1.670),5.113 ,(1.368),0.000 ,3.472 ,(1.367),4.208 ,(1.364),5.792 ,(1.261),3.038 ,(1.018),,,
Animals,crocodile,5.167 ,(1.463),4.407 ,(1.775),0.000 ,2.796 ,(1.534),4.434 ,(1.587),6.130 ,(1.198),4.611 ,(1.485),,4.962 ,(1.544),5.113 ,(1.219),0.000 ,3.170 ,(1.451),4.491 ,(1.382),6.019 ,(1.065),3.019 ,(0.930),,,
Animals,deer,6.130 ,(1.360),5.444 ,(1.327),0.000 ,4.057 ,(1.748),4.296 ,(1.423),6.222 ,(1.327),4.296 ,(1.462),,5.615 ,(1.207),5.519 ,(1.213),0.000 ,3.846 ,(1.526),4.192 ,(1.373),6.000 ,(1.155),3.132 ,(1.001),,,
Animals,dingo,4.353 ,(2.018),3.220 ,(1.595),5.660 ,2.220 ,(1.166),3.653 ,(1.451),5.102 ,(1.461),6.592 ,(0.888),,3.778 ,(1.964),3.444 ,(1.358),15.094 ,2.267 ,(1.304),3.512 ,(1.247),4.225 ,(1.510),5.133 ,(1.100),,,
Animals,dog,6.981 ,(0.139),6.750 ,(0.711),0.000 ,6.667 ,(0.864),4.365 ,(1.910),6.538 ,(1.163),2.423 ,(1.513),,6.925 ,(0.331),6.698 ,(0.638),0.000 ,6.509 ,(0.800),3.887 ,(1.660),6.774 ,(0.609),1.604 ,(0.793),,,
Animals,dolphin,4.510 ,(1.736),4.846 ,(1.638),3.704 ,3.269 ,(1.483),3.731 ,(1.457),6.173 ,(1.200),6.137 ,(1.149),,4.755 ,(1.651),5.509 ,(1.234),0.000 ,4.038 ,(1.556),3.698 ,(1.339),6.283 ,(1.026),3.283 ,(1.133),,,
Animals,donkey,6.019 ,(1.236),5.370 ,(1.483),0.000 ,3.463 ,(1.587),3.963 ,(1.822),6.296 ,(1.110),3.315 ,(1.241),,5.698 ,(1.153),5.264 ,(1.332),0.000 ,3.830 ,(1.528),3.755 ,(1.299),6.115 ,(1.041),2.635 ,(1.030),,,
Animals,duck-billed platypus,3.600 ,(2.093),3.065 ,(1.769),13.208 ,1.978 ,(1.011),4.244 ,(1.464),4.778 ,(1.731),6.304 ,(0.986),,3.723 ,(1.964),3.936 ,(1.634),9.615 ,2.319 ,(1.144),4.435 ,(1.276),4.652 ,(1.538),4.787 ,(1.284),,,
Animals,eel,3.588 ,(1.899),4.000 ,(1.685),3.774 ,2.510 ,(1.223),2.706 ,(1.404),5.843 ,(1.419),5.020 ,(1.635),,3.173 ,(1.917),3.962 ,(1.427),1.887 ,2.731 ,(1.330),2.308 ,(1.039),5.000 ,(1.442),4.235 ,(1.242),,,
Animals,elephant,6.389 ,(1.156),5.491 ,(1.436),0.000 ,3.943 ,(1.703),4.358 ,(1.630),6.566 ,(0.910),3.407 ,(1.311),,6.208 ,(1.026),5.849 ,(1.307),0.000 ,4.245 ,(1.616),4.283 ,(1.378),6.491 ,(0.846),2.453 ,(1.048),,,
Animals,elk,5.000 ,(1.744),3.673 ,(1.560),7.547 ,2.271 ,(1.125),4.271 ,(1.333),5.020 ,(1.714),6.224 ,(1.246),,3.976 ,(1.891),3.350 ,(1.594),23.077 ,2.275 ,(1.109),4.394 ,(1.298),4.303 ,(1.403),5.256 ,(1.272),,,
Animals,ferret,4.852 ,(1.687),3.963 ,(1.625),0.000 ,2.481 ,(1.314),3.796 ,(1.653),5.167 ,(1.489),5.759 ,(1.317),,4.377 ,(1.757),4.283 ,(1.459),0.000 ,2.679 ,(1.237),3.788 ,(1.273),4.942 ,(1.474),4.283 ,(1.215),,,
Animals,fox,5.943 ,(1.262),5.057 ,(1.447),0.000 ,3.925 ,(1.674),4.151 ,(1.610),6.173 ,(1.133),4.170 ,(1.638),,6.038 ,(1.126),5.491 ,(1.280),0.000 ,4.057 ,(1.574),3.868 ,(1.287),6.151 ,(1.045),2.830 ,(0.871),,,
Animals,frog,5.113 ,(1.928),5.415 ,(1.562),1.852 ,3.604 ,(1.736),4.434 ,(1.538),6.245 ,(1.125),3.604 ,(1.349),,5.208 ,(1.691),5.811 ,(1.287),0.000 ,4.269 ,(1.483),4.226 ,(1.368),6.283 ,(1.063),2.377 ,(0.837),,,
Animals,gazelle,5.286 ,(1.633),3.857 ,(1.633),5.769 ,2.755 ,(1.465),4.408 ,(1.499),5.429 ,(1.708),6.102 ,(1.085),,4.646 ,(1.695),4.063 ,(1.479),9.434 ,2.688 ,(1.307),4.085 ,(1.213),4.745 ,(1.661),5.042 ,(1.220),,,
Animals,gerbil,4.692 ,(1.799),3.961 ,(1.843),1.923 ,2.667 ,(1.291),3.720 ,(1.565),4.940 ,(1.583),6.667 ,(0.841),,5.170 ,(1.397),5.113 ,(1.527),0.000 ,3.660 ,(1.427),3.528 ,(1.324),5.528 ,(1.395),3.434 ,(1.135),,,
Animals,giraffe,5.667 ,(1.427),4.685 ,(1.658),0.000 ,3.019 ,(1.498),4.389 ,(1.420),6.302 ,(1.295),4.019 ,(1.460),,5.472 ,(1.409),5.189 ,(1.442),0.000 ,3.358 ,(1.469),4.509 ,(1.502),6.189 ,(1.039),2.887 ,(0.934),,,
Animals,gnu,3.953 ,(2.035),2.818 ,(1.674),18.519 ,2.091 ,(1.158),3.923 ,(1.612),4.150 ,(1.748),6.682 ,(0.601),,3.517 ,(1.785),3.103 ,(1.589),45.283 ,2.138 ,(1.026),4.389 ,(1.290),3.824 ,(1.590),5.552 ,(1.325),,,
Animals,goat,6.096 ,(1.142),5.308 ,(1.408),0.000 ,3.788 ,(1.719),4.115 ,(1.580),6.077 ,(1.341),3.769 ,(1.463),,5.906 ,(1.061),5.415 ,(1.379),0.000 ,4.113 ,(1.515),3.712 ,(1.273),5.904 ,(1.053),2.712 ,(0.977),,,
Animals,goldfish,4.096 ,(2.135),5.192 ,(1.633),1.887 ,3.627 ,(1.732),3.667 ,(1.545),6.020 ,(1.364),3.788 ,(1.419),,4.472 ,(1.918),5.774 ,(1.382),0.000 ,4.792 ,(1.769),2.925 ,(1.452),6.434 ,(0.971),2.623 ,(0.965),,,
Animals,gopher,3.919 ,(1.801),2.162 ,(1.143),30.189 ,1.757 ,(0.925),3.563 ,(1.703),3.625 ,(1.773),6.909 ,(0.292),,3.729 ,(1.921),3.833 ,(1.826),9.434 ,2.458 ,(1.487),3.500 ,(1.254),4.357 ,(1.650),4.563 ,(1.219),,,
Animals,gorilla,6.019 ,(1.394),4.830 ,(1.590),0.000 ,3.396 ,(1.621),4.463 ,(1.622),6.259 ,(1.031),4.852 ,(1.323),,5.887 ,(1.050),5.283 ,(1.336),0.000 ,3.792 ,(1.680),4.415 ,(1.537),5.906 ,(1.079),3.212 ,(1.016),,,
Animals,guinea pig,4.923 ,(1.690),4.275 ,(1.650),3.774 ,2.820 ,(1.335),3.784 ,(1.540),5.373 ,(1.523),5.863 ,(1.167),,5.264 ,(1.534),5.321 ,(1.478),0.000 ,3.925 ,(1.385),3.472 ,(1.353),5.679 ,(1.578),3.358 ,(1.094),,,
Animals,haddock,4.373 ,(2.408),5.902 ,(1.552),1.923 ,5.569 ,(1.526),3.647 ,(1.695),6.000 ,(1.371),4.490 ,(1.543),,2.942 ,(1.851),4.865 ,(1.585),0.000 ,3.865 ,(1.358),3.400 ,(1.400),4.980 ,(1.518),4.173 ,(0.985),,,
Animals,hamster,5.170 ,(1.626),4.472 ,(1.782),1.852 ,3.340 ,(1.675),3.712 ,(1.333),5.577 ,(1.473),6.462 ,(0.979),,5.415 ,(1.336),5.547 ,(1.367),0.000 ,4.302 ,(1.475),3.453 ,(1.367),5.943 ,(1.231),3.151 ,(1.008),,,
Animals,hare,5.615 ,(1.416),5.135 ,(1.547),0.000 ,3.308 ,(1.675),4.212 ,(1.661),5.942 ,(1.195),4.385 ,(1.484),,5.226 ,(1.436),4.925 ,(1.479),0.000 ,3.302 ,(1.588),3.547 ,(1.435),5.679 ,(1.221),3.585 ,(1.046),,,
Animals,hedgehog,5.537 ,(1.526),5.130 ,(1.542),0.000 ,3.302 ,(1.526),4.278 ,(1.618),6.241 ,(1.212),4.537 ,(1.634),,5.472 ,(1.310),5.615 ,(1.286),0.000 ,4.231 ,(1.516),4.346 ,(1.399),6.212 ,(0.893),2.692 ,(0.961),,,
Animals,herring,3.925 ,(2.336),5.667 ,(1.427),0.000 ,4.611 ,(1.878),3.491 ,(1.601),6.019 ,(1.248),4.370 ,(1.629),,3.115 ,(1.711),4.500 ,(1.627),1.887 ,3.288 ,(1.637),3.240 ,(1.205),4.540 ,(1.681),4.288 ,(1.073),,,
Animals,hippopotamus,5.623 ,(1.496),4.365 ,(1.772),1.887 ,2.962 ,(1.544),4.264 ,(1.723),5.923 ,(1.341),4.811 ,(1.507),,5.528 ,(1.436),5.245 ,(1.518),0.000 ,3.415 ,(1.646),3.981 ,(1.337),5.698 ,(1.310),3.057 ,(1.151),,,
Animals,horse,6.852 ,(0.452),6.444 ,(1.058),0.000 ,5.352 ,(1.650),4.537 ,(1.734),6.717 ,(0.841),2.679 ,(1.451),,6.830 ,(0.379),6.358 ,(0.942),0.000 ,5.642 ,(1.257),4.170 ,(1.729),6.604 ,(0.743),1.962 ,(0.831),,,
Animals,hyena,4.981 ,(1.792),3.885 ,(1.653),1.887 ,2.635 ,(1.103),4.080 ,(1.455),5.260 ,(1.614),5.843 ,(1.189),,4.415 ,(1.692),4.264 ,(1.546),0.000 ,2.943 ,(1.350),4.080 ,(1.259),4.720 ,(1.512),4.566 ,(1.323),,,
Animals,iguana,3.896 ,(1.927),3.208 ,(1.798),11.111 ,2.167 ,(1.018),4.711 ,(1.502),4.844 ,(1.678),6.909 ,(0.291),,4.040 ,(1.807),4.140 ,(1.666),5.660 ,2.760 ,(1.479),4.543 ,(1.361),4.761 ,(1.676),5.347 ,(1.284),,,
Animals,impala,4.356 ,(1.932),3.356 ,(1.554),13.462 ,2.178 ,(0.984),4.023 ,(1.456),4.953 ,(1.632),6.814 ,(0.664),,4.300 ,(2.214),3.700 ,(1.636),81.132 ,2.500 ,(1.080),4.625 ,(0.916),4.250 ,(1.753),6.100 ,(1.101),,,
