category,word_english,typical_M_older,typical_SD_older,familiar_M_older,familiar_SD_older,unknown_percent_older,frequency_M_older,frequency_SD_older,visual_complex_M_older,visual_complex_SD_older,imagine_M_older,imagine_SD_older,aoa_M_older,aoa_SD_older,,typical_M_younger,typical_SD_younger,familiar_M_younger,familiar_SD_younger,unknown_percent_younger,frequency_M_younger,frequency_SD_younger,visual_complex_M_younger,visual_complex_SD_younger,imagine_M_younger,imagine_SD_younger,aoa_M_younger,aoa_SD_younger,,,
Vegetables,spring onion,5.833 ,(1.314),5.778 ,(1.525),0.000 ,4.963 ,(1.748),3.135 ,(1.609),6.170 ,(1.236),5.130 ,(1.637),,5.132 ,(1.557),5.679 ,(1.425),0.000 ,4.925 ,(1.517),2.635 ,(1.268),6.077 ,(1.234),4.245 ,(1.385),,,
Vegetables,sprout,6.444 ,(0.925),6.426 ,(0.903),0.000 ,5.630 ,(1.470),3.537 ,(1.610),6.537 ,(1.059),4.167 ,(1.611),,5.679 ,(1.237),5.528 ,(1.310),0.000 ,4.302 ,(1.694),2.358 ,(1.226),6.189 ,(1.093),3.288 ,(1.016),,,
Vegetables,swede,6.340 ,(0.898),6.226 ,(1.068),1.852 ,5.302 ,(1.636),3.057 ,(1.791),6.346 ,(1.186),4.404 ,(1.600),,4.913 ,(1.644),4.957 ,(1.445),13.208 ,3.652 ,(1.581),2.227 ,(0.912),5.136 ,(1.665),4.435 ,(1.276),,,
Vegetables,turnip,6.630 ,(0.808),6.519 ,(0.885),0.000 ,5.906 ,(1.181),2.815 ,(1.442),6.529 ,(0.924),3.385 ,(1.331),,5.830 ,(1.236),5.585 ,(1.307),0.000 ,4.736 ,(1.416),2.340 ,(1.159),6.170 ,(0.955),3.208 ,(1.215),,,
Vegetables,yam,4.255 ,(1.811),3.426 ,(1.908),11.321 ,2.489 ,(1.381),2.651 ,(1.429),4.674 ,(2.009),6.907 ,(0.366),,3.433 ,(1.942),3.467 ,(1.961),42.308 ,2.167 ,(1.177),2.238 ,(1.044),4.095 ,(1.670),6.233 ,(1.251),,,
Clothes,anorak,6.278 ,(1.106),6.426 ,(0.860),0.000 ,6.148 ,(1.139),3.833 ,(1.645),6.593 ,(0.858),6.642 ,(0.942),,6.000 ,(1.225),6.038 ,(1.208),0.000 ,5.642 ,(1.442),3.038 ,(1.315),6.208 ,(1.063),2.585 ,(0.929),,,
Clothes,apron,5.686 ,(1.594),6.353 ,(1.163),0.000 ,5.615 ,(1.751),2.692 ,(1.639),6.615 ,(0.867),3.481 ,(1.721),,3.396 ,(1.725),5.396 ,(1.378),0.000 ,3.943 ,(1.692),2.340 ,(1.143),6.075 ,(1.053),3.038 ,(1.037),,,
Clothes,balaclava,4.611 ,(1.816),5.537 ,(1.501),0.000 ,3.296 ,(1.513),2.704 ,(1.423),6.259 ,(1.306),5.407 ,(1.296),,3.774 ,(1.772),5.113 ,(1.368),0.000 ,3.057 ,(1.610),2.170 ,(0.935),6.132 ,(1.057),3.404 ,(1.071),,,
Clothes,ball dress,4.608 ,(1.779),4.804 ,(1.649),0.000 ,3.000 ,(1.442),4.392 ,(1.698),6.314 ,(1.104),5.529 ,(1.433),,3.906 ,(1.842),4.962 ,(1.400),0.000 ,3.358 ,(1.558),4.170 ,(1.438),5.830 ,(1.312),4.189 ,(1.653),,,
Clothes,bathrobe,5.231 ,(1.542),5.865 ,(1.314),0.000 ,5.404 ,(1.575),2.885 ,(1.437),6.308 ,(1.213),6.038 ,(1.252),,4.509 ,(1.577),5.830 ,(1.252),0.000 ,5.642 ,(1.594),2.679 ,(1.088),6.245 ,(1.108),3.269 ,(1.105),,,
Clothes,belt,5.556 ,(1.734),6.463 ,(0.884),0.000 ,6.204 ,(1.250),2.717 ,(1.747),6.698 ,(0.774),3.519 ,(1.397),,4.673 ,(1.833),6.327 ,(1.043),0.000 ,6.346 ,(1.046),2.192 ,(1.314),6.558 ,(0.698),2.692 ,(0.940),,,
Clothes,beret,4.926 ,(1.736),5.741 ,(1.443),0.000 ,4.074 ,(2.036),2.481 ,(1.587),6.537 ,(0.884),3.907 ,(1.508),,3.269 ,(1.773),4.846 ,(1.626),1.887 ,3.288 ,(1.525),2.135 ,(1.085),6.135 ,(1.085),4.135 ,(1.121),,,
Clothes,bikini,5.019 ,(1.631),5.315 ,(1.746),0.000 ,3.907 ,(1.533),2.722 ,(1.595),6.352 ,(1.031),6.944 ,(0.302),,4.528 ,(1.648),5.604 ,(1.198),0.000 ,4.208 ,(1.714),2.509 ,(1.234),6.245 ,(0.918),3.528 ,(1.353),,,
Clothes,blazer,6.333 ,(0.931),6.510 ,(0.784),0.000 ,5.490 ,(1.528),3.706 ,(1.735),6.471 ,(0.987),4.196 ,(1.357),,5.000 ,(1.559),5.577 ,(1.289),0.000 ,4.481 ,(1.842),3.077 ,(1.234),6.038 ,(1.188),3.192 ,(1.237),,,
Clothes,bloomers,4.596 ,(2.022),4.673 ,(1.876),3.704 ,2.538 ,(1.379),2.843 ,(1.541),5.750 ,(1.467),4.865 ,(1.961),,3.122 ,(1.691),3.640 ,(1.849),5.660 ,2.320 ,(1.362),2.714 ,(1.137),4.918 ,(1.656),4.660 ,(1.364),,,
Clothes,blouse,6.566 ,(0.821),6.415 ,(1.134),0.000 ,6.151 ,(1.511),3.698 ,(1.835),6.547 ,(0.889),3.679 ,(1.478),,6.038 ,(0.980),5.868 ,(1.241),0.000 ,5.528 ,(1.475),2.942 ,(1.211),6.308 ,(1.039),3.173 ,(1.200),,,
Clothes,body warmer,4.827 ,(1.654),4.635 ,(1.783),0.000 ,3.519 ,(1.831),2.784 ,(1.331),5.686 ,(1.378),6.712 ,(1.073),,4.774 ,(1.772),5.135 ,(1.657),0.000 ,4.192 ,(1.991),2.660 ,(1.159),5.736 ,(1.483),3.943 ,(1.433),,,
Clothes,boot,6.148 ,(1.406),6.500 ,(0.863),0.000 ,6.000 ,(1.244),3.630 ,(1.719),6.736 ,(0.560),3.170 ,(1.383),,4.906 ,(2.003),6.358 ,(0.879),0.000 ,6.415 ,(0.929),3.151 ,(1.537),6.547 ,(0.845),2.547 ,(1.084),,,
Clothes,bow tie,4.596 ,(1.636),5.038 ,(1.633),0.000 ,3.654 ,(1.426),2.885 ,(1.423),6.385 ,(0.993),5.827 ,(1.491),,4.057 ,(1.680),5.245 ,(1.555),0.000 ,3.585 ,(1.681),2.585 ,(1.167),6.302 ,(0.992),3.698 ,(1.011),,,
Clothes,boxer shorts,5.377 ,(1.417),5.170 ,(1.528),1.852 ,4.226 ,(1.846),2.774 ,(1.368),6.231 ,(1.059),6.906 ,(0.405),,5.472 ,(1.514),5.830 ,(1.369),0.000 ,5.528 ,(1.514),2.321 ,(1.237),6.208 ,(1.081),4.604 ,(1.405),,,
Clothes,braces,4.741 ,(1.673),5.611 ,(1.446),0.000 ,3.759 ,(1.883),2.852 ,(1.393),6.370 ,(1.015),3.667 ,(1.554),,3.189 ,(1.688),4.585 ,(1.622),0.000 ,2.906 ,(1.275),2.245 ,(1.036),5.585 ,(1.550),3.585 ,(1.082),,,
Clothes,brassiere,6.264 ,(1.041),6.132 ,(1.442),0.000 ,5.849 ,(1.844),3.642 ,(1.558),6.604 ,(0.743),6.208 ,(1.291),,5.404 ,(1.472),5.981 ,(1.350),0.000 ,5.692 ,(1.615),3.538 ,(1.514),6.288 ,(1.126),4.115 ,(1.278),,,
Clothes,briefs,6.212 ,(1.073),6.115 ,(1.293),0.000 ,6.058 ,(1.406),3.115 ,(1.700),6.385 ,(0.993),5.769 ,(1.767),,5.192 ,(1.585),5.962 ,(1.441),0.000 ,5.558 ,(1.934),2.269 ,(1.254),6.346 ,(1.186),3.500 ,(1.721),,,
Clothes,cagoule,5.302 ,(1.409),5.528 ,(1.324),1.852 ,4.358 ,(1.582),3.377 ,(1.390),5.962 ,(1.344),7.000 ,0.000 ,,4.942 ,(1.626),5.481 ,(1.321),1.887 ,4.750 ,(1.655),2.788 ,(1.362),5.942 ,(1.227),3.212 ,(1.348),,,
Clothes,cap,5.926 ,(1.330),6.333 ,(0.847),0.000 ,5.130 ,(1.760),2.963 ,(1.578),6.556 ,(0.861),3.340 ,(1.413),,5.208 ,(1.446),6.000 ,(1.038),0.000 ,5.528 ,(1.449),2.377 ,(1.130),6.509 ,(0.724),3.038 ,(1.192),,,
Clothes,cape,4.352 ,(1.885),4.833 ,(1.680),0.000 ,2.704 ,(1.110),2.500 ,(1.270),6.111 ,(1.327),4.796 ,(1.547),,3.264 ,(1.654),4.358 ,(1.469),0.000 ,2.755 ,(1.285),1.981 ,(0.888),5.528 ,(1.353),3.981 ,(1.278),,,
Clothes,cardigan,6.296 ,(1.002),6.500 ,(0.906),0.000 ,6.056 ,(1.379),3.509 ,(1.836),6.604 ,(0.817),3.667 ,(1.759),,6.170 ,(0.995),6.226 ,(1.171),0.000 ,5.585 ,(1.512),2.887 ,(1.281),6.566 ,(0.721),2.736 ,(1.077),,,
Clothes,chemise,4.346 ,(1.835),4.327 ,(1.642),3.704 ,2.731 ,(1.693),2.510 ,(1.223),5.115 ,(1.711),5.529 ,(1.943),,3.769 ,(2.058),3.950 ,(1.811),24.528 ,3.025 ,(1.747),2.865 ,(1.206),4.622 ,(1.963),5.925 ,(1.185),,,
Clothes,cloak,4.453 ,(1.782),4.736 ,(1.734),0.000 ,2.846 ,(1.334),2.623 ,(1.417),6.264 ,(1.129),4.925 ,(1.615),,4.208 ,(1.769),4.717 ,(1.622),0.000 ,3.132 ,(1.507),2.170 ,(1.069),5.698 ,(1.310),3.528 ,(1.137),,,
Clothes,clog,3.849 ,(2.042),4.925 ,(1.741),1.852 ,2.509 ,(1.382),2.846 ,(1.513),6.151 ,(1.364),4.547 ,(1.501),,2.887 ,(1.898),4.453 ,(1.693),0.000 ,2.923 ,(1.702),2.623 ,(1.180),5.906 ,(1.148),3.868 ,(1.210),,,
Clothes,coat,6.833 ,(0.423),6.704 ,(0.768),0.000 ,6.556 ,(0.965),3.926 ,(1.831),6.808 ,(0.561),2.370 ,(1.121),,6.755 ,(0.515),6.623 ,(0.765),0.000 ,6.698 ,(0.607),2.887 ,(1.325),6.717 ,(0.632),1.906 ,(0.741),,,
Clothes,corduroys,5.593 ,(1.421),5.833 ,(1.240),0.000 ,4.722 ,(1.618),3.019 ,(1.486),6.389 ,(0.940),6.111 ,(1.436),,4.981 ,(1.615),5.481 ,(1.462),1.887 ,4.558 ,(1.809),2.654 ,(1.153),6.038 ,(1.102),3.712 ,(1.242),,,
Clothes,corset,4.407 ,(1.743),4.574 ,(1.987),0.000 ,2.833 ,(1.668),3.667 ,(1.578),6.019 ,(1.236),5.074 ,(1.882),,3.189 ,(1.777),3.962 ,(1.786),0.000 ,2.585 ,(1.420),3.827 ,(1.294),5.038 ,(1.468),5.075 ,(1.253),,,
Clothes,culottes,4.412 ,(1.627),4.529 ,(1.770),3.774 ,3.078 ,(1.481),3.020 ,(1.317),5.700 ,(1.581),6.860 ,(0.606),,4.064 ,(1.927),4.660 ,(1.845),11.321 ,2.766 ,(1.255),2.711 ,(1.036),5.867 ,(1.179),4.723 ,(1.570),,,
Clothes,dinner jacket,5.222 ,(1.598),5.444 ,(1.550),0.000 ,3.722 ,(1.630),3.407 ,(1.421),6.019 ,(1.251),6.111 ,(1.410),,4.623 ,(1.655),5.189 ,(1.545),0.000 ,3.717 ,(1.610),3.094 ,(1.197),5.925 ,(1.071),4.679 ,(1.465),,,
Clothes,dress,6.759 ,(0.699),6.463 ,(1.299),0.000 ,6.370 ,(1.350),3.963 ,(1.832),6.604 ,(0.768),2.963 ,(1.648),,6.679 ,(0.673),6.340 ,(1.018),0.000 ,6.135 ,(1.253),2.962 ,(1.480),6.415 ,(1.100),2.038 ,(0.919),,,
Clothes,dressing gown,6.278 ,(0.979),6.630 ,(0.808),0.000 ,6.315 ,(1.179),3.315 ,(1.841),6.593 ,(0.813),4.241 ,(1.883),,5.245 ,(1.479),6.170 ,(1.105),0.000 ,6.075 ,(1.269),2.792 ,(1.276),6.377 ,(1.213),2.830 ,(1.156),,,
Clothes,duffel,5.259 ,(1.684),5.574 ,(1.525),0.000 ,3.426 ,(1.461),3.444 ,(1.449),6.296 ,(0.983),6.574 ,(0.860),,5.189 ,(1.481),5.340 ,(1.315),0.000 ,4.132 ,(1.618),3.132 ,(1.144),5.962 ,(1.126),2.962 ,(1.192),,,
Clothes,dungarees,5.759 ,(1.359),5.630 ,(1.582),0.000 ,4.167 ,(1.767),3.185 ,(1.638),6.185 ,(1.214),5.019 ,(1.523),,5.038 ,(1.629),4.981 ,(1.538),0.000 ,3.811 ,(1.688),3.113 ,(1.235),6.302 ,(0.868),2.830 ,(1.189),,,
Clothes,earmuffs,3.815 ,(1.904),4.667 ,(1.671),0.000 ,2.630 ,(1.278),2.611 ,(1.323),6.074 ,(1.226),5.981 ,(1.407),,3.170 ,(1.740),4.981 ,(1.487),0.000 ,2.887 ,(1.325),2.377 ,(1.113),5.887 ,(1.187),3.173 ,(0.901),,,
Clothes,fleece,4.396 ,(1.833),4.528 ,(1.705),0.000 ,3.827 ,(1.790),2.962 ,(1.454),5.642 ,(1.594),6.265 ,(1.319),,5.679 ,(1.370),6.113 ,(1.068),0.000 ,6.154 ,(1.109),3.019 ,(1.217),6.340 ,(0.898),5.491 ,(1.564),,,
Clothes,flip-flop,4.113 ,(1.695),4.811 ,(1.722),1.852 ,3.566 ,(1.647),2.538 ,(1.290),5.904 ,(1.512),6.865 ,(0.486),,3.538 ,(1.965),5.731 ,(1.285),0.000 ,4.019 ,(1.651),2.373 ,(1.113),6.135 ,(1.344),3.154 ,(1.055),,,
Clothes,fur coat,4.722 ,(1.774),5.259 ,(1.650),0.000 ,3.093 ,(1.533),3.556 ,(1.667),6.130 ,(1.260),4.444 ,(1.656),,4.736 ,(1.654),5.075 ,(1.685),0.000 ,3.755 ,(1.753),3.038 ,(1.176),6.057 ,(1.027),3.491 ,(1.085),,,
Clothes,garter,3.889 ,(1.959),5.444 ,(1.870),0.000 ,2.722 ,(1.446),2.170 ,(1.326),6.389 ,(1.204),3.796 ,(1.653),,3.157 ,(1.869),3.980 ,(1.838),1.923 ,2.314 ,(1.241),2.460 ,(1.446),5.314 ,(1.703),5.059 ,(1.240),,,
Clothes,girdle,4.660 ,(1.807),4.755 ,(1.999),0.000 ,3.226 ,(1.857),2.830 ,(1.602),5.925 ,(1.371),6.226 ,(1.339),,2.829 ,(1.745),3.439 ,(1.747),22.642 ,2.049 ,(1.341),3.421 ,(1.266),4.289 ,(1.626),5.390 ,(1.159),,,
Clothes,glove,6.296 ,(1.075),6.667 ,(0.673),0.000 ,6.074 ,(1.439),3.370 ,(1.605),6.685 ,(0.907),2.815 ,(1.275),,5.208 ,(1.524),6.377 ,(1.060),0.000 ,5.792 ,(1.230),2.717 ,(1.378),6.566 ,(0.772),2.113 ,(0.891),,,
Clothes,gown,5.250 ,(1.714),5.302 ,(1.588),0.000 ,4.151 ,(1.854),3.981 ,(1.670),6.288 ,(1.091),5.358 ,(1.606),,3.943 ,(1.714),4.396 ,(1.548),0.000 ,3.491 ,(1.527),3.151 ,(1.598),5.321 ,(1.451),3.692 ,(1.515),,,
Clothes,handkerchief,5.442 ,(2.090),6.827 ,(0.513),0.000 ,6.788 ,(0.572),2.231 ,(1.926),6.686 ,(0.836),2.538 ,(1.196),,2.509 ,(1.867),6.019 ,(1.248),0.000 ,5.189 ,(1.699),1.585 ,(1.046),6.415 ,(1.134),2.849 ,(1.099),,,
Clothes,hat,6.216 ,(1.006),6.216 ,(1.189),0.000 ,5.333 ,(1.915),3.510 ,(1.759),6.588 ,(0.853),2.941 ,(1.666),,5.642 ,(1.331),6.226 ,(1.120),0.000 ,5.887 ,(1.204),2.698 ,(1.539),6.585 ,(0.842),2.019 ,(0.951),,,
Clothes,jacket,6.889 ,(0.372),6.815 ,(0.585),0.000 ,6.833 ,(0.541),3.722 ,(1.642),6.774 ,(0.577),3.315 ,(1.286),,6.887 ,(0.320),6.660 ,(0.758),0.000 ,6.887 ,(0.467),3.094 ,(1.644),6.698 ,(0.723),2.075 ,(1.089),,,
Clothes,jeans,6.352 ,(0.994),5.870 ,(1.318),0.000 ,5.759 ,(1.625),3.189 ,(1.520),6.519 ,(0.947),7.000 ,0.000 ,,6.887 ,(0.320),6.755 ,(0.757),0.000 ,6.849 ,(0.411),2.849 ,(1.460),6.755 ,(0.617),3.057 ,(1.099),,,
Clothes,jerkin,5.288 ,(1.499),5.481 ,(1.336),0.000 ,4.423 ,(1.637),3.308 ,(1.541),6.058 ,(1.162),5.788 ,(1.319),,3.833 ,(2.135),3.567 ,(1.775),43.396 ,2.900 ,(1.882),3.103 ,(1.291),4.414 ,(1.680),4.517 ,(1.682),,,
Clothes,jersey,6.170 ,(1.205),6.245 ,(1.385),0.000 ,5.717 ,(1.610),3.264 ,(1.745),6.491 ,(0.891),3.264 ,(1.546),,6.132 ,(1.057),6.113 ,(1.219),0.000 ,5.943 ,(1.365),2.679 ,(1.384),6.415 ,(0.819),2.642 ,(1.287),,,
Clothes,jodhpurs,4.259 ,(1.964),3.944 ,(1.878),0.000 ,2.463 ,(1.370),3.189 ,(1.532),6.038 ,(1.192),5.944 ,(1.485),,4.020 ,(2.035),4.700 ,(1.909),5.660 ,3.220 ,(1.706),2.571 ,(1.118),5.735 ,(1.238),4.400 ,(1.400),,,
Clothes,jumper,6.685 ,(0.820),6.556 ,(0.984),0.000 ,6.444 ,(0.945),3.185 ,(1.802),6.648 ,(0.731),2.868 ,(1.038),,6.868 ,(0.394),6.698 ,(0.749),0.000 ,6.811 ,(0.622),2.566 ,(1.308),6.774 ,(0.609),2.019 ,(0.930),,,
Clothes,kilt,5.444 ,(1.610),6.056 ,(1.295),0.000 ,4.870 ,(1.812),4.944 ,(1.583),6.722 ,(0.712),3.830 ,(1.503),,4.585 ,(1.813),5.925 ,(1.238),0.000 ,4.792 ,(1.536),3.642 ,(1.654),6.358 ,(1.039),3.604 ,(1.230),,,
Clothes,knickers,6.444 ,(0.945),6.111 ,(1.538),0.000 ,5.500 ,(1.901),3.000 ,(1.780),6.585 ,(0.745),3.222 ,(2.006),,6.226 ,(1.068),6.302 ,(1.170),0.000 ,6.283 ,(1.246),2.396 ,(1.230),6.642 ,(0.787),2.434 ,(1.233),,,
Clothes,leg warmer,4.170 ,(1.684),3.811 ,(1.766),1.852 ,2.500 ,(1.321),2.269 ,(1.315),5.510 ,(1.592),6.865 ,(0.627),,3.308 ,(1.853),4.269 ,(1.784),1.887 ,2.385 ,(1.157),1.923 ,(0.926),5.519 ,(1.754),3.962 ,(1.559),,,
Clothes,legging,5.096 ,(1.587),4.846 ,(1.673),0.000 ,3.558 ,(1.787),2.615 ,(1.316),6.077 ,(1.186),5.275 ,(2.192),,4.868 ,(1.569),5.434 ,(1.599),0.000 ,4.453 ,(1.760),2.113 ,(0.954),6.057 ,(1.247),4.208 ,(1.392),,,
Clothes,leotard,4.434 ,(1.866),4.491 ,(1.846),1.852 ,3.132 ,(1.606),2.962 ,(1.467),6.038 ,(1.192),6.925 ,(0.331),,3.755 ,(1.970),4.887 ,(1.649),0.000 ,2.925 ,(1.492),2.660 ,(1.239),5.679 ,(1.425),3.509 ,(1.409),,,
Clothes,long johns,4.815 ,(1.802),5.093 ,(1.617),0.000 ,3.019 ,(1.608),3.037 ,(1.440),6.167 ,(1.129),5.660 ,(1.628),,3.750 ,(1.856),4.481 ,(1.915),1.887 ,2.827 ,(1.630),2.269 ,(1.140),5.423 ,(1.564),4.365 ,(1.268),,,
Clothes,mackintosh,5.870 ,(1.214),6.111 ,(1.040),0.000 ,5.333 ,(1.590),3.315 ,(1.564),6.407 ,(0.880),4.370 ,(1.708),,4.569 ,(1.616),4.804 ,(1.575),3.774 ,3.745 ,(1.598),2.941 ,(0.925),5.294 ,(1.527),4.000 ,(1.233),,,
Clothes,mitten,4.815 ,(1.844),5.648 ,(1.403),0.000 ,3.889 ,(1.777),2.778 ,(1.462),6.519 ,(0.720),3.593 ,(1.486),,4.208 ,(1.736),5.113 ,(1.515),0.000 ,3.528 ,(1.514),2.189 ,(1.057),6.019 ,(1.185),2.472 ,(1.120),,,
Clothes,muffler,4.962 ,(1.675),5.472 ,(1.588),0.000 ,3.962 ,(1.971),2.321 ,(1.541),6.358 ,(1.128),3.685 ,(1.515),,3.025 ,(1.368),3.475 ,(1.601),24.528 ,2.100 ,(1.128),2.425 ,(1.130),4.600 ,(1.766),4.525 ,(1.432),,,
Clothes,nightdress,6.611 ,(0.656),6.463 ,(1.209),0.000 ,6.259 ,(1.469),2.981 ,(1.721),6.611 ,(0.920),3.593 ,(1.889),,5.358 ,(1.469),5.717 ,(1.406),0.000 ,5.226 ,(1.918),2.830 ,(1.341),6.226 ,(1.203),2.698 ,(1.422),,,
Clothes,overalls,5.679 ,(1.491),6.038 ,(1.208),0.000 ,4.642 ,(1.841),3.212 ,(1.551),6.283 ,(1.045),4.642 ,(1.699),,4.396 ,(1.536),5.340 ,(1.285),0.000 ,4.057 ,(1.420),2.811 ,(1.210),5.925 ,(1.207),3.943 ,(1.045),,,
Clothes,overcoat,6.407 ,(0.981),6.537 ,(0.794),0.000 ,5.667 ,(1.492),3.426 ,(1.655),6.685 ,(0.609),4.074 ,(1.515),,5.604 ,(1.182),5.698 ,(1.202),0.000 ,5.075 ,(1.452),2.981 ,(1.185),5.755 ,(1.223),3.868 ,(1.359),,,
Clothes,pants,6.481 ,(0.966),6.315 ,(1.226),0.000 ,6.074 ,(1.576),2.944 ,(1.607),6.296 ,(1.298),4.074 ,(2.036),,6.038 ,(1.358),6.547 ,(0.911),0.000 ,6.547 ,(0.972),2.358 ,(1.482),6.698 ,(0.696),1.887 ,(1.086),,,
Clothes,parka,4.943 ,(1.703),4.698 ,(1.526),0.000 ,3.774 ,(1.565),3.529 ,(1.376),5.529 ,(1.447),6.906 ,(0.564),,4.551 ,(1.780),4.878 ,(1.716),7.547 ,3.694 ,(1.746),3.224 ,(1.104),5.204 ,(1.633),4.388 ,(1.631),,,
Clothes,petticoat,5.407 ,(1.743),5.611 ,(1.785),0.000 ,4.648 ,(2.138),2.963 ,(1.682),6.389 ,(1.156),3.852 ,(1.827),,4.058 ,(1.883),4.212 ,(1.786),1.887 ,2.808 ,(1.429),2.820 ,(1.224),5.160 ,(1.570),3.804 ,(1.456),,,
Clothes,polo neck,5.741 ,(1.200),5.926 ,(1.257),0.000 ,5.111 ,(1.586),2.870 ,(1.626),6.528 ,(0.823),6.000 ,(1.401),,5.453 ,(1.367),5.736 ,(1.195),0.000 ,4.717 ,(1.844),2.642 ,(1.388),6.170 ,(1.236),3.604 ,(1.214),,,
Clothes,polo shirt,5.704 ,(1.475),5.685 ,(1.385),0.000 ,4.648 ,(1.761),2.704 ,(1.369),6.148 ,(1.123),6.907 ,(0.351),,5.510 ,(1.419),5.667 ,(1.352),1.923 ,5.078 ,(1.611),2.667 ,(1.178),6.137 ,(1.000),4.216 ,(1.487),,,
Clothes,poncho,4.115 ,(1.789),4.192 ,(1.534),1.887 ,2.788 ,(1.460),2.765 ,(1.365),5.647 ,(1.481),6.673 ,(0.857),,3.000 ,(1.758),4.089 ,(1.769),15.094 ,2.333 ,(1.398),2.444 ,(1.324),5.222 ,(1.704),4.933 ,(1.529),,,
Clothes,pullover,6.463 ,(0.794),6.722 ,(0.656),0.000 ,6.111 ,(1.369),3.222 ,(1.987),6.685 ,(0.722),3.415 ,(1.216),,6.245 ,(0.959),6.075 ,(1.190),0.000 ,5.981 ,(1.380),2.547 ,(1.202),6.245 ,(1.036),2.774 ,(1.171),,,
Clothes,pyjamas,6.472 ,(0.973),6.491 ,(1.049),0.000 ,6.264 ,(1.403),3.377 ,(1.701),6.509 ,(1.120),2.887 ,(1.649),,5.698 ,(1.551),6.491 ,(1.012),0.000 ,6.113 ,(1.489),2.925 ,(1.517),6.679 ,(0.701),1.755 ,(0.757),,,
Clothes,raincoat,6.604 ,(0.793),6.755 ,(0.477),0.000 ,6.302 ,(1.249),3.472 ,(1.716),6.712 ,(0.750),3.377 ,(1.376),,5.434 ,(1.394),5.849 ,(1.246),0.000 ,5.132 ,(1.569),2.962 ,(1.330),6.113 ,(1.050),2.717 ,(1.081),,,
Clothes,robe,4.981 ,(1.619),5.130 ,(1.738),0.000 ,4.113 ,(1.938),3.037 ,(1.601),5.833 ,(1.397),5.596 ,(1.512),,4.038 ,(1.720),4.943 ,(1.512),0.000 ,3.755 ,(2.102),2.887 ,(1.311),5.377 ,(1.496),3.736 ,(1.211),,,
Clothes,salopettes,3.889 ,(1.908),3.741 ,(2.212),50.000 ,2.370 ,(1.115),2.577 ,(1.172),5.154 ,(1.912),7.000 ,0.000 ,,3.697 ,(1.895),4.515 ,(2.002),36.538 ,3.273 ,(1.567),2.833 ,(1.315),5.633 ,(1.450),5.212 ,(1.596),,,
Clothes,sandal,5.611 ,(1.709),6.444 ,(1.093),0.000 ,5.574 ,(1.549),3.426 ,(1.449),6.500 ,(0.947),3.185 ,(1.626),,3.792 ,(1.945),5.491 ,(1.564),0.000 ,4.396 ,(1.812),3.019 ,(1.380),6.075 ,(1.124),2.736 ,(1.059),,,
Clothes,sari,4.558 ,(1.944),4.058 ,(1.851),0.000 ,3.288 ,(1.513),3.333 ,(1.583),5.808 ,(1.401),6.667 ,(0.887),,3.673 ,(1.819),4.163 ,(1.724),7.547 ,3.061 ,(1.613),3.918 ,(1.730),5.612 ,(1.525),5.333 ,(1.260),,,
Clothes,sarong,3.907 ,(1.916),4.074 ,(1.669),0.000 ,2.833 ,(1.450),2.963 ,(1.541),5.833 ,(1.314),6.407 ,(0.922),,3.468 ,(1.653),4.362 ,(1.938),9.615 ,3.319 ,(1.548),2.787 ,(1.503),5.426 ,(1.678),5.936 ,(1.241),,,
Clothes,scarf,5.833 ,(1.285),6.500 ,(0.841),0.000 ,5.611 ,(1.497),2.574 ,(1.711),6.574 ,(0.964),2.849 ,(1.292),,5.453 ,(1.338),6.170 ,(1.087),0.000 ,5.698 ,(1.202),1.830 ,(1.105),6.509 ,(1.171),2.226 ,(0.847),,,
Clothes,shawl,4.722 ,(1.878),5.667 ,(1.554),0.000 ,3.426 ,(1.632),3.208 ,(1.864),6.315 ,(1.195),3.648 ,(1.824),,3.792 ,(1.822),4.774 ,(1.637),0.000 ,3.245 ,(1.663),2.396 ,(1.182),5.642 ,(1.346),3.717 ,(1.306),,,
Clothes,shirt,6.870 ,(0.391),6.796 ,(0.562),0.000 ,6.759 ,(0.751),3.759 ,(1.726),6.808 ,(0.487),3.222 ,(1.254),,6.736 ,(0.524),6.623 ,(0.814),0.000 ,6.472 ,(1.103),3.000 ,(1.481),6.698 ,(0.607),2.396 ,(0.927),,,
Clothes,shoe,6.704 ,(0.838),6.889 ,(0.372),0.000 ,6.944 ,(0.231),3.852 ,(1.753),6.755 ,(0.853),2.019 ,(1.000),,5.509 ,(2.072),6.642 ,(0.787),0.000 ,6.849 ,(0.496),3.283 ,(1.622),6.736 ,(0.684),1.660 ,(0.678),,,
Clothes,shorts,6.130 ,(1.182),6.259 ,(0.994),0.000 ,5.241 ,(1.659),3.222 ,(1.690),6.481 ,(0.966),3.944 ,(1.753),,6.000 ,(1.109),6.264 ,(1.003),0.000 ,5.585 ,(1.646),2.321 ,(1.312),6.604 ,(0.768),2.000 ,(0.679),,,
Clothes,skirt,6.620 ,(1.105),6.300 ,(1.446),0.000 ,6.380 ,(1.292),3.280 ,(1.679),6.520 ,(1.147),3.040 ,(1.442),,6.615 ,(0.796),6.365 ,(1.048),0.000 ,6.346 ,(1.027),2.308 ,(1.276),6.519 ,(0.896),2.173 ,(0.857),,,
