word_english,arousal_LSA_M,arousal_norms_M,concrete_LSA_M,concrete_norms_M,dominate_LSA_M,dominate_norms_M,imagine_LSA_M,imagine_norms_M,valence_LSA_M,valence_norms_M
deterioration,5.31,,3.4,,4.01,,3.92,,3.2,
determinant,5.32,,2.92,,5.16,,3.43,,5.42,
determination,5.43,,3.22,,5.42,,3.68,,5.69,
determine,5.02,,3.15,,5.87,,3.29,,6.61,
determined,5.34,,3.07,,4.65,,3.89,,4.33,
determinism,5.13,,3.22,,5.57,,3.65,,6,
determinist,5.13,,2.99,,5.69,,3.54,,6.36,
deterrence,6.01,,3.8,,3.96,,4.34,,2.9,
deterrent,5.7,,3.91,,4.06,,4.47,,2.96,
detest,5.92,6.06,3.02,,4.87,5.83,4.47,,3.92,2.17
detour,4.65,,5.15,,5.1,,5.07,,5.47,
detoxification,5.56,,3.94,,4.1,,4.7,,3.17,
detract,4.96,,3.75,,5.62,,3.91,,6.08,
detrimental,5.26,,2.99,,4.84,,3.39,,4.77,
deuterium,5.15,,4.84,,4.89,,4.75,,4.9,
deuteron,5.04,,4.59,,4.93,,4.58,,5.18,
devastate,5.84,,3.92,,4.55,,4.6,,3.5,
devastating,6.06,,3.51,,4.57,,4.25,,3.63,
devastation,5.84,,4.01,,4.35,,4.61,,3.47,
develop,5.23,,3.19,,5.87,,3.66,,6.59,
developed,5.13,,3.37,,5.36,,4.04,,5.75,
developer,4.92,,4.45,,5.39,,4.25,,5.89,
developing,5.03,,3.8,,5.57,,4.17,,6.22,
development,5.13,,3.21,3.06,5.8,,3.69,3.7,6.52,
developmental,5.14,,3.35,,5.31,,3.92,,5.66,
deviant,5.31,,3.21,,4.96,,3.73,,4.92,
deviate,4.92,,3.29,,5.55,,3.66,,5.98,
deviation,4.95,,3.04,,4.81,,3.37,,4.73,
device,4.66,,4.62,4.49,5.53,,4.44,3.65,5.95,
devil,5.7,6.07,3.79,,4.88,5.35,4.79,,4.47,2.21
devious,5.66,,3.11,,4.74,,3.94,,4.11,
devise,5.13,,3.12,,5.62,,3.52,,6.38,
devoid,5.29,,3.3,,5.52,,4.26,,6.02,
devote,5.37,,3.08,,5.93,,3.76,,6.69,
devoted,5.63,5.23,3.21,,5.58,6.18,4.5,,5.97,7.41
devotion,5.43,,2.97,,5.79,,4.32,,6.16,
devour,5.4,,3.91,,4.8,,4.72,,4.49,
devout,5.11,,3.96,,5.26,,4.59,,5.85,
dew,4.8,,5.49,6.09,4.81,,5.67,5.65,5.09,
dewy,4.42,,4.73,,4.95,,5.51,,5.68,
dexterity,5.27,,3.44,2.71,5.95,,4.05,3.22,6.76,
diabetes,5.17,,4.47,,4.14,,4.63,,3.23,
diabetic,5.25,,4.47,,4.1,,4.62,,3.29,
diagnose,5.27,,4.23,,3.96,,4.55,,3.26,
diagnosis,5.19,,3.9,,4.12,,4.32,,3.68,
diagnostic,5.26,,3.81,,4.41,,4.19,,4.14,
diagonal,4.4,,4.59,,5.04,,4.66,,5.56,
diagonally,4.42,,5.25,,4.85,,4.94,,4.99,
diagram,4.42,,4.68,,5.33,,4.66,,6.06,
dial,5.02,,4.92,,4.99,,4.91,,5.19,
dialect,5.03,,3.47,,5.34,,3.92,,5.48,
dialogue,5.37,,3.71,,5.48,,4.15,,6.36,
diameter,4.64,,4.91,,5.27,,5.01,,5.77,
diamond,5.17,5.53,5.41,6.51,5.59,5.54,5.1,6.17,6.51,7.92
diaper,4.92,,5.07,,5.13,,5.32,,6.35,
diaphragm,4.86,,5.01,,4.75,,5,,4.7,
diarrhea,5.19,,4.2,,4,,4.49,,2.94,
diary,5.21,,3.74,,5.4,,4.48,,6,
diatom,4.76,,5.94,,4.78,,5.51,,4.9,
diatomic,4.59,,4.83,,5.1,,4.45,,5.62,
dice,4.83,,5.73,,5.28,,5.55,,5.51,
dictate,4.88,,4.35,,5.51,,4.28,,6.04,
dictation,4.68,,4.81,3.57,5.34,,4.58,4.38,5.6,
dictator,5.62,,4.09,,5.65,,4.51,,5.42,
dictatorial,5.61,,3.51,,5.61,,4.13,,5.48,
dictatorship,5.7,,3.76,,5.51,,4.37,,5.34,
diction,5.25,,3.68,,5.47,,4.01,,6.11,
dictionary,4.66,,3.85,,5.28,,3.99,,5.52,
dictum,5.3,,2.99,,5.46,,3.82,,5.87,
die,5.47,,3.89,,3.91,,4.9,,2.93,
diesel,4.61,,5.2,,5.05,,5.04,,5.07,
diet,4.75,,5,4.63,4.9,,5.06,4.92,4.86,
dietary,4.77,,4.74,,4.93,,4.8,,4.81,
dietitian,5.01,,4.98,,4.98,,5.13,,5.34,
differ,5.08,,3.07,,5.62,,3.43,,6.41,
difference,5.27,,2.92,2.5,5.68,,3.4,2.84,6.34,
different,4.99,,3.5,,5.73,,3.82,,6.65,
differential,5.65,,3.84,,5.73,,4.03,,6.18,
differentiate,5.07,,2.96,,5.52,,3.45,,6.02,
differentiation,4.69,,3.8,,5.3,,3.86,,5.65,
differently,5.2,,3.15,,5.65,,3.55,,6.36,
difficult,5.08,,2.85,,5.2,,3.42,,5.56,
difficulty,5.13,,2.83,,4.94,,3.43,,4.93,
diffract,4.68,,4.35,,5.2,,4.51,,5.8,
diffraction,4.95,,4.87,,5.38,,4.89,,6.24,
diffuse,4.62,,4.87,,4.98,,4.69,,4.76,
diffusion,4.6,,4.52,3.06,4.98,,4.41,3.84,4.9,
dig,5.01,,5.48,,4.83,,5.34,,4.56,
digest,4.82,,5.35,,4.99,,5.07,,4.62,
digestion,4.86,,5.37,,4.84,,4.99,,4.29,
digestive,4.91,,5.41,,4.82,,5,,4.17,
digger,4.98,,5.27,,4.62,,5.1,,4.04,
diggings,5.54,,5.28,,5.18,,5.2,,5.74,
digit,4.54,,3.99,,5.29,,4.1,,5.61,
digital,4.75,,4.57,,5.17,,4.42,,5.49,
dignified,5.12,4.12,4.15,,5.43,6.12,4.66,,5.93,7.1
dignitary,4.9,,4.48,,5.64,,4.68,,6.06,
dignity,5.33,,3.11,2.71,5.49,,4.35,4.19,5.85,
dilate,5.35,,4.8,,4.63,,4.89,,4.52,
dilation,5.36,,4.12,,4.72,,4.39,,4.48,
dilemma,5.03,,2.98,,5.6,,3.46,,5.87,
diligence,5.24,,3.32,,5.63,,4.2,,5.88,
diligent,5.24,,3.2,,5.28,,3.71,,5.41,
diligently,5.18,,3.35,,5.72,,4.06,,5.94,
dill,4.45,,5.98,,5.22,,5.78,,5.74,
dilute,5.09,,5.14,,4.92,,4.85,,4.49,
dilution,5.01,,3.98,,4.56,,4.18,,3.97,
dim,4.59,,4.71,,5.01,,5.64,,5.75,
dime,5.02,,5.47,,5.47,,5.36,,6.32,
dimension,4.43,,4.56,2.65,5.28,,4.39,3.61,5.65,
dimensional,4.45,,4.63,,5.19,,4.41,,5.55,
diminish,5.21,,2.98,,5.42,,3.27,,5.81,
dimly,4.74,,4.56,,4.91,,5.36,,5.27,
dimple,4.68,,5.63,,5.22,,5.57,,5.83,
din,5.53,,4.17,,5.05,,5.04,,5.02,
dine,4.87,,4.77,,5.48,,5.09,,6.48,
diner,4.9,,5.1,5.37,5.52,,5.32,5.03,6.25,
ding,5.09,,5.25,,4.9,,5.27,,5.07,
dinghy,5.04,,5.48,,4.75,,5.36,,5.14,
dingy,4.57,,4.72,,4.87,,5.07,,5.01,
dining,3.95,,5.97,,5.23,,5.69,,5.77,
dining-room,4.16,,5.68,,5.02,,5.57,,5.4,
dinky,4.8,,5.69,,5.25,,5.5,,5.63,
dinner,4.7,5.43,5.78,,5.33,6.1,5.77,,6.25,7.16
dinosaur,5.06,,5.37,,4.97,,5.04,,4.94,
dint,5.42,,3.66,,4.96,,4.37,,4.42,
diode,4.81,,4.37,,5.31,,4.34,,5.77,
dioxide,5.03,,4.76,,4.92,,4.89,,4.81,
dip,4.73,,5.4,4.97,5.24,,5.48,4.62,5.78,
diphtheria,5.18,,4.21,,3.9,,4.46,,2.7,
diploid,4.96,,4.65,,5.07,,4.38,,5.32,
diploma,5.55,5.67,4.29,,5.75,6.76,4.65,,6.4,8
diplomacy,5.63,,3.6,,5.15,,4.17,,4.7,
diplomat,5.59,,3.9,,5.33,,4.32,,5.03,
diplomatic,5.63,,3.74,,5.08,,4.19,,4.58,
dipole,4.82,,4.58,,5.17,,4.36,,5.72,
dipper,4.87,,5.51,,5.33,,5.64,,6.48,
dire,5.78,,3.15,,4.36,,4.27,,3.64,
direct,5.13,,3.23,,5.65,,3.4,,6.18,
direct-mail,5.28,,4.26,,5.56,,4.29,,6.33,
direction,4.95,,4.47,3.26,5.11,,4.77,3.97,5.35,
directional,4.67,,4.79,,4.97,,4.75,,5.25,
directive,5.19,,4,,5.35,,4.19,,5.32,
directly,4.76,,3.33,,5.68,,3.51,,6.46,
directness,5.34,,3.57,,5.78,,4.44,,6.75,
director,5.36,,4.09,,5.77,,4.23,,6.56,
directory,5,,4.31,,5.53,,4.33,,5.88,
dirigible,5.13,,5.56,,4.94,,5.27,,5.28,
dirt,4.68,3.76,5.5,,4.64,4.83,5.34,,4.07,4.17
dirty,4.81,4.88,4.89,,4.59,4.7,5.08,,3.59,3.08
disability,5.21,,3.41,,4.29,,3.98,,3.9,
disable,5.27,,3.58,,3.83,,4.25,,3.01,
disabled,5.07,,3.87,,4.43,,4.32,,4.16,
disadvantage,5,,3.19,,5.8,,3.5,,6.58,
disadvantaged,5.18,,3.79,,5.08,,4.28,,5.31,
disaffirm,5.13,,3.71,,4.85,,4.03,,4.94,
disagree,5.19,,3.32,,5.58,,3.73,,5.84,
disagreeable,5.14,,3.47,,5.07,,4.41,,5.53,
disagreement,5.25,,3.37,3.06,5.46,,3.72,3.68,5.65,
disappear,5.43,,4.3,,4.57,,4.87,,4.58,
disappearance,4.96,,3.85,,5.12,,4.33,,5.28,
disappoint,5.43,4.92,3.46,,5.11,3.29,4.19,,5.36,2.39
disappointed,5.55,,3.14,,5.09,,4.41,,5.43,
disappointing,5.29,,3.35,,5.59,,4.12,,6.3,
disappointment,5.6,,2.95,,4.87,,4.18,,4.83,
disapproval,5.5,,3.09,,5.1,,3.66,,5.09,
disapprove,5.2,,3.21,,5.03,,4.02,,5.29,
disarm,5.51,,3.61,,4.75,,4.16,,4.48,
disarmament,5.78,,3.91,,4.66,,4.33,,4.1,
disarray,5.59,,3.48,,5.47,,3.99,,5.24,
disassemble,4.37,,5.1,,4.91,,4.78,,4.88,
disassembly,4.55,,5.17,,4.85,,4.86,,4.83,
disaster,6.21,6.33,3.41,,4.38,3.52,4.49,,3.44,1.73
disastrous,5.88,,3.08,,4.52,,3.87,,3.69,
disband,5.47,,4.39,,5.48,,4.6,,5.16,
disbelief,6.15,,3.7,,4.79,,4.78,,4.29,
disbursement,5.1,,4.35,,5.27,,4.28,,5.82,
disc,4.43,,5.16,5.8,5.16,,4.95,5.81,5.41,
discard,4.67,,4,,5.06,,4.18,,4.76,
discern,5.35,,3.24,,5.08,,4.18,,4.76,
discernible,4.99,,3.33,,5.43,,3.63,,5.77,
discharge,4.84,,4.34,4.91,4.76,,4.41,4.32,4.21,
disciple,5.17,,3.46,,5.02,,4.32,,5.32,
disciplinary,5.25,,3.65,,5.59,,4.01,,6.19,
discipline,4.9,,3.01,,5.62,,3.57,,6,
disciplined,5.25,,3.98,,5.61,,4.18,,5.87,
disclose,5.35,,3.14,,5.04,,3.61,,5.17,
disclosure,5.17,,3.86,,4.58,,3.97,,4.39,
discolour,4.99,,4.61,,4.63,,4.74,,3.87,
discomfort,5.65,4.17,3.15,,4.12,3.86,4.21,,3.6,2.19
disconcert,5.09,,4.01,,5.06,,4.48,,5.38,
disconnect,4.55,,5.15,,4.86,,4.88,,4.84,
discontent,5.4,,3.34,,4.96,,4.15,,4.41,
discontinue,5.26,,3.35,,4.66,,3.64,,4.43,
discontinuous,5.04,,3.39,,4.79,,3.62,,5.16,
discord,5.66,,3.58,3.17,5.38,,4.52,3.24,5.64,
discount,5.32,,4.45,,5.42,,4.23,,5.88,
discourage,5.3,,3.19,,5.17,,3.63,,5.43,
discouraged,5.35,4.53,3.6,,5.16,3.61,4.35,,5.4,3
discouragement,5.21,,3,,5.04,,3.76,,5.25,
discouraging,4.87,,3.87,,4.76,,4.33,,4.78,
discourse,5.17,,3.52,,5.75,,4.18,,6.23,
discover,5.32,,3.4,,5.67,,3.99,,6.38,
discoverer,5.25,,3.85,,5.65,,4.31,,6.32,
discovery,5.24,,3.47,3.26,5.71,,4.1,3.78,6.54,
discredit,5.77,,3.33,,4.91,,4.09,,4.39,
discreet,5.09,,3.98,,4.81,,4.48,,4.76,
discrepancy,5.47,,2.89,,5.32,,3.32,,5.44,
discrete,4.77,,3.4,,5.54,,3.62,,6.09,
discretion,4.95,,3.37,,5.06,,3.7,,4.98,
discretionary,5.11,,3.93,,5.4,,4.23,,5.82,
discriminate,4.88,,3.52,,5.04,,3.97,,5.14,
discrimination,5.04,,3.47,,5.07,,4.06,,5.22,
discriminatory,5.14,,3.75,,4.91,,4.17,,4.94,
discuss,5.09,,3.13,,5.64,,3.42,,6.33,
discussion,5.04,,3.41,3.4,5.74,,3.71,3.87,6.47,
disdain,5.52,,3.27,,5.11,,4.33,,4.81,
disease,5.19,,4.15,,3.98,,4.44,,2.89,
disease-cause,5.15,,4.23,,3.93,,4.44,,2.64,
disease-causing,5.18,,4.28,,3.99,,4.42,,2.74,
diseased,5.2,,4.5,,4.04,,4.65,,3.14,
disengage,4.98,,5.17,,5.29,,4.86,,5.37,
disequilibrium,5.36,,3.38,,5.1,,3.75,,5.38,
disfigure,5.56,,3.21,,4.92,,4.34,,4.55,
disgrace,5.46,,3.36,2.69,5.34,,4.13,3.84,5.32,
disguise,5.68,,3.85,,4.85,,4.68,,4.36,
disgust,5.62,,3.47,,4.83,,4.47,,4.5,
disgusted,5.57,5.42,3.42,,5.53,4.34,4.52,,6.27,2.45
disgustedly,5.9,,4.29,,5.08,,5,,5.09,
disgusting,5.18,,3.77,,4.89,,4.42,,4.68,
dish,4.31,,6.16,,5.22,,5.83,,5.81,
dishevel,5.51,,4.12,,5,,4.91,,4.92,
dishonest,5.39,,3.91,,4.66,,4.07,,4.13,
dishonesty,5.03,,3.37,2.43,4.63,,4.26,3.68,4.24,
dishonour,5.43,,3.56,,4.58,,4.1,,3.86,
dishpan,4.28,,5.78,,4.88,,5.79,,5.22,
dishwash,4.78,,4.45,,5.45,,4.44,,5.85,
dishwasher,4.4,,5.98,,5.28,,5.78,,5.6,
disillusion,5.59,,3.51,,5.27,,4.41,,5.24,
disinfect,4.93,,4.77,,4.52,,4.77,,3.79,
disinfectant,4.9,,4.93,6.09,4.59,,4.81,5.35,4.23,
disinfection,4.79,,4.78,,4.27,,4.86,,3.58,
disintegrate,4.99,,3.84,,4.61,,4.21,,4.13,
disintegration,5.61,,3.33,,4.86,,4.19,,4.37,
disinterested,5.62,,3.02,,5.43,,3.88,,5.41,
disk,4.91,,4.9,,5.22,,4.67,,5.54,
diskette,4.74,,4.87,,5.2,,4.68,,5.53,
dislike,5.49,,2.81,,5.13,,3.97,,4.79,
dislocation,4.99,,4.44,4.03,4.12,,4.55,4.24,3.54,
dislodge,5.34,,4.84,,4.51,,5.06,,4.09,
disloyal,5.59,6.56,3.59,,4.67,3.79,4.35,,3.88,1.93
disloyalty,5.45,,3.48,,4.99,,4.06,,4.35,
dismal,5.39,,3.64,,4.89,,4.71,,4.52,
dismally,5.42,,3.74,,5.03,,4.63,,5.05,
dismantle,5.12,,3.97,,4.92,,4.47,,4.89,
dismay,5.54,,3.75,,5.11,,4.67,,5.34,
dismiss,5.03,,3.54,,4.96,,3.96,,4.94,
dismissal,5.21,,3.7,2.94,4.77,,4.13,3.68,4.47,
dismount,4.92,,5.47,,5.18,,5.25,,5.33,
disobedience,5.48,,3.58,,4.72,,4.38,,3.89,
disobey,5.56,,3.47,,4.75,,4.33,,4.2,
disorder,5.16,,3.29,,3.72,,4.07,,2.82,
disorderly,5.12,,3.7,,4.6,,4.18,,4.19,
disorganization,5.25,,3.41,,4.48,,3.85,,3.89,
disorganize,5.29,,2.96,,4.5,,3.9,,3.75,
disorientate,5.35,,3.76,,3.94,,4.4,,3.2,
disorientation,5.38,,4.02,,4.02,,4.5,,3.24,
disown,5.59,,3.01,,5.09,,4.29,,4.61,
disparage,5.44,,2.99,,4.94,,3.66,,4.46,
disparity,5.09,,3.36,,5.2,,3.72,,5.52,
dispatch,5.43,,4.47,,5.09,,4.76,,4.85,
dispatcher,5.39,,4.97,,4.66,,5.05,,4.86,
dispel,5.63,,3.71,,5.49,,4.71,,5.98,
dispense,5.4,,3.64,,5.16,,3.97,,5.46,
dispenser,4.76,,4.43,,5.49,,4.38,,5.96,
dispersal,4.88,,4.09,,4.68,,4.18,,4.44,
disperse,4.89,,4.39,,5.02,,4.39,,5.07,
dispersion,4.78,,4.42,,5.34,,4.31,,5.64,
displace,4.66,,4.06,,4.76,,4.38,,4.87,
displacement,4.58,,4.63,,4.87,,4.84,,4.98,
display,4.99,,4.46,4.77,5.51,,4.46,4.59,6.19,
displease,5.09,,3.32,,5.03,,4.11,,5.41,
displeasure,5.65,,3.17,,5.6,,4.21,,5.93,
disposable,4.9,,4.8,,4.69,,4.91,,4.14,
disposal,4.93,,4.57,,4.77,,4.68,,3.83,
dispose,5.08,,3.96,,4.69,,4.31,,3.65,
disposition,5.21,,3.2,,5.32,,4.02,,5.33,
dispossess,5.63,,4.76,,5.45,,4.9,,5.2,
disproportionate,5.2,,3.3,,4.91,,3.79,,4.82,
disprove,4.96,,3.21,,5.47,,3.66,,6.1,
dispute,5.25,,3.67,3.51,4.87,,3.98,4.27,4.81,
disputed,5.61,,3.9,,4.92,,4.19,,4.44,
disqualify,5.51,,4.5,,5.58,,4.95,,6.21,
disquieting,5.46,,2.9,,5.53,,3.93,,5.54,
disregard,5.32,,2.84,,5.57,,3.58,,5.86,
disrupt,5.73,,3.05,,4.52,,3.7,,3.63,
disruption,5.35,,2.98,,4.5,,3.37,,3.86,
disruptive,5.2,,3.65,,5.04,,3.98,,4.91,
dissatisfaction,5.36,,3.02,,5.28,,3.56,,5.53,
dissatisfied,5.63,,3.84,,4.81,,4.23,,4.42,
dissatisfy,5.23,,3.3,,5.11,,3.83,,4.84,
dissect,5.04,,4.42,,5.16,,4.49,,5.44,
disseminate,5.18,,3.85,,5.12,,3.97,,5.42,
dissemination,5.11,,3.63,,5.34,,3.87,,5.6,
dissent,5.28,,3.39,,5.5,,4.17,,5.25,
dissenter,5.42,,3.45,,4.94,,4.07,,4.61,
dissenting,5.22,,3.65,,4.66,,3.96,,4.46,
dissertation,5.53,,3.7,,5.96,,4.21,,6.87,
dissident,5.84,,3.62,,4.41,,4.26,,3.49,
dissimilar,5.04,,3.81,,5.59,,4.08,,6.31,
dissipate,4.97,,3.74,,5.12,,4.04,,5.3,
dissociate,4.84,,4.92,,5.33,,4.63,,5.89,
dissociation,5.05,,4.46,,4.81,,4.35,,4.7,
dissolution,5.37,,3.91,,4.91,,4.09,,5.05,
dissolve,4.75,,5.11,,5.01,,4.83,,5.23,
dissonance,5.25,,3.26,,5.12,,3.46,,5.18,
distal,4.79,,4.9,,4.69,,4.79,,4.55,
distance,4.62,,4.25,3.54,5.25,,4.61,4.38,5.71,
distant,5.06,,4.23,,5.11,,5.03,,5.63,
distantly,5.02,,3.7,,4.96,,4.17,,4.97,
distaste,5.52,,3.1,,5.01,,4.24,,5.11,
distasteful,5.42,,3.18,,5.21,,4.23,,5.57,
distemper,5.24,,4.24,,4.99,,4.85,,4.8,
distil,4.93,,4.98,,5.02,,4.95,,5.17,
distillation,4.75,,4.97,,4.94,,4.79,,5.02,
distilled,4.71,,5.33,,5.07,,5.03,,5.17,
distinct,4.81,,3,,5.54,,3.29,,6.07,
distinction,5.06,,2.8,2.37,5.53,,3.31,3.16,5.96,
distinctive,5.2,,2.92,,5.98,,3.47,,6.69,
distinctiveness,4.99,,3.13,,5.33,,3.41,,5.69,
distinctly,5.23,,3.75,,5.55,,4.32,,6.37,
distinguish,4.92,,2.89,,5.7,,3.28,,6.33,
distinguishable,4.79,,3.98,,5.15,,4.44,,5.52,
distinguished,5.56,,3.29,,6.03,,4.39,,6.74,
distort,5.1,,2.95,,4.98,,3.54,,4.88,
distorted,5.17,,2.97,,5.32,,3.74,,5.47,
distortion,5.21,,3.59,,4.75,,4.03,,4.44,
distract,5.23,,3.47,,5.27,,3.95,,5.65,
distracting,5.48,,3.47,,5.38,,3.99,,5.84,
distraction,5.26,,3.6,,5.47,,4.01,,5.84,
distraught,5.93,,3.39,,4.78,,4.77,,3.92,
distress,5.68,,2.95,2.74,4.28,,4.36,4.49,3.54,
distressed,5.37,6.4,3.44,,4.71,3.76,4.44,,4.25,1.94
distressing,5.54,,2.88,,3.76,,3.8,,2.78,
distribute,4.98,,3.43,,5.65,,3.58,,6.4,
distribution,5.19,,3.52,,5.86,,3.69,,6.55,
distributive,5.54,,3.96,,5.9,,4.19,,6.63,
distributor,4.7,,4.9,,5,,4.66,,5.16,
district,4.73,,4.25,,5.04,,4.33,,5.18,
distrust,5.56,,3.16,,5.63,,3.97,,5.28,
distrustful,5.78,,3.78,,5.01,,4.44,,4.27,
disturb,5.48,5.8,3.06,,4.58,4.55,4.06,,4.22,3.66
disturbance,5.48,,3.18,,3.9,,3.87,,2.96,
disturbed,5.34,,2.97,,4.14,,3.96,,3.46,
disturbing,5.46,,2.85,,4.24,,3.72,,3.77,
ditch,4.75,,5.95,6,4.98,,5.65,5.75,5.23,
divan,4.27,,5.46,,5.01,,5.21,,5.41,
dive,5.36,,5.67,5.14,4.94,,5.46,5.92,5.4,
diver,5.39,5.04,5.81,,4.97,5.04,5.54,,5.46,6.45
diverge,4.96,,4.79,,5.1,,4.88,,5.44,
divergent,5.12,,3.18,,5.27,,3.59,,5.53,
diverse,5.1,,3.05,,5.76,,3.54,,6.41,
diversified,5.01,,3.5,,5.59,,3.7,,6.12,
diversion,5.5,,3.38,,5.27,,4.33,,5.79,
diversity,5.06,,3.11,,5.87,,3.61,,6.63,
divert,5.36,,3.89,,4.93,,4.19,,4.92,
divide,4.77,,3.71,,5.18,,3.96,,5.27,
dividend,5.37,,4,3.69,5.6,,4.24,3.19,6.1,
divider,4.26,,4.72,,5.11,,4.56,,5.51,
divine,5.33,,3.11,,5.38,,4.17,,6.04,
diving,5.36,,5.9,,4.97,,5.58,,5.58,
divinity,5.36,,3.56,,5.52,,4.44,,6.17,
division,4.8,,3.75,3.09,4.85,,3.87,3.7,4.83,
divisive,5.26,,3.29,,5.56,,3.83,,5.58,
divorce,5.51,6.33,3.81,,5.11,3.26,4.64,,5.42,2.22
divulge,5.33,,3.78,,4.35,,4.02,,3.8,
dizziness,5.35,,4.04,,3.94,,4.48,,3.1,
dizzy,5.27,,4.65,,4.65,,5.12,,4.31,
dizzying,5.07,,4.12,,5.16,,4.81,,5.63,
do,5.48,,3.61,,5.24,,4.21,,5.42,
do-it-yourself,4.97,,4.36,,5.89,,4.26,,6.77,
docile,5.65,,3.68,,4.72,,4.62,,4.32,
dock,5.14,,5.71,6,5.1,,5.28,5.65,5.65,
doctor,5.27,5.86,4.71,,4.19,4.89,5.03,,3.95,5.2
doctoral,5.39,,4.39,,5.35,,4.74,,5.81,
doctorate,5.52,,4.13,,6.03,,4.48,,6.84,
doctrinal,5.18,,3.43,,5.26,,4.22,,5.82,
doctrine,5.24,,2.9,,5.49,,3.76,,5.75,
document,4.59,,4.99,,5.23,,4.79,,5.54,
documentary,5.43,,4.48,,5.51,,4.75,,6.11,
documentation,4.7,,3.92,,5.17,,4.06,,5.36,
dodder,4.69,,5.88,,4.79,,5.56,,4.92,
dodge,5.41,,4.88,,5.02,,5.14,,5.06,
dodger,5.44,,4.88,,5.78,,4.99,,6.32,
dodo,5.1,,5.13,,4.68,,5.3,,4.29,
doe,5.4,,5.74,,4.58,,5.31,,4.46,
doer,5.29,,2.97,,5.79,,3.79,,6.44,
dog,5.1,5.76,5.56,6.68,5.03,6.25,5.49,6.57,5.49,7.57
dogged,4.54,,5.28,,4.94,,5.01,,5.18,
doggedly,5.74,,4.06,,4.65,,4.91,,3.85,
doghouse,4.86,,5.55,,5.45,,5.63,,6.57,
dogma,5.25,,3.17,,5.64,,3.91,,6.21,
dogwood,4.86,,5.51,,5.15,,5.41,,5.51,
doing,5.65,,3.31,,5.02,,4.51,,4.92,
doldrums,5.27,,5.13,,4.78,,5.33,,4.99,
dole,4.84,,5.17,,4.83,,5.05,,4.68,
doll,4.88,4.24,5.99,6.54,5.51,4.61,5.71,5.81,6.56,6.09
dollar,5.31,6.07,4.56,,5.28,6.33,4.83,,5.89,7.47
dolly,4.57,,5.63,,4.74,,5.2,,4.79,
dolphin,5.46,,5.81,,4.8,,5.49,,5.2,
domain,4.97,,4.13,,5.56,,4.37,,5.84,
dome,4.77,,5.28,,5.31,,5.14,,6.1,
dome-shape,4.7,,5.04,,4.65,,4.94,,4.57,
domestic,5.2,,3.44,,4.82,,4.02,,4.7,
domesticate,5.06,,5.45,,4.97,,5.3,,5.02,
domestication,5.06,,3.83,,5.14,,4.28,,5.22,
dominance,5.65,,3.26,,5.78,,3.72,,6.18,
dominant,5.31,,3.28,,5.44,,3.7,,5.75,
dominate,5.2,,3.21,,5.67,,3.89,,5.8,
domination,5.45,,3.29,2.66,5.73,,4.01,4.27,5.67,
domineer,5.58,,3.09,,5.17,,4.36,,5.25,
dominion,5.26,,3.91,,5.76,,4.39,,6.02,
domino,4.94,,4.96,,5.28,,5.1,,6.24,
don,5.39,,4.49,,5.15,,4.92,,5.24,
donate,5.06,,3.91,,5.37,,4.19,,6.07,
donation,4.98,,3.95,,5.46,,4.03,,6.1,
donkey,4.82,,5.9,,5.06,,5.71,,5.04,
donor,5.23,,4.6,,4.65,,4.74,,4.69,
doodle,5.22,,4.95,,5.12,,5.13,,5.28,
doom,5.72,,3.26,,4.69,,4.47,,3.85,
doomed,6.1,,4.46,,5.02,,4.97,,4.27,
door,4.47,3.8,5.39,6.51,4.87,4.69,5.2,5.84,5.23,5.13
doorbell,4.63,,5.73,,5.33,,5.56,,6.13,
doorknob,4.33,,5.55,,5.05,,5.32,,5.52,
doorman,5.09,,4.59,,5.27,,4.84,,5.83,
doormat,4.7,,5.14,,5.01,,5.18,,5.53,
doorstep,4.58,,4.97,,5.02,,5.29,,5.62,
doorway,4.61,,5.13,6.09,5,,5.29,5.54,5.41,
dooryard,4.5,,5.06,,4.83,,5.25,,5.05,
dope,5.66,,3.86,,4.6,,4.61,,4.16,
dopey,5.39,,4.9,,5.28,,5.18,,5.62,
dorm,4.93,,4.32,,4.92,,4.93,,5.06,
dormant,4.85,,5.79,,4.75,,5.33,,4.91,
dormitory,4.43,,5.34,6.06,5.12,,5.41,5.81,5.71,
dorsal,5.08,,5.71,,4.73,,5.3,,4.77,
dosage,5.5,,4.01,,4.06,,4.63,,3.26,
dose,5.49,,3.82,,4.05,,4.45,,3.24,
dot,4.43,,5.05,5.54,5.26,,5.16,5.62,5.96,
dote,5.47,,3.85,,5.32,,4.77,,5.72,
dotted,4.39,,4.62,,5.13,,4.79,,5.68,
double,4.94,,3.39,,5.43,,3.83,,5.75,
double-entry,4.73,,4.63,,5.22,,4.48,,5.89,
double-space,4.43,,4.66,,5.15,,4.7,,5.56,
doublet,5.24,,4.64,,5.53,,5.03,,6.37,
doubly,5.18,,3.47,,5.15,,4.08,,5.4,
doubt,5.28,,3.16,,4.99,,3.78,,4.64,
doubtful,5.22,,2.95,,5.16,,3.71,,5.32,
doubtfully,5.2,,4.16,,5.33,,4.69,,5.9,
doubtless,5.18,,4.09,,4.81,,4.35,,4.56,
dough,4.51,,6.28,6.54,5.18,,5.83,5.81,5.75,
doughnut,4.74,,6.06,,5.42,,5.77,,6.39,
