word_english,arousal_LSA_M,arousal_norms_M,concrete_LSA_M,concrete_norms_M,dominate_LSA_M,dominate_norms_M,imagine_LSA_M,imagine_norms_M,valence_LSA_M,valence_norms_M
listing,4.48,,4.28,,5.49,,4.32,,6.01,
listless,5.36,4.1,3.78,,4.48,4.14,4.78,,3.96,4.12
listlessly,4.75,,4.39,,5.04,,4.94,,5.61,
literacy,5.44,,3.42,,6,,4.08,,6.19,
literal,4.97,,3.51,,5.41,,3.9,,5.99,
literally,5.15,,2.85,,5.49,,3.31,,6.08,
literary,5.57,,3.79,,5.89,,4.33,,6.84,
literate,5.26,,3.22,,5.76,,4.1,,6.3,
literature,5.46,,3.65,4.97,5.85,,4.27,5.11,6.87,
lithe,5.85,,4.14,,6.09,,4.86,,7.08,
lithium,4.82,,4.91,,4.92,,4.66,,4.94,
lithographic,4.27,,4.85,,5.2,,4.66,,5.64,
lithography,4.25,,4.93,,5.2,,4.75,,5.57,
lithosphere,4.68,,5.18,,4.95,,5,,5.75,
litigation,5.06,,3.87,,4.51,,4.17,,4.4,
litmus,4.74,,5.19,,4.94,,4.9,,5.03,
litre,4.42,,4.42,,4.82,,4.66,,5.05,
litter,4.86,,5.38,,4.74,,5.3,,4.18,
little,5.12,,4.61,,5.16,,4.84,,5.64,
little-known,5.62,,4.57,,5.23,,5.03,,5.49,
littlest,4.92,,5.34,,5.22,,5.38,,5.87,
live,5.03,,5.04,,5.47,,5.01,,6.37,
livelihood,5.04,,4,,5.25,,4.53,,5.19,
lively,5.72,5.53,3.6,,5.99,6.09,4.8,,7.26,7.2
liver,4.91,,5.08,6.54,4.83,,4.92,5.84,4.15,
liverwort,4.67,,5.44,,4.85,,5.05,,4.85,
livery,5.03,,5.32,,5.41,,5.22,,6.15,
livestock,4.51,,5.7,,5.02,,5.31,,4.79,
living,4.96,,4.4,,5.31,,4.58,,6.03,
living-room,4.06,,5.55,,4.94,,5.39,,5.22,
lizard,5.25,,5.86,,4.73,,5.33,,4.53,
llama,4.77,,5.98,,5.17,,5.56,,5.68,
load,4.64,,5.03,,5.25,,4.69,,5.43,
loaded,5.23,,5.65,,5.15,,5.35,,5.45,
loader,4.48,,5.8,,4.95,,5.21,,4.83,
loading,4.97,,5.55,,5.04,,5.27,,5.23,
loaf,4.39,,6.31,,5.11,,5.95,,5.66,
loafer,4.56,,5.59,,5.13,,5.44,,5.38,
loam,4.83,,5.66,,4.64,,5.32,,4.6,
loan,5.33,,3.82,3.69,5.18,,4.05,3.95,5.47,
loanable,5.33,,3.77,,5.39,,3.99,,5.8,
