word_english,letters_N,frequency_M_log,familiar_M_American,familiar_M_British,imagine_M_British,aoa_M_log,imagine_M_American,transparency_M,Lexeme_Meaning_Dominance_M,Length_first_lexeme_M,Frequency_first_lexeme_M,familiar_M_first_lexeme,aoa_M_log_first_lexeme,imagine_M_first_lexeme,bilabial,labiodental,dental,labiovelar,postalvelolar,alveolar,palatal,palatal.alveolar,glottal,velar,voiced,length_second_lexeme_M,frequency_second_lexeme_M,familiar_M_second_lexeme,aoa_M_log_second_lexeme,imagine_M_second_lexeme
fallout,7,3.05,5.57,5.47,3.5,0.742986833,2.52,3.36,3.93,4,5.01,5.72,0.447158031,4.8,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,6.48,6.08,0.414973348,2.2
fanfare,7,3.23,5.43,3.63,2.77,0.753327667,2.71,3.87,5.14,3,4.71,5.2,0.462397998,6,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,3.98,5.13,0.707570176,2.5
filmstrip,9,0.696,5.29,4.97,4.6,0.753327667,5.43,5.64,3.77,4,5.26,6.14,0.556302501,6,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,4.13,5.05,0.653212514,4.8
firefly,7,2.73,6.93,5.97,5.8,0.505149978,6.19,4.2,7,4,5.18,5.8,0.462397998,6.5,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,4.9,5.37,0.431363764,5.9
firsthand,9,2.55,6.64,5.53,2.7,0.716003344,1.33,3.47,3.29,5,6.17,5.9,0.414973348,4.1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5.44,6.01,0.342422681,6.4
flapjack,8,2.55,5,6.77,6.63,0.656417654,4.57,1.79,4.77,4,3.79,4.89,0.556302501,4,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5.02,4.72,0.591064607,4
folklore,8,3.29,5.86,3.7,2.1,0.687231601,2.71,3.87,5,4,4.24,4.6,0.643452676,4.4,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2.38,1,0.799340549,2.2
foolhardy,9,2.71,3.36,2.77,1.6,0.797036595,1.86,2.85,3.38,4,4.36,5.31,0.602059991,3.7,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,3.99,4.42,0.751279104,3.6
foothold,8,3.1,5.21,4.27,3.2,0.753327667,3.71,4.8,5.15,4,4.92,5.83,0.322219295,6.7,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5.32,5.96,0.477121255,4
fortnight,9,3.85,5.79,6.4,3.2,0.787696568,2.14,2.55,7.13,4,3.94,4.18,0.556302501,6,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5.65,6.36,0.361727836,5.8
framework,9,3.86,6.21,5.8,3.87,0.726998728,3.57,3.43,2.73,5,4.76,4.94,0.612783857,6,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5.99,6.03,0.505149978,3.9
freshwater,10,3.29,6.86,6.27,5.87,0.477121255,4.57,6,6.33,5,4.89,5.95,0.568201724,3.2,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5.53,6.41,0.389166084,6.7
friendship,10,4.05,6.93,6.9,4.6,0.315270435,3.43,2.8,1.47,6,5.29,6.03,0.397940009,5.6,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4.77,5.53,0.447158031,6.8
fruitcake,9,2.65,6.43,6.47,6.33,0.579783597,5.81,5.13,6.27,5,4.73,5.9,0.431363764,6.3,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4.81,5.94,0.414973348,6.8
gangplank,9,2.2,2.29,1.73,1.8,0.753327667,3.05,2.83,7.36,4,4.39,5.15,0.643452676,5.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,5,3.65,4.83,0.672097858,4.9
