word_french,valence_M,arousal_M,valence_number,arousal_number,valence_M_Painchaud_2005,valience_M_Syssau_Font_2005,valence_M_Bonin_etal_2003,,valence_M_Messina_etal_1989,valence_M_Vikis_Freiberg_1976,valence_M_Bradley_Lang_1999,valuence_M_Vo_al_2009,valence_M_Leleu_1987,valence_M_Zammuner_1998,valence_M_Eilola_Havelka_2007,valence_M_Redondo_etal_2007,valence_M_Niedenthal_etal_2004,arousal_M_Bradley_Lang_1999,arousal_M_Vo_al_2009,arousal_M_Leleu_1987,arousal_M_Eilola_Havelka_2007,arousal_M_Redondo_etal_2007
détendu,0.67,0.35,1,1,,,,,,,,,0.67,,,,,,,0.35,,
détente,0.80,0.75,1,1,,,,,,,,,0.80,,,,,,,0.75,,
détermination,0.30,0.73,1,1,,,,,,,,,0.30,,,,,,,0.73,,
déterminé,0.37,0.68,1,4,,,,,,,,,0.37,,,,,0.63,0.86,0.58,,0.64
détester,-0.67,,4,-,,,,,,,0.71,0.83,0.63,,,0.52,,,,,,
détonateur,-0.58,0.51,1,1,0.58,,,,,,,,,,,,,,0.51,,,
détour,-0.35,0.58,1,1,,,,,,,,0.35,,,,,,,,0.58,,
détourner,-0.43,0.35,1,1,,,,,,,,,0.43,,,,,,,0.35,,
détresse,-0.69,0.76,3,1,,,,,,,,,0.87,0.45,,,0.74,,0.76,,,
détresse de mer,-0.7,0.71,1,4,,,,,,,,0.70,,,,,,0.73,0.63,0.78,,0.70
détruire,-0.62,0.48,4,4,,,,,,,0.59,0.66,0.70,,,0.54,,0.59,,0.35,0.31,0.68
dette,-0.62,0.30,5,1,0.74,,,,,,0.70,,0.80,,0.30,0.57,,,,0.30,,
deuil,-0.93,0.53,1,1,,,,,,,,,0.93,,,,,,,0.53,,
deux,0.70,0.72,1,1,,,,,,,,,0.70,,,,,,,0.72,,
devenir,0.50,,1,-,,,,,,,,,0.50,,,,,,,,,
devenues,0.29,0.67,1,1,0.29,,,,,,,,,,,,,,,,,0.67
dévêtu,0.14,0.57,1,1,,,,,,,,,,,,0.14,,,,0.57,,
dévisager,-0.5,,1,-,,,,,,,,,0.50,,,,,,,,,
devise,0.24,0.53,1,2,0.24,,,,,,,,,,,,,,0.50,0.57,,
devoir,-0.23,,3,-,0.09,,,,,,,0.33,0.27,,,,,,,,,
dévorer,-0.35,0.46,1,1,0.35,,,,,,,,,,,,,,,,,0.46
dévot,-0.06,0.57,1,1,,,,,,,,,,,,0.06,,,,0.57,,
dévotion,-0.08,0.80,2,1,,0.03,,,,,,,0.20,,,,,,,0.80,,
dévouement,0.40,0.63,1,3,,,,,,,,,0.40,,,,,,0.62,0.58,,0.69
diable,-0.48,,7,-,0.28,0.74,,,0.42,,,0.65,0.67,,,0.40,,,,,,
diadème,0.63,,1,-,0.63,,,,,,,,,,,,,,,,,
diagonal,0.13,0.43,1,2,0.13,,,,,,,,,,,,,,0.42,0.43,,
dialecte,0.13,0.75,2,1,,,,,,,,0.13,0.13,,,,,,,0.75,,
dialogue,0.63,0.50,1,2,,,,,,,,,0.63,,,,,,0.46,,,0.55
diamant,0.58,0.33,5,1,0.53,,0.58,,0.75,,,0.57,,,,0.49,,,,0.33,,
diapositive,0.44,0.33,2,1,,,,,0.57,,,,0.30,,,,,,,0.33,,
diarrhée,-0.91,,2,-,0.92,,,,,,,,0.90,,,,,,,,,
dictaphone,0.06,,1,-,,,0.06,,,,,,,,,,,,,,,
dictateur,-0.95,0.65,1,1,0.95,,,,,,,,,,,,,,,0.65,,
dictatorial,-0.9,0.82,1,1,,,,,,,,,0.90,,,,,,0.82,,,
dictature,-0.77,,2,-,0.72,,,,,,,0.83,,,,,,,,,,
dictionnaire,0.59,,2,-,0.49,,,,0.70,,,,,,,,,,,,,
dièse,0.23,,1,-,,,0.23,,,,,,,,,,,,,,,
diète,-0.36,0.53,1,3,0.36,,,,,,,,,,,,,0.62,0.38,0.58,,
dieu,0.45,0.47,5,1,,0.38,,,,0.27,0.79,0.50,0.33,,,,,,,0.47,,
diffamer,-0.63,0.37,1,1,,,,,,,,,0.63,,,,,,,0.37,,
différence,-0.07,,1,-,,,,,,,,,0.07,,,,,,,,,
différent,0.20,0.50,1,1,0.20,,,,,,,,,,,,,,,0.50,,
difficile,-0.3,0.53,1,1,,,,,,,,,0.30,,,,,,,0.53,,
difficulté,-0.33,,3,-,,0.39,,,,0.24,,,0.37,,,,,,,,,
difforme,-0.63,0.37,1,1,0.63,,,,,,,,,,,,,,0.37,,,
diffus,-0.4,0.57,1,1,,,,,,,,0.40,,,,,,,,0.57,,
diffuser,0.03,,1,-,,,,,,,,,0.03,,,,,,,,,
digestion,-0.01,0.43,2,1,,0.03,,,,0.05,,,,,,,,,,0.43,,
dignité,0.55,0.28,2,1,0.80,,,,,,,,0.30,,,,,,,0.28,,
digue,0.03,0.68,1,1,,,,,,,,,0.03,,,,,,0.68,,,
dilemme,-0.6,0.32,1,1,,,,,,,,0.60,,,,,,,,0.32,,
dilettantisme,-0.03,,1,-,,,,,,,,,0.03,,,,,,,,,
diligence,0.26,0.31,2,2,,,0.23,,0.29,,,,,,,,,,0.22,0.40,,
dimanche,0.47,,3,-,0.32,,,,,,,0.50,0.60,,,,,,,,,
dîme,-0.67,0.33,1,1,0.67,,,,,,,,,,,,,,,0.33,,
diminuer,-0.4,,1,-,,,,,,,,,0.40,,,,,,,,,
dinde,0.30,,1,-,,,,,0.30,,,,,,,,,,,,,
dindon,-0.09,0.61,1,2,,,-,0.09,,,,,,,,,,0.55,,0.67,,
dîner,0.59,0.52,4,1,0.60,,,,0.78,,0.54,,0.43,,,,,,,0.52,,
dingue,-0.37,0.58,1,1,,,,,,,,,0.37,,,,,,0.58,,,
d'initiative,0.47,,1,-,,,,,,,,0.47,,,,,,,,,,
dinosaure,-0.06,0.39,2,1,0.27,,0.15,,,,,,,,,,,,0.39,,,
diplomate,0.30,0.58,1,1,,,,,,,,0.30,,,,,,,,0.58,,
diplomatie,-0.03,0.66,1,3,,,,,,,,,0.03,,,,,,0.62,0.68,,0.68
diplôme,0.61,0.30,4,1,0.55,,,,,,,0.60,0.63,,,0.66,,,0.30,,,
dire,0.23,0.62,1,1,,,,,,,,0.23,,,,,,,,0.62,,
directeur,0.10,0.57,3,1,0.03,,,,0.20,,,,0.07,,,,,,,0.57,,
discipline,0.09,,2,-,0.31,,,,,,,,0.13,,,,,,,,,
discothèque,-0.04,0.57,1,1,0.04,,,,,,,,,,,,,,,0.57,,
discours,-0.02,0.28,2,1,0.13,,,,,,,,0.17,,,,,,,0.28,,
discret,0.55,,2,-,0.68,,,,,,,,0.43,,,,,,,,,
discrètement,0.54,0.67,1,2,0.54,,,,,,,,,,,,,,0.59,0.75,,
discussion,0.37,0.57,3,1,0.72,,,,,,,0.01,0.40,,,,,,,0.57,,
discutailleur,-0.3,0.77,1,1,,,,,,,,,0.30,,,,,,,0.77,,
discuter,0.27,0.58,1,1,,,,,,,,,0.27,,,,,,0.58,,,
disgrâce,-0.57,0.38,1,1,,,,,,,,0.57,,,,,,,,0.38,,
disparaître,-0.37,,1,-,,,,,,,,,0.37,,,,,,,,,
disparition,-0.72,0.20,1,1,0.72,,,,,,,,,,,,,,,0.20,,
disparu,-0.63,0.62,1,1,,,,,,,,,0.63,,,,,,,0.62,,
disponible,0.43,0.36,1,1,,,,,,,,,0.43,,,,,,0.36,,,
disposer,-0.03,0.24,1,1,,,,,,,,0.03,,,,,,,0.24,,,
disposition,-0.13,0.80,1,1,,,,,,,,0.13,,,,,,,,0.80,,
dispute,-0.67,0.52,1,1,,,,,,,,,0.67,,,,,,,0.52,,
disque,0.58,,4,-,,0.37,0.74,,0.72,,,,0.50,,,,,,,,,
dissertation,-0.18,0.33,1,1,0.18,,,,,,,,,,,,,,,0.33,,
distance,-0.2,0.36,2,2,,0.21,,,,,,,0.20,,,,,,,0.22,,0.50
distant,-0.48,0.40,2,1,,,,,,,,,0.57,,,0.39,,,,0.40,,
distinction,0.19,0.32,2,1,,0.12,,,,,,,0.27,,,,,,0.32,,,
distingué,0.30,0.50,1,1,,,,,,,,0.30,,,,,,,,0.50,,
distinguer,0.13,0.72,1,1,,,,,,,,,0.13,,,,,,,0.72,,
distraire,0.57,0.58,1,1,,,,,,,,,0.57,,,,,,,0.58,,
distraire (se),0.67,0.28,1,1,,,,,,,,,0.67,,,,,,,0.28,,
distrait,-0.17,0.24,1,1,,,,,,,,,0.17,,,,,,0.24,,,
distribuer,0.34,0.38,1,1,,,,,,,,0.34,,,,,,,,0.38,,
divaguer,-0.37,0.17,1,1,,,,,,,,,0.37,,,,,,,0.17,,
divan,0.61,0.58,3,1,0.60,,,,0.70,,,,0.53,,,,,,,0.58,,
divertissant,0.70,0.85,1,1,,,,,,,,,0.70,,,,,,,,,0.85
divertissement,0.85,0.38,1,1,,,,,,,,,,,,0.85,,,0.38,,,
diviser,0.40,,1,-,,,,,,,,0.40,,,,,,,,,,
division,-0.45,0.67,1,3,0.45,,,,,,,,,,,,,0.67,,0.62,,0.72
divorce,-0.61,0.52,5,1,0.75,,,,0.20,,0.70,,0.90,,,0.49,,,,0.52,,
divulguer,-0.29,0.42,2,1,0.25,,,,,,,,0.33,,,,,,,0.42,,
dix,0.23,0.28,1,1,,,,,,,,,0.23,,,,,,,0.28,,
docile,0.10,,1,-,,,,,,,,,0.10,,,,,,,,,
docilement,0.12,,1,-,0.12,,,,,,,,,,,,,,,,,
docilité,-0.21,0.55,1,5,0.21,,,,,,,,,,,,,0.61,0.61,0.65,0.26,0.62
docteur,0.09,,9,-,0.16,0.10,,,0.36,0.02,0.05,0.27,0.27,,0.07,0.06,,,,,,
doctorat,0.28,0.28,1,1,0.28,,,,,,,,,,,,,,0.28,,,
document,0.20,,1,-,,,,,,,,0.20,,,,,,,,,,
dodu,0.04,0.36,1,3,0.04,,,,,,,,,,,,,0.35,0.28,,,0.45
doigt,0.27,0.80,7,1,,0.16,0.42,,0.38,0.53,0.07,0.23,,,,0.08,,,,0.80,,
doigts,0.47,0.60,1,2,,,,,,,,,0.47,,,,,0.63,,,,0.57
dollar,0.49,0.33,3,1,,,,,0.58,,0.62,,,,,0.26,,,0.33,,,
domaine,0.03,,1,-,,,,,,,,0.03,,,,,,,,,,
domicile,0.64,,1,-,0.64,,,,,,,,,,,,,,,,,
dominant,-0.36,0.72,1,1,0.36,,,,,,,,,,,,,,,0.72,,
dominateur,-0.63,0.54,1,1,,,,,,,,,0.63,,,,,,0.54,,,
domination,-0.65,,1,-,,,,,,,,0.65,,,,,,,,,,
dominé,-0.67,0.77,1,1,0.67,,,,,,,,,,,,,,,0.77,,
dominer,-0.53,0.63,1,1,,,,,,,,,0.53,,,,,,,0.63,,
dominer (se),0.40,,1,-,,,,,,,,,0.40,,,,,,,,,
domino,0.28,0.30,1,1,,,0.28,,,,,,,,,,,,,0.30,,
dommage,-0.6,,1,-,,,,,,,,,0.60,,,,,,,,,
don,0.68,0.57,1,2,0.68,,,,,,,,,,,,,,0.44,0.70,,
donner,0.05,0.68,2,1,,,,,,,,0.46,0.57,,,,,,,0.68,,
donner (se),0.53,0.65,1,1,,,,,,,,,0.53,,,,,,,0.65,,
dorloter,0.73,0.22,1,3,,,,,,,,,0.73,,,,,,0.16,0.23,,0.28
dormir,0.74,,5,-,0.67,,,,,0.82,,0.67,0.80,,,0.73,,,,,,
dortoir,-0.07,,1,-,0.07,,,,,,,,,,,,,,,,,
dos,0.26,0.56,2,1,0.30,,,,0.22,,,,,,,,,,0.56,,,
dose,-0.23,,1,-,,,,,,,,0.23,,,,,,,,,,
dossier,-0.06,0.47,2,1,0.15,,,,0.03,,,,,,,,,,0.47,,,
dot,0.20,0.30,1,1,,,,,,,,0.20,,,,,,,,0.30,,
douane,-0.43,0.38,1,1,,,,,,,,,0.43,,,,,,,0.38,,
douce,0.67,,1,-,,,,,,,,,0.67,,,,,,,,,
doucereux,-0.03,0.43,1,1,0.03,,,,,,,,,,,,,,,0.43,,
douceur,0.82,,4,-,,0.76,,,0.85,0.86,,,0.80,,,,,,,,,
douche,0.69,0.62,2,4,0.73,,0.66,,,,,,,,,,,0.69,,0.53,0.53,0.71
douleur,-0.71,0.60,8,1,0.85,0.73,,,,,0.72,,0.80,0.82,0.35,0.64,0.78,,,0.60,,
douleur fulgurante,-0.87,0.50,1,1,,,,,,,,,0.87,,,,,,,0.50,,
douleur lancinante,-0.87,0.57,1,1,,,,,,,,,0.87,,,,,,,0.57,,
douloureux,-0.77,0.44,1,2,,,,,,,,,0.77,,,,,,0.52,0.35,,
doute,-0.45,0.43,5,1,0.59,,,,,,,0.50,0.53,0.36,,,0.29,,,0.43,,
douter,-0.5,0.30,1,1,,,,,,,,,0.50,,,,,,,0.30,,
douteux,-0.5,0.38,1,1,,,,,,,,,0.50,,,,,,,0.38,,
doux,0.71,0.59,4,2,0.65,0.60,,,,0.92,,,0.67,,,,,,0.61,0.57,,
dragon,-0.13,,4,-,,,0.18,,0.30,,,0.13,0.53,,,,,,,,,
draguer,-0.17,0.69,1,2,0.17,,,,,,,,,,,,,,0.72,0.65,,
drame,-0.42,,3,-,,,,,0.48,,,0.03,0.80,,,,,,,,,
drap,0.58,0.34,1,5,,,0.58,,,,,,,,,,,0.45,0.25,0.32,0.19,0.48
drapeau,0.09,0.67,9,2,0.07,0.09,0.12,,0.32,,0.26,0.07,0.10,,0.06,0.09,,,0.74,0.60,,
drogue,-0.59,0.42,4,1,0.81,,,,0.25,,,0.42,0.90,,,,,,,0.42,,
droit,0.33,0.40,4,1,0.74,0.31,,,,0.17,,,0.10,,,,,,,0.40,,
droiture,0.17,0.57,1,1,,,,,,,,,0.17,,,,,,,0.57,,
drôle,0.75,,2,-,0.90,,,,,,,,0.60,,,,,,,,,
druide,0.36,0.67,1,1,,,0.36,,,,,,,,,,,,0.67,,,
duel,-0.26,0.23,2,1,0.36,,,,,,,0.17,,,,,,,,0.23,,
dune,0.52,0.42,2,1,,,,,0.71,,,,0.33,,,,,,,0.42,,
duperie,-0.6,0.35,1,1,,,,,,,,,0.60,,,,,,,0.35,,
dur,-0.26,0.35,4,1,0.05,0.17,,,,0.27,,,0.53,,,,,,,0.35,,
dure,-0.31,0.33,2,1,0.10,,,,,,,,0.53,,,,,,,0.33,,
durée,-0.1,0.37,1,1,,,,,,,,,0.10,,,,,,,0.37,,
dureté,-0.53,,1,-,,,,,,,,,0.53,,,,,,,,,
duvet,0.65,0.93,1,1,0.65,,,,,,,,,,,,,,,0.93,,
dynamisme,0.70,,1,-,,,,,,,,,0.70,,,,,,,,,
dynamite,-0.31,0.48,1,4,0.31,,,,,,,,,,,,,0.50,0.21,0.67,,0.53
eau,0.64,0.49,8,1,0.81,0.66,,,0.64,0.77,0.40,0.52,0.70,,,0.66,,,0.49,,,
eau-de-vie,-,0.38,1,1,,,,,,,,,,,,,,,0.38,,,
eaux usées,-0.4,0.33,1,1,,,,,,,,0.40,,,,,,,,0.33,,
ébahi,0.07,,1,-,,,,,,,,,0.07,,,,,,,,,
ébahissement,0.38,0.52,1,1,,,,,,,,,,,,,0.38,,,0.52,,
éblouir,0.40,0.67,1,2,,,,,,,,,0.40,,,,,0.67,,,,0.67
éblouissement,0.27,,2,-,,,,,,,0.57,,,,,0.03,,,,,,
éboueur,-0.14,0.70,1,1,0.14,,,,,,,,,,,,,,,0.70,,
écarteler,-0.8,,1,-,,,,,,,,,0.80,,,,,,,,,
échange,0.58,,2,-,0.62,0.55,,,,,,,,,,,,,,,,
échanger,0.71,,1,-,0.71,,,,,,,,,,,,,,,,,
échappement,-0.2,0.72,1,1,,,,,0.20,,,,,,,,,,,0.72,,
échapper,-,,1,-,,,,,,,,,,,,,,,,,,
écharpe,0.29,0.45,2,2,,0.09,0.49,,,,,,,,,,,0.49,,0.40,,
échec,-0.85,0.47,3,1,0.81,,,,,,0.83,,0.90,,,,,,,0.47,,
échecs (jeu),-0.2,,1,-,,,,,,,,,0.20,,,,,,,,,
échelle,0.10,0.53,2,2,,0.06,0.14,,,,,,,,,,,,0.67,0.40,,
échouer,-0.77,0.73,2,1,,,,,,,,0.65,0.90,,,,,,,,,0.73
éclair,0.10,0.35,3,1,,,0.33,,,0.08,,,,,,0.12,,,0.35,,,
éclairage,0.43,0.32,1,1,,,,,,,,0.43,,,,,,,,0.32,,
éclairé,0.40,0.43,1,2,,,,,,,,,0.40,,,,,,0.38,0.48,,
éclairer,0.48,0.45,4,2,0.66,,,,,0.33,,0.60,0.33,,,,,,0.40,0.50,,
éclat,0.43,0.68,2,2,,,,,,,,0.60,0.27,,,,,,0.64,0.72,,
éclater,-0.25,,2,-,,,,,,,,0.13,0.37,,,,,,,,,
écluse,0.26,,1,-,,,,,0.26,,,,,,,,,,,,,
écœurement,-0.81,0.72,2,1,0.85,,,,,,,,,,,,0.77,,,0.72,,
école,0.18,0.68,4,1,0.19,0.22,,,0.34,,,,0.03,,,,,,,0.68,,
écologie,0.50,0.42,3,1,0.65,0.56,,,,,,,0.30,,,,,,,0.42,,
éconduit,-0.7,0.52,1,1,,,,,,,,,0.70,,,,,,,0.52,,
économie,0.10,,3,-,0.48,0.10,,,,,,,0.27,,,,,,,,,
économique,0.06,0.22,1,1,,0.06,,,,,,,,,,,,,0.22,,,
écorce,0.12,0.57,1,1,,,,,,,,0.12,,,,,,,,0.57,,
écouter,0.40,,1,-,,,,,,,,,0.40,,,,,,,,,
écouteurs,0.25,,1,-,,,0.25,,,,,,,,,,,,,,,
écran,0.42,0.57,2,1,,,0.46,,0.39,,,,,,,,,0.57,,,,
écrasé,-0.7,0.62,1,1,,,,,,,0.70,,,,,,,,,0.62,,
écraser,-0.7,0.55,1,2,,,,,,,,,0.70,,,,,,0.39,0.70,,
écrire,0.43,0.70,3,1,0.56,,,,,,,0.49,0.23,,,,,,,0.70,,
écrit,0.07,,1,-,,,,,,,,,0.07,,,,,,,,,
écritoire,-0.03,,1,-,0.03,,,,,,,,,,,,,,,,,
écriture,0.58,0.53,2,1,0.69,,,,0.48,,,,,,,,,,,,,0.53
écrivain,0.43,,2,-,0.43,,,,,,,,,,,0.44,,,,,,
écrivassier,-0.49,,1,-,0.49,,,,,,,,,,,,,,,,,
écrivassière,-0.5,,1,-,0.50,,,,,,,,,,,,,,,,,
écrou,-0.09,0.76,2,1,,0.11,-,0.07,,,,,,,,,,,0.76,,,
écroulement,-0.57,0.60,1,1,,,,,,,,0.57,,,,,,,0.60,,,
écueil,0.03,,1,-,,,,,,,,0.03,,,,,,,,,,
écume,0.06,,1,-,,,,,0.06,,,,,,,,,,,,,
écureuil,0.47,,2,-,,0.26,0.68,,,,,,,,,,,,,,,
écuyer,0.26,,1,-,,,,,0.26,,,,,,,,,,,,,
edelweiss,0.43,,1,-,0.43,,,,,,,,,,,,,,,,,
éden,0.59,0.50,1,1,0.59,,,,,,,,,,,,,,,,,0.50
édifice,0.17,,4,-,0.52,,,,0.16,0.09,,,,,,0.10,,,,,,
édredon,0.70,,1,-,0.70,,,,,,,,,,,,,,,,,
éducatif,0.63,0.68,1,2,0.63,,,,,,,,,,,,,,,0.72,,0.64
éducation,0.50,0.52,3,1,0.63,,,,,,,,0.30,,,0.57,,,,0.52,,
effaroucher,-0.3,0.60,1,1,,,,,,,,,0.30,,,,,,,,,0.60
effectif,0.51,,1,-,,,,,,,,,,,,0.51,,,,,,
efféminer,-0.7,0.43,1,2,0.70,,,,,,,,,,,,,,0.34,0.52,,
effet,0.17,0.42,2,1,,,,,,,,0.20,0.13,,,,,,,0.42,,
effleurer,0.27,0.87,1,1,,,,,,,,,0.27,,,,,,,0.87,,
effort,0.28,0.67,4,1,0.64,0.23,,,,0.07,,,0.17,,,,,,,0.67,,
effraie,-0.47,0.60,1,1,,,,,,,,,0.47,,,,,,,0.60,,
effrayant,-0.53,0.63,1,2,,,,,,,,,0.53,,,,,0.73,,0.53,,
effrayé,-0.59,0.67,2,1,,,,,,,0.56,,0.63,,,,,,,0.67,,
effrayer,-0.47,0.48,1,1,,,,,,,,,0.47,,,,,,,0.48,,
effroi,-0.51,0.47,2,1,,,,,,,,,0.60,,,,0.41,,,0.47,,
effroyable,-0.7,,1,-,,,,,,,,,0.70,,,,,,,,,
effusion,0.24,0.30,1,1,,,,,,,,,,,,,0.24,,,0.30,,
égal,0.17,0.43,1,1,,,,,,,,,0.17,,,,,,,0.43,,
égalité,0.64,0.42,3,1,0.84,0.67,,,,,,,0.40,,,,,,,0.42,,
égaré,-0.7,0.63,1,1,,,,,,,,,0.70,,,,,,0.63,,,
égarer,-0.57,0.65,1,1,,,,,,,,0.57,,,,,,,,0.65,,
égayer,0.57,0.42,1,4,,,,,,,,,0.57,,,,,0.42,0.33,0.47,,0.48
église,0.05,,9,-,0.23,0.02,0.15,,0.36,0.10,0.32,0.02,0.07,,,0.16,,,,,,
ego,0.16,0.38,1,1,,0.16,,,,,,,,,,,,,,0.38,,
égocentrisme,-0.57,0.49,2,2,0.40,,,,,,,,0.73,,,,,,0.68,0.30,,
égoïsme,-0.64,0.67,3,1,0.68,,,,,,,0.37,0.87,,,,,,,,,0.67
égoïste,-0.74,,2,-,0.96,,,,,,,,,,,0.53,,,,,,
égout,-0.77,,1,-,0.77,,,,,,,,,,,,,,,,,
éjaculation,0.55,,1,-,0.55,,,,,0.02,,,,,,0.61,,,,,,0.56
élan,0.33,0.24,1,1,,,0.33,,,,,,,,,,,,0.24,,,
élargir,0.39,0.44,1,1,,,,,,,,0.39,,,,,,,0.44,,,
élection,-0.21,0.50,2,1,0.46,,,,,,,0.04,,,,,,,,0.50,,
électricité,0.24,,3,-,0.53,0.23,,,,,,,0.03,,,,,,,,,
électrode,-0.24,0.52,1,1,0.24,,,,,,,,,,,,,,,0.52,,
élégance,0.50,0.56,1,1,,,,,,,,,0.50,,,,,,,,,
élégant,0.61,,1,-,,,,,,,,,,,,,,,,,,
élément,0.11,0.49,1,1,,0.11,,,,,,,,,,,,,0.49,,,
éléphant,0.27,,5,-,0.11,0.32,0.38,,0.30,,,0.44,,,,,,,,,,
élève,0.03,,2,-,0.09,,,,,,,,,,,,,,,,,
élevé,0.34,,1,-,,,,,0.34,,,,,,,,,,,,,
élever,0.45,0.38,1,1,0.45,,,,,,,,,,,,,,0.38,,,
éliminer,-0.29,0.55,1,1,,,,,,,,0.29,,,,,,,,0.55,,
élire,-0.03,,1,-,,,,,,,,,0.03,,,,,,,,,
élite,0.45,0.45,1,1,0.45,,,,,,,,,,,,,,,0.45,,
éloge,0.37,,1,-,,,,,,,,,0.37,,,,,,,,,
éloigné,-0.38,0.47,1,2,0.38,,,,,,,,,,,,,,0.47,0.47,,
éloigner,-0.32,0.61,2,1,,,,,,,,0.24,0.40,,,,,,0.61,,,
élongation,-0.6,,1,-,,,,,,,,0.60,,,,,,,,,,
émancipation,0.29,,1,-,0.29,,,,,,,,,,,,,,,,,
emballé,0.49,0.56,1,1,,,,,,,,,,,,,0.49,,0.56,,,
embargo,-0.57,0.35,1,1,,,,,,,,0.57,,,,,,,,0.35,,
embarras,-0.68,,2,-,0.80,,,,,,,,0.57,,,,,,,,,
embarrassé,-0.47,0.43,2,1,,,,,,,,,,0.58,,,0.36,,,0.43,,
embêtant,-0.63,0.42,1,1,,,,,,,,,0.63,,,,,,,0.42,,
embêté,-0.6,,1,-,,,,,,,,,0.60,,,,,,,,,
embêtement,-0.42,0.57,1,1,,,,,,,,,,,,,0.42,,,0.57,,
embêter,-0.47,,1,-,,,,,,,,,0.47,,,,,,,,,
embouteillage,-0.58,,1,-,0.58,,,,,,,,,,,,,,,,,
embraser,0.51,0.72,1,1,0.51,,,,,,,,,,,,,,,0.72,,
embrassade,0.47,0.69,1,2,,,,,,,,,0.47,,,,,,0.54,0.83,,
embrasser,0.82,,2,-,,,,,,,,0.87,0.77,,,,,,,,,
émerveii1ement“,0.80,0.50,1,1,,,,,,,,,,,,,0.80,,,0.50,,
émerveillé,0.80,0.53,1,1,,,,,,,,,0.80,,,,,,,0.53,,
émerveillement,0.69,0.67,2,1,,,,,,,,,0.77,0.62,,,,0.67,,,,
émeute,0.51,0.52,1,1,,,,,,,0.51,,,,,,,,,0.52,,
emmerdant,-0.6,0.60,1,1,,,,,,,,,0.60,,,,,,,0.60,,
emmerder,-0.5,0.10,1,1,,,,,,,,,0.50,,,,,,,0.10,,
emmerder (s'),-0.73,,1,-,,,,,,,,,0.73,,,,,,,,,
emmurer,-0.57,0.58,1,1,0.57,,,,,,,,,,,,,,,0.58,,
émoi,0.47,0.58,1,1,,,,,,,,,0.47,,,,,,,0.58,,
émotif,0.28,0.57,2,2,0.26,,,,,,,,0.30,,,,,,0.53,0.60,,
émotion,0.48,0.57,4,1,0.52,,,,,,,0.23,0.43,,,,0.73,,,0.57,,
émotionné,0.30,0.58,1,1,,,,,,,,,0.30,,,,,,,0.58,,
émotionnel,0.30,0.58,1,1,,,,,,,,,0.30,,,,,,,0.58,,
émotive,0.30,0.58,1,1,,,,,,,,,0.30,,,,,,,0.58,,
émotivité,0.17,,1,-,,,,,,,,,0.17,,,,,,,,,
émoustillé,0.31,0.63,1,1,,,,,,,,,,,,,0.31,,,0.63,,
émouvant,0.30,0.57,1,1,,,,,,,,,0.30,,,,,,,0.57,,
émouvoir (s'),0.27,0.53,1,1,,,,,,,,,0.27,,,,,,,0.53,,
empêcher,-0.5,0.32,1,1,,,,,,,,,0.50,,,,,,0.32,,,
empiler,-0.07,,1,-,,,,,,,,0.07,,,,,,,,,,
emploi,0.73,0.50,1,1,0.73,,,,,,,,,,,,,,,0.50,,
employée,-,0.63,1,1,,,,,,,,,,,,,,,,0.63,,
employer,-,,1,-,,,,,,,,,,,,,,,,,,
employeur,0.16,0.72,1,1,0.16,,,,,,,,,,,,,,,0.72,,
emportement,-0.34,0.75,2,1,,,,,,,,,0.47,,,,0.22,,,0.75,,
emporter (s'),-0.5,,1,-,,,,,,,,,0.50,,,,,,,,,
empreinte,0.31,,1,-,,,0.31,,,,,,,,,,,,,,,
empressement,-0.09,0.32,1,2,,,,,,,,,,,,,0.09,,0.31,0.33,,
emprunt,-0.31,,3,-,0.31,,,,,,,0.28,0.33,,,,,,,,,
ému,0.37,0.50,2,1,,,,,,,,,,0.27,,,0.47,,0.50,,,
en vertu de,0.46,,1,-,,,,,,,,0.46,,,,,,,,,,
enceinte,0.22,,1,-,,,,,0.22,,,,,,,,,,,,,
enchanté,0.65,0.55,2,1,,,,,,,,,,0.55,,,0.75,,,0.55,,
enchantement,0.72,0.58,2,1,,,,,,,,,0.67,,,,0.78,,,0.58,,
enchanteur,0.47,0.33,1,1,,,,,,,,,0.47,,,,,,0.33,,,
enclume,-0.07,0.31,2,2,,,-,0.02,,,,0.11,,,,,,0.36,0.26,,,
encre,0.13,,4,-,,,0.31,,0.08,,0.01,0.12,,,,,,,,,,
encrier,0.30,,1,-,,,0.30,,,,,,,,,,,,,,,
encyclopédie,0.54,0.28,1,1,0.54,,,,,,,,,,,,,,,0.28,,
endolori,-0.5,0.08,1,1,,,,,,,,,0.50,,,,,,,0.08,,
endormi,0.01,0.15,2,1,0.26,,,,,,,,0.27,,,,,,,0.15,,
endormir (s'),0.40,0.68,1,1,,,,,,0.72,,,0.40,,0.36,,,,,0.68,0.49,
endurance,0.17,0.45,1,1,,,,,,,,,0.17,,,,,,,0.45,,
endurcir (s'),-0.1,0.62,1,1,,,,,,,,,0.10,,,,,,0.62,,,
énergie,0.74,0.82,4,2,0.81,0.72,,,0.75,,,0.70,,,,,,,,0.87,,0.76
énergique,0.55,0.78,2,1,,,,,,,,,0.50,,,0.59,,,,0.78,,
énervé,-0.73,,1,-,,,,,,,,,0.73,,,,,,,,,
énervement,-0.55,0.78,1,1,,,,,,,,,,,,,0.55,,,0.78,,
