word_french,valence_M,arousal_M,valence_number,arousal_number,valence_M_Painchaud_2005,valience_M_Syssau_Font_2005,valence_M_Bonin_etal_2003,,valence_M_Messina_etal_1989,valence_M_Vikis_Freiberg_1976,valence_M_Bradley_Lang_1999,valuence_M_Vo_al_2009,valence_M_Leleu_1987,valence_M_Zammuner_1998,valence_M_Eilola_Havelka_2007,valence_M_Redondo_etal_2007,valence_M_Niedenthal_etal_2004,arousal_M_Bradley_Lang_1999,arousal_M_Vo_al_2009,arousal_M_Leleu_1987,arousal_M_Eilola_Havelka_2007,arousal_M_Redondo_etal_2007
notion,0.03,0.38,1,1,,,,,,,,,0.03,,,,,,,0.38,,
notoriété,0.20,0.14,1,1,,,,,,,,,0.20,,,,,,0.14,,,
nouille,0.52,0.41,1,1,,,,,,,,0.52,,,,,,0.41,,,,
nourrir,0.37,,1,-,,,,,,,0.37,,,,,,,,,,,
nourrisson,0.61,0.43,2,2,0.63,,,,0.58,,,,,,,,,,0.29,0.57,,
nourriture,0.62,0.62,4,1,0.63,,,,,0.66,,0.63,0.57,,,,,,,0.62,,
nouveau,0.60,,2,-,0.57,,,,,,,,0.63,,,,,,,,,
nouveau-né,0.80,,1,-,0.80,,,,,,,,,,,,,,,,,
nouveauté,0.82,0.62,1,1,0.82,,,,,,,,,,,,,,,0.62,,
nouvelle,0.59,0.52,2,1,0.55,,,,,,,,0.63,,,,,0.52,,,,
nouvelles,0.08,0.29,1,1,,,,,,,0.08,,,,,,,,0.29,,,
novembre,-0.17,,1,-,,,,,,,,0.17,,,,,,,,,,
noyade,-0.92,0.62,1,2,0.92,,,,,,,,,,,,,,0.71,0.53,,
nu,0.39,0.30,3,2,0.50,,,,,,,0.27,0.40,,,,,,0.22,0.38,,
nuage,0.28,0.38,6,2,0.25,0.18,0.42,,0.22,,,0.33,0.27,,,,,0.29,,,,0.47
nuages,0.35,,2,-,,,,,,,0.30,,,,,0.41,,,,,,
nuageux,-0.74,0.85,1,1,0.74,,,,,,,,,,,,,,,0.85,,
nucléaire,-0.52,,2,-,0.58,,,,,,,,0.47,,,,,,,,,
nudisme,0.14,0.45,1,1,0.14,,,,,,,,,,,,,,,0.45,,
nudité,0.43,0.61,1,1,,,,,,,,,0.43,,,,,,0.61,,,
nuire,-0.6,0.50,1,1,,,,,,,,0.60,,,0.36,,0.57,,,0.50,0.66,
nuisible,-0.73,0.49,1,2,,,,,,,,,0.73,,,,,,0.47,0.50,,
nuit,0.45,0.10,6,1,0.52,0.46,,,0.29,0.88,,0.33,0.23,,,,,,,0.10,,
nulle part,-0.6,,1,-,,,,,,,,,0.60,,,,,,,,,
nullité,-0.8,0.20,1,1,0.80,,,,,,,,,,,,,,,0.20,,
numéro,-0.37,,2,-,0.44,,,,,,,,0.30,,,,,,,,,
nutrition,0.78,,1,-,0.78,,,,,,,,,,,,,,,,,
nymphe,0.38,0.18,1,1,,,,,0.38,,,,,,,,,,0.18,,,
