word_english,aoa_s_N,aoa_s_M,aoa_s_SD,rt_M,rt_SD
chew,32,2.7,0.9,2994.9,4528.1
chic,32,5.3,1.2,2028.5,1298
chick,32,3.3,1.2,1829.6,1284.4
chide,32,6.4,1,1778.7,1909.7
chief,30,3.8,1.2,3424.8,4740.2
child,32,2.8,1,1602,597
chill,32,3.9,0.9,2142.1,1667.1
chime,32,4.4,1.1,2432.2,2632.7
chimp,32,3.6,1.1,1958.8,1466.7
chin,32,2.6,0.7,1916.1,1913.9
chip,31,3.1,1.1,2698.5,4230.1
chirp,31,3.5,1.3,2423.3,2432.4
chive,32,5.6,1,1944.9,1510.7
chock,31,5.8,1.3,3017.1,3218.6
choice,32,3.7,0.9,1889.1,2341.6
choir,32,3.9,1,1968.3,1101.9
choke,32,3.8,1.1,2135.1,1513.2
choose,31,3.3,1,1871.1,1167.6
chop,31,3.9,1.1,2131.4,2333.8
chord,30,4.9,1.3,2093.3,1850
chore,31,3.5,1,2042.8,1599.3
chose,32,3.8,1.2,2596,2075.1
chow,32,4.4,1.1,2898.2,4041.6
chrome,32,5.5,1.2,2129.1,2375.3
chuck,32,4.6,1.4,2838.6,2369.3
chug,32,4.8,1.2,1835,1002.6
chum,32,5.3,1.2,2918.9,4778.8
chump,32,5,1.3,1777.7,1536.8
chunk,31,3.7,0.9,2807,3347.6
church,31,2.7,0.8,1774.4,1148.4
churn,31,4.9,1.1,1945.8,1451.8
chute,31,5.4,1.2,1941.1,1350.8
cinch,31,5.6,1.2,1914.2,1189.4
cite,32,5.9,1,2079.3,1856.9
clack,31,5,1.6,2111.2,1536.1
clad,32,6.1,1,3005.5,4400.1
claim,32,4.4,0.9,1989.4,1383.2
clam,32,3.7,1.1,2843.9,3221.8
clamp,31,4.9,1.1,2888.5,4672.1
clan,32,5.1,1.4,5992.6,19752.9
clang,31,4.6,1.5,1891.3,1239
clank,31,4.7,1.5,2777.2,3408.5
clap,31,2.6,0.9,1868.5,1785
clash,30,4.9,1.1,3112.8,4431.8
clasp,31,5,1.1,2256.1,1799.9
class,32,3.1,0.8,2833.8,3128.9
clause,32,5.5,1.3,2180.7,1836.1
claw,32,3.3,1.2,2051.2,1372.5
clay,30,3.2,0.8,1883.1,1167.4
clean,32,3,0.8,2072,1454.3
cleanse,32,4.7,1.4,2584.3,2845.9
clear,30,3.3,1.1,1866.9,1624.3
cleat,32,5.1,1.5,2115.1,1787.2
cleave,32,6.1,1.2,1867,1148.4
clef,31,6,1.2,1812.2,1248.9
cleft,31,6.4,0.8,1791.2,995.1
clench,29,4.8,1.1,1849.1,1292.2
clerk,31,4.6,1.1,2197.3,1654.5
click,32,3.7,1,2192.1,2640.2
cliff,32,3.9,1.1,3097.3,6128
climb,32,3.3,0.9,2484.7,2594.7
clinch,31,5.2,1.3,2730.6,4720.4
cling,32,4,1.2,2653.5,3510.5
clink,32,4.8,1.6,2235.7,2113.7
clip,31,3.8,0.7,3038.7,3200
clique,32,5.7,1.2,2010.1,1216.1
cloak,32,4.8,1.1,2361.8,2901.8
clock,32,2.9,1,1612,1552.6
clod,31,5.5,1.3,1772.7,1289.4
clog,31,4.5,1,2115.4,1822.3
clone,32,5.5,1.1,2751.7,2776.8
clop,32,5.3,1.5,2170.9,1753.9
close,32,3.1,1.3,2813.3,5309.7
clot,31,5.1,1.2,2023.9,1895
cloth,32,3.3,1.1,2708.4,4144
clothe,31,4,1.3,3186.1,3315.6
clothes,32,2.7,0.8,1455.5,581.4
cloud,30,2.8,0.9,1863.1,1544.1
clout,32,6.4,0.9,2499,5435.8
clove,31,5.1,1.2,1760.4,897.3
clown,31,2.5,0.8,1598.9,1040
club,32,3.6,0.8,2394.6,2067.1
cluck,32,3.5,1.6,1884.2,1315.6
clue,32,3.7,0.8,1883.6,1250.2
clump,32,4.7,1.1,2014.6,1636.7
clung,32,4.8,1.1,2574,2620.5
clutch,30,5.1,1.1,1852.3,1064.9
coach,32,3.4,1,2001.1,1126.8
coal,32,3.8,1.1,2394.3,2454.3
coarse,32,5.2,1,2082.6,1431.7
coast,31,4.2,1,2398.3,2348.9
coat,30,2.7,0.9,2453.4,2746.3
coax,31,5.7,1.1,1922.3,1429.8
cob,31,4.1,1.3,1519.8,754.9
cock,31,5.2,1.4,3090.1,2370.7
cod,32,5.2,1.4,1692.6,831.5
code,32,4,0.8,2470.7,2338.5
coin,32,3.1,0.8,2248,1881.1
coke,31,3.5,1.2,2378.4,2546.1
cold,30,2.5,0.8,1663.6,1258.8
colt,32,4.5,1.3,1747.5,1201.2
comb,32,3.2,1.2,2319,2796.1
come,32,2.8,1,2368.2,2437.1
con,31,5.1,1.4,2244.3,2844.4
cone,30,3.5,1,2289.9,1863.7
conk,32,5.2,1.5,2626.3,2411
cook,30,3.1,0.8,1816.5,1457.8
cool,32,3.3,1,1823.4,899.2
coon,30,5.3,1.5,2140.1,1586.8
coop,32,5.5,1.2,2836.2,3197.4
coot,32,6,1.4,1830.6,1080.7
cop,32,3.3,0.9,1645.1,875
cope,31,5.2,1,2318,1749.4
cord,32,3.9,1.2,2094.2,1872
core,32,4.2,1,2070.8,1452.8
cork,30,4.3,1.2,2259.9,1808.3
corn,32,2.8,0.8,2772.9,4694.6
corps,30,5.6,0.9,2339.3,1574.2
corpse,31,5.2,1,2230.3,1429.5
cost,32,3.7,0.9,2218.4,2127.7
cot,32,4.6,1.4,2504.3,2748.5
couch,29,3,0.8,2255.6,1981.7
cough,31,2.8,0.9,1603.3,898.3
could,31,3.3,1,3292,5473.9
count,32,2.9,0.8,1832.3,1071.3
coup,32,6.2,1.1,1843.3,1191.6
course,32,4.5,1.1,2706.2,2478.1
court,31,4.3,0.8,2884.7,5253.6
cove,31,5.2,1.2,2185.7,2261.2
cow,31,2.4,0.6,1977.6,2373.7
coy,31,5.7,1.2,1680.3,1173.5
crab,32,3.1,1.1,2495.4,3817.1
crack,31,3.4,1.1,2382.8,2496.4
craft,31,3.7,1,2514.2,3443.1
cram,31,4.6,1,2399.6,2415.7
cramp,31,4.5,1.3,2450.7,1996.7
crane,30,4.7,1.4,2257.4,2035.3
crank,32,4.7,1.3,3431.2,6451.6
craps,32,5.5,1.4,3261,2274.8
crash,32,3.1,1,2352.7,2836.7
crate,32,4.7,1.2,2057.1,1473.2
crave,31,4.7,1,1951.2,1306.6
crawl,31,2.8,1,2883.1,3664.2
craze,30,5.2,1.3,2756.4,3337
creak,31,4.5,1.3,2213.8,1635.7
cream,31,3.5,1.2,2523.7,2375.6
crease,31,4.9,1.2,2084.3,1440.3
creed,31,5.4,1.3,2056.6,1423
creek,31,3.7,1.1,2110.1,2361.6
creep,31,4.3,0.9,1999.6,1484.7
crepe,30,5.9,1.4,1576.3,751.7
crept,31,4.5,1.2,2774.7,4888.4
crest,31,5,1.1,2298.4,2056.1
crew,32,4.4,1.1,2093.2,2329.1
crib,32,2.7,0.9,1791.9,1023.3
crick,32,5.3,1.2,2192.2,1811.8
crime,32,3.9,0.9,1966.3,1593.5
cringe,31,5.1,1.2,1536.9,792.6
crisp,31,4.1,1.2,4304.6,10738.2
croak,32,4.9,1.4,1785,985.9
crock,31,5.3,1.2,3033.8,3732.4
crook,31,4.5,1.2,2458.5,2543
croon,30,6.3,0.7,1465.2,580.4
crop,31,4.3,1.1,2447.7,2091.2
cross,31,3.3,0.8,2589.8,3208
crotch,32,4.9,1.2,2937.9,2318.2
crouch,32,4.4,0.9,2037.9,972.6
crow,31,3.5,1,3313.8,8241.6
crowd,31,3.8,1,2512.2,1984.6
crown,32,3.2,0.9,2883.2,6307
crude,32,5.4,1,2149.4,2594.5
cruise,32,4.5,1,1882.4,1471.3
crumb,32,3.3,1.1,1765.1,1285.8
crunch,31,3.7,1.2,1976.9,1427.3
crush,32,3.8,1,1962.3,1341.8
crust,32,3.4,1.2,1560.6,731.3
crutch,31,4.2,1.2,2126.3,1701
cry,31,2.2,0.6,1860,1344.4
crypt,31,5.5,1.3,1831,1446.7
cub,30,3.8,1.5,2396.5,2403.5
cube,32,3.7,0.9,2130.3,2022.6
cud,32,6,1.4,1993,1740.3
cue,31,4.9,1.3,1651.7,895.3
cuff,31,4.7,1,1910.2,1549.3
cult,30,5.4,0.9,2147.7,1327.7
cup,31,2.3,0.9,1584.4,786.3
curb,32,3.9,1,2114.6,1637.5
curd,30,5.5,1.6,1618.6,1041.1
cure,31,4,1,2164.8,1906.5
curl,32,3.4,0.9,1947.8,1303.8
curse,31,4.2,1.1,2072.5,1249.5
curt,31,5.9,1.3,1613.8,1211.9
curve,31,4.1,1,1616.9,825.7
cusp,32,6.2,0.9,1936.4,1697.7
cut,31,2.8,0.9,1522.8,949.4
cute,30,2.9,0.9,1572.4,722.6
cyst,32,6.3,0.8,1728.6,989.8
czar,31,6.3,1,1894.5,1335.1
dab,32,4.3,1.4,1870.5,1265.3
dad,30,1.5,0.7,1646.1,893.2
daft,31,6.5,1,2092.2,1615.1
dale,30,6.2,1.1,1937.8,1563.6
dam,32,4.3,1,2678.9,2834.6
dame,32,5.4,1.2,2097.9,1740.7
damn,32,4.8,1.2,3913.4,3479.7
damp,32,4.2,0.8,1811.1,1052.5
dance,32,2.9,0.8,1652.9,919.7
dank,31,6.2,1.3,2024.8,1510.7
dare,30,3.6,0.9,1737.1,1245.8
dark,32,2.5,0.8,2147.1,1694.5
darn,32,4.1,1.2,2210.2,1703.1
dart,32,4.2,0.9,2101.1,1754.1
dash,31,3.9,1.2,2083.5,1915
date,29,3.8,1.2,2281,1893.9
daunt,32,6.1,1.2,1699.4,1360.3
dawn,32,3.9,1,2290.7,1537.6
day,31,2.5,0.6,2324.9,2373.8
days,32,2.9,0.8,2126.1,2125.9
daze,31,4.7,1.2,3104.2,3631.9
dead,32,3.1,0.7,2225.9,1393.5
deaf,32,3.8,0.9,2177.7,2794.7
deal,31,3.7,0.9,2092.5,1503.1
dealt,31,4.6,0.8,2616,2134.4
dean,32,5.5,1.2,2095.9,1156.9
dear,31,3.5,1,2052.8,1266
dearth,32,6.7,0.8,1299,562.8
death,31,3.5,1,1910.4,1287.6
debt,32,5.2,1.1,2799.7,4041.8
deck,32,3.5,1,1984.4,1992.6
deed,31,4.8,1,1925.5,1729.8
deem,32,5.9,0.8,2241.7,2551.8
deep,31,3.2,0.6,1897.4,1120.1
deer,30,2.9,0.8,1788.5,1330.5
dell,30,5.9,1.4,2023.2,1026.3
den,31,3.4,0.9,2099.3,1340
dense,31,5.3,1,4099.2,10832.1
dent,32,4.1,1,1864.2,992.1
depth,31,4.8,0.7,2370.1,1783.4
desk,31,2.9,0.8,2241,2902.2
deuce,32,5.9,1.2,1859.3,1575.2
dew,32,4,1.1,2525.4,3600.7
dice,32,3.8,1.2,3425,7274.4
did,30,2.5,1,1600.8,927.1
die,31,3.3,0.9,1788.4,1140.4
dig,31,2.7,0.8,2239,2064.1
dike,32,5.8,1,1763.5,1055.9
dill,31,4.7,1.3,2172,1663.1
dim,32,4.3,1,2216.7,2285.8
dime,32,3.2,1,1966.1,1355.7
din,31,5.4,1.8,2945.7,2811
dine,32,4.3,1.1,2076.2,1332.4
dip,31,3.4,0.9,2852.8,4432.6
dire,31,6.3,0.8,1694.6,1011
dirge,32,6.8,0.7,1865.5,2467.5
dirt,31,2.5,0.9,1344.5,765
dish,32,2.9,0.9,2358,3433.2
ditch,30,4,1,1812.6,1702
dive,31,3.4,1.1,3009.6,3393.4
do,32,2.3,0.8,1253.2,685.3
dock,32,3.7,0.9,2239.4,2133.1
dodge,32,4,1.2,2746.8,5298.5
doe,32,4.3,1.5,1749.2,895.9
does,31,3.1,0.9,1771.2,1560.2
dog,32,2.2,0.9,1774.7,2250.2
dole,32,6.1,1,2235.1,1771.8
doll,32,2.4,1.2,1819.5,1866.6
dolt,31,6.3,1.1,1983.6,2685.5
dome,32,4.6,0.9,1798.8,1551.1
don,31,6.2,1.2,1869.6,1693.5
