word_english,aoa_s_N,aoa_s_M,aoa_s_SD,rt_M,rt_SD
keel,32,5.5,1.3,1966.9,1252.3
keen,32,5.6,1,2010.5,1626
keep,32,3,0.7,1888.6,1471.8
keg,32,6.2,1.1,2235.8,1318.2
kelp,32,5.7,1.2,1775,1161.8
kept,32,3.6,0.9,1666.6,1295.5
key,32,3,1,2112.8,1647
kick,32,3,0.9,2537.9,3850.1
kid,31,2.5,0.7,1737.1,1443.9
kill,31,3.5,1,2000.5,1254.5
kiln,32,6,1.2,2362.6,2903.5
kilt,32,5,1.2,1686.2,816.7
kin,30,5.1,1.2,2050.2,1555.3
kind,30,3,0.8,2258.8,2510.7
king,32,3.2,0.9,1764.7,1173.5
kink,32,5.4,1,1998,1653.7
kiss,31,2.5,0.8,1533.1,717.7
kit,32,3.8,1,1919.3,1121.5
kite,32,2.9,0.9,1856.7,1731.5
knack,32,5.2,1.3,2103.6,2002.2
knave,32,6.6,0.7,2208.4,2200.2
knead,32,5.1,1.2,1876.2,1835.2
knee,29,2.4,0.7,1760.9,1472.9
kneel,32,3.9,1.3,1970.8,1259
knell,32,6.2,1.3,1805.2,1384.1
knelt,30,4.9,1.2,2762.1,2903.2
knew,32,3.8,1.3,2492,2060.2
knife,31,3,0.8,2351.2,2260.9
knight,31,4,1,2270.6,2444.7
knit,31,4.2,1.2,1929.5,1095.6
knob,31,3.7,1,2532.2,2275.8
knock,32,3.4,1.1,2806.1,3879
knoll,31,5.8,1.2,2197.9,1729.8
knot,32,3.7,1.1,2072.9,1431.1
know,31,2.8,0.9,2767.5,2105.2
kraut,32,6.4,0.9,1807.7,1079.5
lab,32,4.3,1.2,2627.6,2499.2
lace,32,4.1,1.3,2064.3,1566.8
lack,32,4.3,0.9,2349.8,2365.7
lad,32,4.9,1.2,1772.9,958.4
lag,32,5.3,1.5,2307.1,2518.1
laid,32,4.3,1.2,3842.1,6193.2
lain,29,5.3,1.3,3298,5310.8
lair,32,5.3,1.5,1952.4,1429.5
lake,32,3,0.7,2705.7,3691.6
lamb,32,2.8,0.8,2807.1,2261.4
lame,32,4.6,1,2560.2,3708.2
lamp,32,3.1,0.8,1851.9,1186.8
lance,31,5.6,1.4,1740.2,716.4
land,32,3.1,0.7,1917.5,975
lane,29,4.2,1.3,2182.8,1608
lap,31,3,1.1,2164.7,1888.2
lapse,31,6.1,0.8,1533.6,865.2
lard,32,5.2,1,1818.4,1358.7
large,31,3,1,1670.7,872.8
lark,31,5.8,1,1437.8,566.4
lash,32,5,1.1,2215,1426.9
lass,31,5.8,1.2,1605.6,861.1
last,31,3.3,1,2053.5,1276.6
latch,32,4.7,1.1,2141.8,2935.6
late,31,3.2,0.8,2057.1,1794.3
lathe,32,6.7,0.8,1737,1231.7
laud,32,6.6,0.9,1393,575.1
laugh,32,2.5,0.6,2007.6,1528.2
launch,31,4.1,1.3,2322.3,3616.6
law,31,3.6,1,2073.4,2159.3
lawn,31,3.4,1.1,1648.2,1113.9
lax,31,6.1,1,1754.2,1466
lay,31,3.2,1.2,2090.8,1519.3
laze,32,5.7,1.2,2308.8,2369.4
leach,30,5.3,1.3,3287.3,4107.9
lead,32,3.6,0.9,2231.7,1440.1
leaf,31,2.9,1,1768.6,1335.7
league,32,4.2,0.7,1960.1,1244.5
leak,30,3.6,1.1,2044.6,1771.4
lean,31,3.9,0.9,1997.9,1205.6
leap,32,3.5,1,2335.8,2237.8
leapt,31,4.8,1.2,2420.2,1842.5
learn,32,2.9,0.8,2193.6,1677.6
lease,32,5.6,0.9,2252.7,1576.6
leash,32,3.5,0.9,1994,1289.8
least,32,3.8,0.9,2019.6,1515.8
leave,32,3.3,0.9,2319,2222.9
led,32,3.7,0.9,1693.8,951
ledge,32,4.5,1.1,1641.7,1113.1
leech,31,5,1,1831.8,1395.2
leek,31,5.1,1.5,2354.1,2205.8
leer,32,6,1,2298.2,1698.3
left,32,3,1,2180.4,1694.9
leg,31,2.2,0.7,1747.2,1068.4
lend,32,4.3,0.9,2945.6,2716.2
length,32,4.1,1.1,2329.6,1385
lens,31,4.2,1,2146.4,1482.5
lent,32,4.5,1,2643.4,3061.1
less,31,3.3,0.9,1873.1,1160.8
lest,31,6,1.1,3286.6,5755.1
let,30,2.6,0.9,1627.6,1212.2
lewd,32,6.2,1,1629.4,819.2
lice,31,4.3,1.2,1946.1,1462.8
lick,31,3,1,2323.1,3859.1
lid,32,3.1,0.9,2019.9,1315.7
lie,32,2.9,0.8,1694.4,1180.4
lieu,32,6.5,1,1661.5,1022.5
life,32,3,0.8,2591.6,2852.7
lift,32,3.3,1,2160.8,2112.9
light,32,2.8,0.7,1518.4,824.6
like,31,2.6,0.7,1878.8,1558.7
lilt,32,6.3,1.1,1568.2,724.8
limb,32,3.8,1.2,2308,2147.6
lime,31,3.3,1.3,2428.2,2505.2
limp,32,4.2,1,2123.2,1922.4
line,31,3.2,1.2,1860.1,1463.7
link,31,4.4,0.8,2087.3,1528.3
lint,32,4.5,1.5,1623.4,916.5
lip,30,2.5,1,1960,1393.8
lisp,32,5.2,1,1778,759.3
list,32,3.3,0.9,1877.6,1261.7
lit,32,4.3,1.3,1997.9,1128.8
lithe,30,6.6,0.8,1443.9,741
live,32,3.2,1,1861.8,1551.9
load,32,4,1,3263.6,4111.7
loaf,32,3.7,0.9,1749.9,943.4
loan,32,4.7,1,2437,2664.1
loath,32,5.5,1.3,1931.4,1828.8
loathe,31,5.8,1.2,1575.8,1073.5
lob,31,5.8,1.3,1906.2,1668.6
lobe,32,4.8,1.5,2093.8,1515.8
lock,32,3.4,0.8,1816.5,1347.6
lode,30,6,1.2,2114.6,2479
lodge,31,4.8,1.2,2054.4,1360.6
loft,32,5.1,1.2,2541.9,4142.6
log,31,3,0.8,2468.1,3331
loin,32,5.6,1.4,1832.8,1073.1
lone,32,4.7,1.3,2396.2,1981.8
long,32,3.1,1,1881,1779.6
look,32,2.5,0.9,1677.4,1111.6
loom,31,5.5,0.9,2505.4,3053.5
loon,30,5.5,1.5,1861.5,1398.1
loop,31,3.9,1,2672.5,3276.3
loose,32,3.5,0.9,2340.7,1910.6
loot,30,4.9,1.1,1635.1,1164.7
lord,31,3.2,0.9,2287.6,2279.8
lore,31,6.3,1,1743.2,1261.5
lose,32,3.3,1,1787.5,1151.1
loss,32,3.2,1.1,2057,1551.5
lost,32,3,0.8,2155.3,3008.8
lot,31,3,1,2220.9,1456.8
loud,31,2.8,0.6,1582.8,931.7
lounge,31,4.6,1.1,2142.8,1965.4
louse,31,5.9,1.4,1595,1111.8
love,31,2.4,0.9,1628.1,1398.4
low,32,2.8,0.8,1776.1,1360.1
luck,32,3.7,0.8,2826.2,5606.3
lug,32,5.1,1.2,1985.4,1219.8
lull,31,5.7,1.1,2488.8,4799.9
lump,32,3.9,0.9,2303.3,1711.1
lunch,31,2.7,0.9,1807.4,1160.3
lung,31,3.7,1.2,2079.4,1521
lunge,31,4.9,1.2,2090.8,1236.1
lurch,32,5.6,1.3,1830.1,1817.8
lure,32,5.4,1.1,1796.8,1726
lurk,31,5.3,1.1,1711.7,1093.9
lush,32,5.8,1,1750.2,1104
lust,30,5.6,0.9,2054,1285.2
lute,32,6.2,1,1570.3,711.7
lye,32,6,1.2,1869.7,1032.8
lymph,32,6.3,1,2019.7,2607
lynch,32,6.2,1.1,2386.4,2630.1
lynx,31,6.4,1,1591.5,1355
lyre,32,6.7,0.7,1954.5,1466.8
ma,31,2.1,1.7,2274.1,1626.7
mace,32,5.5,1.4,2130.9,1215.7
mad,30,2.3,0.9,2385.6,5243.9
made,32,3.1,1.1,1610.6,1206.8
maid,32,3.9,0.9,2293.7,2361.1
mail,31,3.3,0.7,2165.9,2147.7
maim,32,6.1,0.9,1407.4,464.7
main,32,3.8,1.1,2138.3,2235.3
maize,32,5.7,1.5,2370.6,2706
make,32,2.9,0.9,1448.1,607.7
male,32,3.3,0.9,1878.6,1613.3
mall,30,3.6,0.9,1996.3,1128.8
malt,31,5.1,1.5,2941.7,3583.1
man,32,2.3,0.6,1805.5,1396.9
mane,32,4.5,1.4,2654.6,3629.4
map,32,3.4,0.8,1827.7,1604.1
mar,32,6.4,0.8,2174.3,1605
march,32,3.6,1.1,2368.7,3042.2
mare,32,5.2,1.4,1740.9,1217.5
mark,31,3.5,1.2,2360.8,1523.4
marsh,30,4.3,1.1,1913.1,1213
mart,32,4.9,1.2,3152.4,5006.6
mash,32,3.7,1.5,2391.9,1863.4
mask,32,3.6,1.2,1689,1198.2
mass,32,4.4,1.2,1954.1,1146.3
mast,31,5,1.2,1744.4,1134.9
mat,32,2.9,1.1,2304.6,2609.3
match,32,3.4,1,3396.7,7821.6
mate,32,4.1,1.3,3058.5,5520
math,30,3.3,0.6,1784,938.7
maul,31,5.9,1,1632.5,1030.3
mauve,31,6.2,1.1,1788.8,1271.8
may,32,3,0.8,2443.7,2468.9
maze,31,3.8,1.1,2445.5,1637.7
me,31,1.8,0.7,1687.6,1282.4
mead,32,6.1,1.1,2120.3,1323.1
meal,31,2.9,0.9,1942.2,1589.8
mean,32,3.2,1.1,1694.7,1196.5
meant,32,4.2,0.8,2508.7,2467.2
meat,31,3.1,0.9,1613.4,887.4
meek,30,5.8,1.3,2099.5,2162
meet,31,3.7,0.9,2902.9,2829.7
melt,30,3.5,1,2391.7,2840.4
men,31,2.8,1.2,1597.2,797.2
mend,31,4.9,1.3,1987.7,2284.4
mere,32,5.9,1,1533.1,690.6
merge,31,5.3,1.2,2623,3175.3
mesh,32,4.8,1.1,1882.5,1344.5
mess,32,3.2,1,1752.9,1328.4
met,32,3.3,1.1,1967.1,2215.1
mew,31,5.6,1.8,2339.3,1583.5
mice,31,2.8,0.7,2685.6,4577.9
mid,30,4.1,1,2218.6,1296.5
midst,32,5.3,0.9,1835.1,1469.2
miff,32,6,1.3,2853.6,6826.5
might,31,3.5,1.1,1985.2,1572.3
mike,32,4.4,1.8,3186,2339.4
milch,32,6.8,0.6,1762.2,1600.3
mild,32,4.1,1,2464.9,2302.6
mile,32,3.9,0.9,1841.1,955.4
milk,32,2.3,0.7,1490.8,1019
mill,32,4.2,1.1,1763.5,1007
mime,32,4.6,1.2,2149.6,2965
mince,32,5.6,1.1,1970.1,1792.7
mind,32,3.5,1,2409.8,1991.9
mine,31,2.4,0.9,1686.1,1264.3
mink,32,5.3,1.2,1703,730.1
mint,32,3.7,1.1,2042.4,2315.4
mirth,30,6.4,1.1,1970.6,2156.7
miss,31,2.9,0.9,1692.1,1134.2
mist,30,4.2,0.9,3150.7,6313.8
mite,31,5.7,1.2,1739.8,993.5
mitt,30,4.4,1.6,2304.4,1531.3
mix,32,3.2,0.8,1764.3,1317.3
moan,31,4.3,1.1,2028.4,1827.2
moat,32,4.9,1.3,2327.9,2354.8
mob,32,4.8,0.9,2167.5,1966.5
mock,31,4.7,1.3,2562.4,2517.2
mode,32,4.8,1.2,1722.5,1066
moist,31,4.3,1,2520.6,1995.7
mold,32,4.3,1.1,2853.3,3143.8
mole,32,4,1.3,2024,2065.9
moll,31,6.5,1.2,1995.2,2284.1
monk,32,4.7,1,2513.3,3093.4
month,31,3,0.8,3047.2,3736.3
mooch,32,5.5,1.1,1737.3,867.3
mood,32,3.9,0.9,1812.4,1030.9
moon,31,2.7,0.9,1681.4,987.7
moor,31,5.7,1.5,2031.4,1756.8
moose,30,3.3,1.1,1913.9,1228
moot,32,6.4,1.2,2019.3,1838.8
mop,32,3.2,0.9,1868.5,1346.5
mope,31,5,1.4,1836.9,1298.5
morgue,32,5.6,1,1842.8,1197.5
morn,32,5.6,1.3,1780.4,1010.4
mosque,32,6.3,0.9,1848.1,1812.4
moss,32,4,1,2427.9,2232.3
most,32,3,1,3889.7,7710.2
moth,31,3.6,1,2148.9,2390.2
mound,32,4.2,1.3,1733.7,957.2
mount,32,4.5,1,2458.5,2840.9
mousse,30,5.5,1.1,2169.3,1132.3
move,31,3,1.3,2529.4,2551.3
mow,32,4.1,1.4,2300.2,1363.4
much,31,2.9,0.7,1976.9,1580.2
muck,32,5.2,1.4,1683.9,1026.8
mud,32,2.8,1.1,1482.8,1019.2
muff,31,5.3,1.4,2563.7,3202.9
mug,32,3.9,1.1,2018.6,2084.2
mulch,30,5.3,1.3,1903.7,1321.7
mule,32,3.6,1.2,2446.1,4503.9
mull,32,5.8,1.2,2022.5,1907.2
mum,32,4.9,1.8,2379.6,1829.2
mumps,32,5,1.4,1823.7,1573
munch,32,3.8,1.3,2095.3,1591.9
murk,32,5.7,1.2,1820.6,1873.8
muse,31,5.8,1.2,2299.9,3350.2
mush,32,4.3,1.2,2110.4,1533
musk,31,5.5,1.2,2695.9,2769.5
muss,31,6.1,1,2009.6,1808.4
must,32,3.3,1.1,1518.7,746
mute,32,4.3,0.9,2711,3033.8
mutt,31,3.9,1.3,1769.4,906.4
my,32,2,1,1617.7,974.1
myth,31,4.9,1.1,1963.6,1132.2
nab,32,4.9,1.6,2312.9,1999.6
nag,32,4.5,1.3,2931.3,7511.2
nail,32,3.1,0.9,1839.7,1143.7
name,32,2.3,0.9,1785.4,1062.8
nap,32,2.3,0.8,1660.6,1090.7
nape,32,6.1,1.3,1723,831.7
naught,32,6.3,1,2244.3,2660.4
nay,32,4.7,1.8,1970.9,1271.2
near,31,3,0.9,1922.2,1315.5
neat,32,3.4,0.9,1867.2,1256.7
neck,32,2.5,0.8,1982.8,2258.8
need,31,2.7,0.8,1702.9,939.2
neigh,32,5,1.8,2197.6,1538.5
nerve,32,4.6,1.2,2235.9,2268.5
nest,32,3.3,0.9,1623.6,1047.9
net,31,3.2,0.9,2753.8,6669.7
new,31,2.6,0.8,2132.9,3607
newt,31,5.5,1.1,1935.9,951.9
next,31,3.2,0.9,2359.9,3158.1
nice,30,2.5,0.9,1825.5,1062.3
niche,32,6.3,0.7,1666.8,1223.5
nick,30,5,1.3,2329.2,1746.7
niece,31,3.9,1.2,2542.3,3113.4
nigh,30,6.4,1,1960.3,1256.8
night,31,2.3,0.6,1797.5,1371.6
nil,31,6.4,1,1902.4,1650.4
nine,32,2.3,0.8,1758,810.2
ninth,32,3.4,1.1,2087.1,1898.3
nip,32,4.2,1.2,2272.1,1497.9
nix,32,6.3,1,1799.1,1413.7
no,32,1.6,0.7,1632.2,1372.7
nod,31,3.6,1.3,1738.1,992.2
node,32,6.2,1,1650.7,1184.7
noise,32,2.8,0.9,2043.6,1880.2
none,31,3.1,0.8,1996.6,1335.8
nook,32,5,1.3,2699.3,4430.2
noon,31,3.6,1.1,1704.7,1099.8
noose,31,5.3,1.2,1796.6,1344.1
nor,31,5.4,1.2,1939.4,1026.1
norm,32,5.3,1,2296.3,1625.8
north,32,3.8,1,2802.7,2728.7
nose,31,2.3,0.8,1582.6,1516.6
not,31,2.6,1.1,1584.6,861
notch,32,5.3,1,2091,1826.9
note,31,3.4,0.7,2576.7,2801
noun,32,3.9,1,2825.6,1912.7
now,31,2.6,0.8,1800.4,1070.8
nub,32,5.1,1.2,1967.7,1773.4
nude,32,4.5,1.2,1968.8,1061.4
nudge,31,4.5,1.1,1755.9,1258.6
null,31,6,1,2105.5,1164
numb,32,4.2,1.2,2536.5,3178.3
nun,32,3.7,0.9,2942.1,5455.8
nurse,32,3.4,0.9,3656.4,8333.6
nut,32,2.8,0.8,1609.1,1022.5
nymph,32,6.1,0.8,1936,1321.6
oaf,32,5.6,1.3,2092.1,2528.9
oak,32,3.9,1.2,2330.1,2193.8
oar,32,4.3,1.2,1946.3,1369.9
oat,30,3.8,1.4,2279.9,2024.6
oath,31,4.8,1.1,1844.9,2196.6
odd,31,3.8,1,1839.2,923.3
ode,31,5.9,1.3,2577.4,5904.4
of,32,2.5,0.9,1758.8,1260.2
off,32,2.5,1.1,1456.5,714.4
oft,31,6.2,1,1709.5,983
oil,32,3.9,1.2,2056.5,1397.6
old,31,2.6,0.8,2072.1,2510.3
on,32,2.3,0.6,1878.1,2112
once,31,3.3,1,2194.8,1931.9
one,30,1.7,0.6,1730.8,934
ooze,31,4.1,1.3,2425.8,3084.1
opt,32,5.9,0.9,1784.8,1611.6
or,32,2.5,0.9,1596.3,1054.5
orb,32,6.2,1.1,1572.9,1176.9
ore,32,5.6,1.2,1698.2,1059.3
ouch,32,2.2,0.9,1694,1513.1
ought,31,5.2,1.2,2152.4,1573.5
ounce,31,4.7,1.1,2605.7,2621.6
our,32,2.9,1,1584.6,1153.3
oust,32,6.3,1,1715.6,1157.7
out,32,2.6,0.9,2451.6,2335.1
owe,31,4.2,0.9,2214.8,1861.2
owl,31,2.9,1.2,1341.3,708.2
own,32,3.3,1.2,2531,4219.3
ox,32,3.6,1.2,1420.6,568.2
pa,31,2.8,1.9,2360.7,2076.3
pace,32,4.6,1,2615.8,2102.7
pack,32,3.6,0.9,1846.4,1699
pact,30,5.1,1.2,2400.3,1686.9
pad,32,3.7,0.8,1812.3,1219.9
page,30,3,0.9,1553.6,742.8
pail,32,3.7,0.9,2350.2,1716
pain,32,3.2,1.1,2512.5,4533.6
paint,32,3.1,0.8,1787.5,1091.7
pair,32,3.3,0.7,3581,4243.2
pal,31,3.2,1.1,1792.4,997.5
pale,30,4,1,2094.7,1431.1
pall,32,6.3,1.2,1758.7,1060.3
palm,32,3.4,0.9,2584.6,2732
pan,31,3.2,0.9,1759.8,1098.9
pane,32,5,1.3,2083.9,1357.5
pang,31,5.8,1.2,1660.5,950.9
pant,31,3.5,1.2,2267.4,1312.3
pants,32,2.4,0.6,1694.9,1268.2
pap,32,5.8,1.7,2679.3,2830.6
par,32,5.4,1.1,2533.1,2384.8
pare,31,5.7,1.5,2335.3,1589.5
park,32,3.1,0.9,2342.1,2974.2
part,32,3.4,0.9,3426.9,5602.3
pass,32,3.2,0.8,2166.1,3055.4
past,32,3.7,0.9,2005.5,1266.5
paste,31,3.4,0.8,2816.3,4446.8
pat,31,3,1.2,2559.3,3616.6
patch,32,4.1,0.9,1832.1,1652.6
path,32,3.4,0.9,1634.1,945.6
paunch,31,6.5,0.9,1729.2,1389.8
pause,31,3.8,0.8,2504.1,2386.9
pave,32,4.5,1,2940.9,4754.4
paw,32,3,0.8,1824.3,1239.7
pawn,32,5.3,0.9,2442,3144.4
pay,32,3.4,0.9,2618.9,3144.4
pea,32,2.7,0.8,1545.1,677.6
peace,31,3.7,1.1,1960.3,1453
peach,31,2.6,0.9,2453.6,3766
peak,32,4,1,2332.3,1694.8
peal,30,4.7,1.7,2199.8,1042
pear,32,3.1,1.1,1880.4,1269.9
pearl,32,3.8,0.9,1762.8,928.7
peat,31,6.2,1,2370.3,2356.3
peck,31,3.9,1.1,2369.8,2435.4
peek,32,3.8,1.5,2288.3,3605.9
peel,32,3.5,1,1637,1085
peep,32,3.5,0.8,1680.5,1323.5
peer,32,4.9,1,2494.3,2468.9
peeve,31,5.8,1.1,1743.3,972.3
peg,30,4.1,1.2,2553.8,2482.8
pelt,31,5.5,1.1,1863.9,1142.1
pen,31,2.7,0.7,2018.5,1667.4
pence,29,6.2,1,1963.9,1374.2
pent,31,5.8,1.3,2727,2108.7
pep,32,5.3,1.5,2003.2,1547.2
per,32,5.1,1.5,2047.3,1548.7
perch,32,4.6,1.1,1760.6,1046
perk,32,5,1,2094.1,1433.4
pert,32,6.3,1.2,1715.9,1295.1
pest,32,4.2,1.2,2431.3,2250.1
pet,29,2.6,1.1,1741.7,1509.7
pew,32,4.4,1.7,1923.6,1512.9
phase,31,4.6,0.9,2530,1682.1
phone,30,2.6,0.6,1532.8,641.8
phrase,31,4.6,0.6,2427.8,3620.6
pick,31,3.1,0.8,2367.3,2125.5
pie,31,2.8,1.1,1999.2,1766.8
piece,32,3,0.8,2003.8,1410.6
pier,32,4.5,1.2,2080.4,1828.5
pierce,31,4.5,1.2,2328.2,1904.7
pig,32,2.4,0.7,1526.1,2001.9
pike,30,5.4,1.3,2335.4,2112.5
pile,32,3.8,1.4,2941.2,4069.9
pill,32,3.5,0.8,1932.7,1139.7
pimp,30,6.2,0.9,3088.8,6659.9
pin,31,3.3,0.9,2942,4287.6
pinch,32,3.3,1.1,2359.2,3191.6
pine,32,3.9,1.2,2298.2,2697.3
ping,31,4.9,1.6,2161.4,1151.4
pink,32,2.4,0.8,1778.9,1089.3
pint,32,4.6,1,1894.5,1016.6
pip,30,5.7,1.6,1971.7,1407
pipe,32,3.8,1.1,3487.6,7996.1
pit,32,3.6,0.8,2154.9,1213.4
pitch,31,3.8,1,2402.4,1715.6
pith,31,6.4,1.3,2383.1,3610.8
place,31,3.1,0.7,2778.7,2943.3
plague,32,5.2,1.2,1666.3,1009.2
plaid,32,4.8,1.4,2202.6,1875.9
plain,31,3.4,0.9,1897.1,1193
plan,32,3.6,0.8,1901.1,1382.9
plane,32,3.2,1,1918.4,2093.8
plank,32,4.7,1.1,2026,1411.9
plant,32,3.3,0.9,2081.7,1666.6
plaque,32,5,0.9,2368.3,1037.1
plate,32,2.8,0.9,2426.7,2465
play,32,2.3,0.9,2235.9,3195
plea,31,5.3,1,2475.9,4013.5
plead,30,4.8,1.1,1835.4,1317
please,31,2.4,1,1817.2,1049.3
pleat,30,5.7,1.1,2445.6,2700.7
pled,32,5.2,1.2,2967.9,3896.5
pledge,32,4.3,1.2,2339.3,1351.7
plight,32,6.3,1,1782.8,1251.3
plod,32,6,1.1,1828.2,1180.3
plop,32,3.8,1.1,2898.3,4147.9
plot,31,4.4,0.8,3173.3,6646
plow,32,4.1,1.1,1674.6,1144.8
ploy,31,6,0.9,1604.6,865.8
pluck,32,4.6,1.3,1926.8,1415.4
plug,30,3.6,0.9,1708.1,778.2
plum,31,3.3,1.2,1828.3,1819.9
plumb,32,4.5,1.7,2496.6,1889.5
plume,32,5.7,1.4,2038.3,1655.2
plump,32,4.3,0.9,2035.7,1401.1
plunge,32,4.9,1,2001.2,1374.6
plunk,32,5.2,1.7,3478.7,5516.2
plus,31,3.1,0.9,1747.3,953.5
plush,31,5.1,1.2,1786.1,893.5
ply,32,6.1,1,1936.5,1947.1
poach,32,5.5,1.1,2043.8,2312.4
pod,30,4.9,1.1,2058,1372.8
point,30,2.8,1,2020.1,1357.7
poise,32,5.5,1,2181.4,2395.9
poke,32,3.3,1.1,1595.6,1125.6
pole,32,3.4,0.8,2205.8,1792.8
poll,32,4.6,1.2,1619.9,778.2
pomp,32,6.3,1.1,1812.7,1255.8
pond,31,3.2,0.7,1813.5,1382.5
pooch,32,4.4,1.2,2565.8,2718.8
poof,32,3.3,1.3,1917.4,1004.9
pool,31,2.7,0.9,1615.7,902.8
poop,32,2.3,0.7,1994.8,901.6
poor,32,3.6,0.8,1676.5,1002.6
pop,32,2.7,0.9,2441.3,2292.9
pope,32,4.6,1.3,1860.7,1071.3
porch,32,3.5,1,1953,1316.8
pork,32,3.7,1.3,1977,1367.6
port,32,4.8,1.1,2307.1,2389
pose,30,4.6,1.2,2290.6,1561.9
posh,32,6,0.9,1748.8,940.6
post,31,3.9,1,2162.9,1654.8
pot,31,3.2,1.4,1844.8,1215.8
pouch,31,4.1,0.9,2139.1,1438.1
pounce,31,4.3,1.1,3743.6,8914.1
pound,32,3.9,1.2,2716,2551.7
pour,32,3.4,0.9,2767.4,4993.7
pout,32,3.3,1.2,2465.8,4284
pox,31,4.7,1.7,2137.1,1240.3
praise,32,4.2,1.1,2129,1947.5
prance,32,4.9,1.3,1912.2,2007.4
prank,31,4.4,0.9,1774.3,1339.6
pray,32,3,0.9,1720.5,1040.1
prayer,32,3.3,1,2161.7,2094.2
preach,32,4.4,1.1,2208.5,2557.6
press,32,3.6,1.2,1611.5,985.5
prey,32,4.3,0.8,2307.7,1274.5
price,31,3.5,0.8,1814,1360.6
prick,32,4.8,1.5,2011.8,1019.5
pride,31,4.4,1,2783.1,4864.7
priest,31,4,1.2,1968.3,1130
prim,31,5.8,1.1,1617.7,1205.2
prime,31,4.9,1.1,3768.2,5700.1
primp,31,5.4,1.4,2622.4,3616.6
prince,32,3.1,1.1,2342.6,4454.1
print,32,4.3,1,2361.8,1889.9
prize,32,2.9,1,2215,2087.5
pro,31,4.3,0.9,2085.6,1765.1
probe,32,5.7,0.8,1899.2,1323.4
prod,32,5.5,1.5,2321.8,2833
prom,32,5.5,1,2011.8,697.6
prompt,31,5.3,1,2562.8,3144
prone,30,5.6,1.1,2124,1973.8
prong,32,5.8,1.1,1887.6,2104.7
proof,32,4.4,0.8,2439.5,3090.3
prop,32,4.9,0.9,2567.2,3521.9
prose,32,6,1.1,1661.7,915.7
proud,32,3.8,1,2343.4,3446.8
prove,31,4.4,1.3,1921,1091.5
prow,31,6.1,1.2,2174.7,1459.8
prowl,32,4.8,1.2,2679.3,2871.5
prude,32,5.6,1.2,1509,662.4
prune,31,4.5,1.5,2129.7,1283.9
pry,32,5.3,1.1,1704.6,798.4
psalm,32,4.9,1.5,2320.6,1414.9
pub,32,5.3,1.3,2052.1,1904
puck,31,4.5,1.2,2233.7,1202.9
puff,32,4,1.3,2012.3,2184.1
pug,31,5,1.5,2223.1,1409.3
puke,32,4.1,1.1,2016.9,1299.5
pull,32,2.9,0.8,2221.3,2629.7
pulp,32,4.3,1,2536.2,2147.2
pulse,30,4.5,1,1973.4,1277
pump,32,3.8,1.1,1858,1096
pun,32,5.7,1,1995.9,1295
punch,32,3.4,0.9,1694.1,812
punk,32,5,1.1,2192.8,1568.5
punt,32,4.7,1.1,2072.2,1376.8
pup,32,3.1,0.9,1506.8,663.5
pure,32,4,1,2815.3,2918.6
purge,32,5.8,1,2122.7,1730.8
purr,31,2.5,0.9,1597.5,640.3
purse,32,3.4,0.8,1796,1018.6
pus,32,4.9,1.6,2267.9,1090.4
push,30,2.7,0.8,1977.8,1572.7
put,32,2.9,0.9,1713.7,1199.1
putt,31,4.3,1.3,2244.5,1381.9
pyre,32,6.8,0.5,1544.6,862.7
quack,32,3.1,1.2,1657.9,1105.1
quad,31,5.8,1.2,1761.3,1149.5
quail,32,4.7,1.1,1917.8,1032.8
quaint,32,5.9,1.1,1841.7,1196.9
quake,32,4.8,1.1,2186.9,2217.3
qualm,31,6.4,1,1641.6,1440.1
quart,32,4.7,1.2,1926.9,1344.5
quartz,32,5.4,1,2244.9,2233.2
quay,31,6.6,0.9,1309.2,474
queen,31,3.6,1.1,1535.7,827.7
queer,32,5.7,1.1,1651,850.7
quell,32,6.3,1.2,1654.8,1018.4
quench,32,5.3,1.1,2202.8,1964.5
quest,32,4.7,1.2,1701.1,1178.8
queue,31,6.6,0.8,2183.3,2020.7
quick,31,3.2,1,1731.4,1120.9
quill,32,5.5,1.3,1796.4,1291
quilt,32,3.7,1,2657.7,3248.5
quip,30,6.3,1.3,1895,1188.1
quirk,32,5.5,1.1,3000.2,8367.5
quit,31,3.3,1,1912.2,1728.5
quite,32,4.1,1.3,3979,7279.2
quiz,32,3.9,0.8,2083,1463.2
quote,31,4.7,1,2203.7,1746.8
race,32,2.9,0.8,2348.4,3278.6
rack,31,4,1.1,2371.6,2516.3
raft,31,3.7,1.1,3016.3,3282.5
rag,32,3.3,0.9,2169.1,1840.4
rage,31,4.7,0.9,2797.5,5728.7
raid,32,5.2,1.3,3427.7,9263.4
rail,32,3.6,0.9,2602.5,2804.5
rain,30,2.6,0.8,1583.6,838.4
raise,32,3.4,0.9,1753.3,1079.9
rake,31,3.5,1.1,1404.4,738.2
ram,32,4.2,1.4,2489.8,3191.1
ramp,32,4.3,1.3,2741.4,3240.6
ran,32,3,1,1553.8,900.6
ranch,32,4.1,1,1787.3,1178.3
rang,31,3.8,1.3,2175,1375.1
range,32,4.4,1,2368.6,1676.3
rank,32,4.4,0.9,2545,3166.4
rant,32,5.4,1.1,2004.5,1799.4
rap,31,4.7,1.2,2366,1186
rape,32,5.7,1,2312.8,1796.6
rapt,32,6.6,0.6,2438,2349.6
rare,32,4.2,1,1765.5,1194.8
