word_english,aoa_M,RT_M,aoa_SD,RT_SD
lotion,3.85,2250,1.18,1732
lotto,5.61,1635,1.24,998
loyal,4.67,1987,1.06,1823
lucid,5.94,2037,1.16,2035
lucky,3.55,1799,1.12,1046
luggage,4.52,1981,1.31,1493
lumbar,5.97,1638,1.05,807
lumber,4.85,1745,1.27,1470
lunar,5.70,1901,1.26,1636
lupus,6.21,1639,0.98,1820
lurid,6.15,1332,1.04,1026
luscious,5.64,2318,1.09,3450
lyric,4.76,1639,1.23,878
lyrics,4.55,1947,1.15,1425
machine,4.00,2225,1.01,2298
macho,4.94,2355,1.40,1937
madam,4.85,2002,1.50,1904
madame,5.00,2253,1.37,1256
maggot,5.12,2015,1.20,1589
magic,3.21,2093,1.06,1530
magnet,4.21,1573,1.21,865
maiden,5.42,1502,1.24,628
maintain,5.09,1715,1.14,967
major,4.94,1740,1.20,1161
makeup,4.09,1598,1.26,1145
malice,6.12,1673,1.12,1300
mambo,5.36,2341,1.19,2487
mammal,4.09,2090,1.34,1169
mammoth,4.70,1532,1.14,671
manage,4.79,1840,1.11,1389
mandate,5.79,1615,1.12,1401
mandrake,5.94,1434,1.16,553
manger,5.09,2402,1.41,1523
mango,4.27,1966,1.29,1212
manner,4.18,2282,1.31,2459
manor,5.27,1723,1.39,970
mansion,4.64,1895,1.24,1122
mantel,5.15,1755,1.28,931
mantle,5.24,1832,1.24,1620
mantra,6.09,1689,1.05,983
manure,5.18,2175,1.41,2987
many,3.82,2161,1.41,1634
maple,4.24,1692,1.31,1022
marble,3.64,2086,1.05,1194
margin,5.52,1540,1.31,965
market,4.33,2934,1.24,4027
maroon,4.42,2010,1.48,1291
marquee,6.06,1555,0.95,1331
marquis,6.06,1548,1.08,1170
marriage,4.15,1989,1.28,1113
marrow,6.03,1621,0.94,870
marry,3.85,2017,1.49,1476
martial,5.33,1720,1.48,1281
martyr,5.85,1702,1.28,1181
marvel,5.09,1896,1.19,1313
mascot,4.82,1788,1.12,970
mason,5.70,2503,1.16,4000
massage,4.58,1902,1.25,1137
masseuse,6.24,1751,0.84,1356
massive,4.73,2152,1.16,2110
master,4.48,1915,1.07,1266
matrix,6.03,1849,1.04,1266
matron,5.61,1647,1.26,1472
matter,4.27,2505,1.39,3188
mattress,3.97,2228,1.40,1668
mature,4.91,1668,1.08,860
matzo,6.21,1596,1.13,1124
maxim,5.79,1834,1.26,1458
maybe,3.24,1752,1.10,978
mayhem,5.70,1849,0.91,1007
mayor,4.70,1670,1.19,1220
meadow,4.27,1797,1.13,868
meager,5.91,1679,1.06,943
measure,4.03,1925,1.19,1378
medal,4.06,2169,1.18,1489
meddle,5.61,3441,1.26,8203
medic,5.27,1622,1.29,769
medley,5.48,2329,1.33,2571
meeting,4.18,2503,1.06,3582
mega,4.91,3044,1.22,5310
melon,3.82,1621,1.05,960
member,4.55,2147,1.06,3446
membrane,6.00,1578,0.82,906
memo,5.42,2049,1.19,1529
menace,5.39,1991,1.27,2614
mental,4.82,2110,1.15,1896
mention,5.00,3898,1.08,11302
mentor,5.24,2005,1.24,2685
menu,3.79,2568,1.12,3360
meow,2.33,3897,1.24,11546
merchant,5.33,2422,1.05,2292
mercy,4.67,1824,1.38,1478
meringue,6.15,1516,0.90,1042
merit,5.73,1960,1.06,1984
merry,3.33,2183,1.16,1557
message,4.42,2176,1.11,1561
metal,3.97,1928,0.93,1388
meter,4.64,2496,1.10,3344
methane,6.39,1654,0.76,1298
method,4.85,2449,0.95,4149
metro,5.33,1950,1.32,1191
micro,5.36,2300,1.14,2347
middle,3.88,1712,1.11,1243
midget,4.91,2057,1.24,2128
midnight,3.91,2200,1.09,1522
mignon,6.36,2187,0.80,2249
mileage,5.52,1751,1.31,1027
mimic,5.00,2180,1.32,2480
mingle,5.36,1755,1.02,926
mini,3.91,1693,1.38,1063
minion,5.85,1661,1.12,1074
minor,5.27,2560,1.34,2371
minstrel,5.85,1613,1.26,1089
minus,3.76,2328,0.98,1647
minute,3.36,2437,1.05,1808
mirage,5.58,3065,1.24,6625
mirror,3.30,2145,0.98,2237
mischief,4.88,1635,1.47,717
misfit,5.21,2168,1.26,1844
mishap,5.24,2389,1.24,2991
missile,4.88,2729,1.28,5071
mission,4.76,2700,1.15,3127
mistake,4.03,1817,0.88,1088
mister,3.88,2215,1.16,1191
mistress,5.45,1886,1.16,1029
mixture,4.55,1609,1.03,1098
mobile,4.79,2182,1.05,1944
model,4.33,1985,0.80,1096
modem,5.91,1754,0.96,1157
modest,5.15,2526,1.23,2821
module,5.85,2188,1.03,1740
mogul,6.06,1841,1.11,1378
moisture,4.64,2773,1.13,3964
molest,5.88,2876,1.08,3729
molten,5.85,1704,1.20,2288
moment,4.12,2526,0.98,2714
mommy,1.76,1973,1.18,1020
monarch,4.82,2037,1.47,1180
money,3.06,2242,1.11,2076
mongoose,4.97,1895,1.60,1250
mongrel,5.97,1960,1.02,1645
monkey,2.73,2359,0.97,2532
monsoon,5.73,2478,1.12,3400
monster,2.88,1968,1.06,1113
montage,5.91,1544,1.15,829
moral,4.82,3291,1.31,6198
morale,5.24,1809,1.29,1245
morbid,5.64,1431,1.06,935
morning,2.82,2655,0.93,3487
moron,4.91,1902,1.34,1022
morphine,6.12,1424,0.78,435
morsel,5.61,2114,1.18,1752
mortal,5.33,1479,1.30,569
mortar,5.91,1928,1.23,1873
mortgage,5.97,1991,1.08,1622
mosey,5.91,1511,1.12,741
motel,4.06,2126,1.18,1828
mother,2.27,1925,1.29,1266
motif,6.12,1578,0.93,914
motion,4.52,2933,1.12,2791
motive,5.15,1627,1.18,870
motley,5.97,1828,1.11,1904
motor,4.27,2126,1.16,1803
motto,5.27,2517,1.27,3027
mountain,3.52,2203,1.04,2594
moustache,3.79,2092,1.28,954
movement,4.33,2037,1.16,1550
movie,3.21,1793,1.40,995
mucus,5.09,2140,1.16,1816
muffin,3.09,2171,0.93,1772
mullet,5.45,2577,1.04,3603
mumble,4.79,4010,1.19,10517
mumbo,5.39,1975,1.52,1728
mummy,3.88,1939,1.46,1231
munchkin,4.42,2441,1.46,2398
mundane,5.94,1727,1.18,1116
mural,5.36,1922,1.11,1537
murder,4.39,1615,0.92,691
murmur,5.48,2820,1.21,4668
muscle,4.09,1774,1.24,860
music,2.76,1940,0.88,1169
musket,5.48,1816,1.21,1185
mustache,3.73,2406,1.08,1811
mustard,3.24,1985,1.00,1163
muster,5.82,2035,1.11,1688
mutant,4.88,1617,1.64,897
mutton,6.15,1823,1.04,1869
muzzle,4.91,2039,1.50,1651
myself,3.18,2052,0.92,1271
mystic,5.55,2083,1.14,2964
naive,5.58,1564,1.22,776
naked,3.76,1651,1.62,836
nanny,3.94,2192,1.39,1275
napalm,6.21,1845,1.01,1672
napkin,3.45,1915,0.98,1224
narrow,4.42,2083,1.01,1828
nasal,4.85,2213,1.30,1801
nasty,3.61,1865,1.17,1033
nation,4.27,2076,1.01,1446
native,4.55,1783,1.00,808
nature,3.94,1858,0.88,838
naughty,3.21,2160,1.51,1540
nauseous,5.21,2099,1.18,1891
naval,5.15,1940,1.31,1525
navel,5.12,2680,1.40,5719
navy,4.70,2013,1.27,1278
necklace,3.27,2368,0.87,1716
nectar,5.30,1683,1.22,1007
needle,4.00,2316,1.13,2429
neglect,5.30,2366,1.14,2339
neighbor,3.33,1904,1.13,1008
neither,4.18,2237,1.09,1827
neon,5.18,1764,0.97,1125
nephew,4.03,2367,1.37,2771
nervous,4.42,2049,1.08,1610
network,5.21,1922,1.10,1216
neural,5.88,2080,1.32,1352
neuter,5.91,1940,1.06,1519
neutral,5.12,2142,0.96,1941
never,3.48,2075,1.16,1123
nexus,6.06,1549,1.30,1433
nibble,4.48,1828,1.36,1363
nickel,3.42,2130,1.16,1171
nightmare,3.42,2097,1.08,1457
nimble,5.24,2202,1.56,2916
ninja,3.64,2090,1.22,2099
nipple,4.24,2343,1.58,1414
nitrate,6.24,1852,0.95,907
nitro,5.85,2143,0.97,3550
nitrous,6.24,2029,0.80,2706
noble,5.42,1416,1.29,670
noggin,4.97,1721,1.60,914
nomad,5.76,1665,1.29,1019
noodle,3.21,2105,1.06,2181
normal,4.03,1851,0.95,1552
nostril,3.97,1678,1.35,742
nothing,3.64,1688,1.14,979
notice,4.45,2264,0.98,2699
notion,5.24,1825,1.34,1325
novel,4.64,1987,1.10,1927
novice,5.88,2159,0.98,1996
nowhere,4.15,1883,1.30,1187
nugget,4.06,2489,1.49,2267
nuisance,5.36,2218,1.16,1555
number,2.82,2187,0.96,1145
nurture,5.03,2288,1.31,2520
nutmeg,5.52,1740,1.12,959
nylon,4.88,1958,1.15,1610
nylons,4.94,1662,1.28,787
obey,4.03,2603,1.53,3326
object,4.03,1651,1.11,1018
oblige,5.76,2959,1.27,6839
obscene,5.70,2039,1.26,1677
obscure,5.67,1570,1.14,1033
observe,4.97,1782,1.04,1395
obsess,5.30,2226,1.05,2248
obstruct,5.73,1955,1.28,1452
obtain,5.21,1545,1.13,633
occult,6.00,2139,1.18,2108
occur,4.76,2109,1.12,2117
ocean,3.33,2026,1.16,2399
odor,4.42,1674,1.01,1023
offend,4.85,2115,0.84,2715
offense,4.88,1908,1.28,1941
offer,4.67,1583,1.31,817
office,3.88,2314,1.16,2068
ogre,5.18,4419,1.43,12632
ointment,5.24,2307,1.19,1903
okay,2.61,1832,0.93,1101
olive,3.79,2094,1.25,1595
omelet,3.91,1669,1.28,1051
omelette,4.30,1952,1.50,1147
omen,5.73,1611,1.17,855
onion,3.52,2011,1.18,996
only,3.52,1974,0.94,1753
onset,5.70,1657,1.26,807
opal,5.70,1986,1.18,1835
open,2.91,1540,0.92,626
oppose,5.30,2689,1.16,4341
optic,5.67,1903,1.19,1904
option,4.64,1908,1.04,2257
opus,6.15,1752,1.07,1207
oral,5.15,2092,1.28,1418
orbit,5.21,1844,1.29,1637
orchard,4.76,1549,1.23,751
orchid,5.03,2064,1.18,1312
ordeal,5.48,1808,1.04,1254
order,4.12,1910,0.95,1357
organ,4.73,1851,1.07,949
orgy,6.09,1974,1.11,1622
orphan,4.61,1914,1.11,1391
ostrich,4.03,1736,1.74,1093
other,3.67,2045,0.94,1188
outfit,3.70,1768,0.86,960
outlet,4.45,2445,1.48,3095
outrage,5.03,2071,1.12,1703
oval,3.88,2220,1.44,2130
oven,3.27,2515,0.91,3369
over,3.48,1708,1.13,1139
oyster,4.94,1956,1.23,1314
ozone,5.55,1446,1.14,853
package,4.33,1856,1.22,1282
packet,4.15,1988,1.25,1538
paddle,4.03,2947,1.19,4141
paddy,5.58,1940,1.37,1804
pagan,6.12,1430,1.09,729
pageant,4.85,1915,1.16,748
paisley,5.73,1967,1.33,1338
palace,3.94,1777,1.41,909
palate,5.67,2176,1.42,2310
palette,6.00,1520,1.03,717
palsy,6.03,2174,1.26,2399
paltry,6.03,1484,1.10,773
pamper,5.00,2229,1.30,2317
pamphlet,5.27,2075,1.11,1727
panda,3.36,1854,1.05,2093
panel,5.36,1999,1.11,1920
panic,4.39,2007,1.02,2073
pansy,5.15,2032,1.18,1482
panther,4.00,2115,1.34,1739
pantry,4.55,2173,1.20,1433
paper,2.91,2003,0.98,1159
para,5.76,1468,1.37,810
parade,3.70,2118,1.47,2267
parcel,5.76,1593,0.98,1465
parchment,5.88,1625,1.11,786
pardon,4.94,1827,1.49,1074
parent,2.91,2501,1.08,1624
parish,5.30,1801,1.34,1165
parka,5.58,1969,1.32,3020
parlay,6.33,1480,0.84,812
parlor,5.18,1945,1.21,1500
parlour,5.85,1865,1.26,1681
parole,5.76,1760,1.29,1609
parrot,3.55,1776,1.36,1153
parry,6.15,1501,1.12,684
parsley,5.24,2025,1.27,2259
partake,5.67,1531,1.11,869
partial,5.42,2894,1.24,2681
partner,4.00,1723,1.04,1075
partridge,5.88,2242,1.32,2200
party,3.24,1882,0.70,1034
passage,4.94,2184,1.06,2230
passion,5.03,1485,1.26,707
passive,5.36,1635,1.14,1210
pasta,3.21,1996,0.90,1817
pastor,4.27,1618,1.43,856
pastry,4.24,2725,1.13,3200
pasture,4.52,2142,0.97,1797
pasty,5.06,1935,1.36,1139
patent,5.76,4909,0.95,14143
patient,4.61,2236,1.11,1691
patrol,4.70,3864,1.11,9473
patron,5.61,1866,1.18,1605
patter,5.67,1770,1.22,1598
pattern,4.18,1986,1.03,1813
payment,4.70,2495,0.88,4588
peacock,3.33,2140,1.11,1871
peanut,2.97,2159,0.88,2715
peasant,5.03,1983,1.40,1347
pebble,3.67,2188,1.29,1463
pecan,4.30,2122,1.16,1583
pedal,4.27,2006,1.56,2113
peddle,4.21,3367,1.45,5147
pellet,5.21,1674,1.36,667
pelvis,5.09,1925,1.32,1351
penal,6.00,1498,1.35,680
penance,6.00,2061,1.31,1934
penchant,6.06,1512,1.16,885
pencil,2.94,1732,0.93,707
pendant,5.36,1897,1.22,993
penguin,3.09,2492,0.93,2510
pennant,5.70,2074,1.54,1544
pension,5.82,1860,1.19,1372
people,3.15,1693,1.16,814
pepper,3.45,1902,0.91,933
perceive,5.42,2094,1.04,2076
percent,4.85,2089,1.05,2631
perchance,6.15,2320,1.00,2158
perfect,3.94,2022,0.88,1594
perform,4.15,3000,0.92,2938
perfume,4.18,1708,1.00,1141
perhaps,4.64,1988,1.18,1659
peril,5.79,2140,1.23,1638
perish,5.64,2036,1.03,1975
permit,5.42,2063,1.07,1381
persist,5.52,1857,0.93,1448
person,3.33,2439,0.84,3355
persuade,5.30,1584,1.05,1101
perverse,5.97,2291,1.05,2603
pervert,5.61,1624,1.04,610
pesky,5.03,2035,1.18,1739
pestle,5.97,1492,1.08,963
petal,3.91,2202,0.97,1669
petite,5.48,1916,1.26,2064
petrol,5.91,2068,1.17,1628
petty,5.30,2062,1.48,2023
phantom,5.09,2021,1.08,1801
pheasant,4.91,1674,1.46,906
phony,5.39,2106,1.34,2146
photon,6.12,1874,0.86,1346
physics,5.73,1735,1.06,1077
physique,6.03,1572,0.87,662
picket,5.45,1903,1.07,1605
pickle,3.27,1801,1.13,1741
pickup,3.58,1800,1.33,791
picnic,3.45,1944,0.80,1689
picture,3.12,2145,0.97,1906
pigeon,4.06,1884,1.62,1071
pigsty,5.48,2069,1.49,2032
pilgrim,4.27,1819,1.16,1291
pillage,5.85,1480,1.12,1167
pillar,5.15,1714,1.35,1814
pillow,2.97,1680,1.46,996
pilot,3.85,1737,1.09,1036
pimple,5.15,2316,1.18,2319
pinto,5.70,2216,1.31,2009
pious,5.88,2765,1.34,3345
pirate,3.36,1782,1.02,614
pistol,4.97,2043,1.24,1157
piston,6.06,1888,0.95,1089
pity,5.06,1658,1.31,1413
pixie,4.67,2200,1.49,2563
pizza,2.79,1713,0.94,1103
pizzazz,5.70,2305,1.26,1730
placid,5.97,1230,1.02,537
plaintiff,6.06,1597,0.80,1111
planet,3.67,1928,0.94,1844
plankton,5.30,1563,1.44,922
plasma,5.52,2638,1.18,3553
plastic,3.97,2111,1.12,1662
plateau,5.61,1465,1.21,1002
platform,5.18,2002,1.10,2296
platoon,5.73,2348,1.17,2880
plaza,4.97,1629,1.18,980
pleasant,4.76,2322,1.17,1965
pleasure,4.79,1823,1.32,1623
plenty,4.15,2211,1.22,1561
pliers,5.09,2667,1.30,3345
plumber,4.42,1877,1.22,1295
plunder,5.64,2240,1.28,4014
plural,4.61,2500,0.98,3126
pocket,3.24,1967,1.33,914
poem,4.24,2244,1.04,1798
poet,4.39,1606,1.22,968
pogo,4.79,1880,1.41,1705
poignant,6.42,1631,0.79,1882
poison,4.48,1724,1.21,728
poker,5.24,2232,1.29,2000
polar,4.27,3002,1.32,3989
police,3.36,1802,0.98,866
polish,4.55,1748,1.12,1263
polite,3.94,1895,1.08,1110
polka,4.94,2036,1.38,2057
pollen,4.85,2186,1.32,2796
polo,4.76,2304,1.23,1595
poncho,4.76,2120,1.30,1896
ponder,5.48,1598,1.12,910
pony,2.76,1679,0.92,841
poodle,3.61,1834,1.22,918
poppy,5.24,2624,1.43,1931
porridge,5.09,2035,1.63,1486
portal,5.36,2048,1.19,1679
portion,5.03,1851,1.12,1197
portrait,4.76,1886,1.25,1263
portray,5.45,1861,0.94,2109
posse,5.79,2109,1.09,1273
possess,5.39,1883,1.08,1146
possum,4.36,2209,1.44,1740
postal,5.00,1884,1.32,1263
poster,4.03,2973,1.08,3528
posture,4.73,1855,1.04,899
potent,5.70,1278,0.98,779
potion,4.79,2521,1.13,3429
potty,2.64,2610,1.65,2344
poultry,5.15,2141,1.09,1518
powder,4.15,1675,1.30,1023
power,3.82,2372,0.98,2327
practice,3.97,2378,1.12,1463
prairie,4.39,1937,1.14,1106
precinct,6.00,1696,0.93,1045
precious,4.48,2321,1.21,2335
precise,5.52,2810,1.12,3131
predict,4.97,2548,0.94,3195
preface,5.52,1683,1.31,772
prefer,4.85,3182,0.95,6597
pregnant,4.36,2014,1.57,1046
prelude,5.88,1501,1.11,897
premier,5.18,2423,1.21,2076
premise,5.88,2214,0.95,2297
prepare,4.67,2179,1.26,2100
presence,5.21,2467,0.94,2539
present,3.24,2081,1.58,1622
preserve,5.45,1896,0.94,1230
preserves,5.58,1854,1.24,1225
pressure,4.64,2320,0.87,2586
prestige,5.88,1824,1.01,1509
presto,5.48,1647,1.38,1009
presume,5.76,1898,1.05,1065
pretend,3.52,2927,1.18,5495
pretty,3.36,1919,1.37,1458
pretzel,3.24,1781,1.29,1484
prevail,5.67,1255,1.17,699
prevent,4.94,2231,1.15,1671
prima,6.03,1718,0.94,1261
primal,5.79,1574,1.12,1081
primate,5.12,1899,1.33,1318
princess,2.67,1888,1.11,732
prior,5.18,1997,1.00,1415
prism,5.39,1978,1.05,1145
prison,4.30,1971,0.98,1758
pristine,6.03,1565,0.91,1806
private,4.21,2448,1.18,1599
privilege,4.67,2481,1.15,3572
privy,6.33,2028,0.76,2409
problem,3.76,2479,1.16,3386
proceed,5.06,2051,1.07,1830
process,4.79,1970,0.98,1358
proclaim,5.52,2094,1.23,1861
produce,4.76,1754,1.06,1223
product,4.73,1594,1.13,847
profane,5.64,1669,1.23,1424
profile,4.97,1750,0.98,1108
profit,5.45,1446,1.04,856
profound,5.79,2231,1.00,4025
program,4.61,1752,1.05,960
progress,4.85,2434,1.05,2745
project,4.12,1897,0.95,1829
promise,3.79,1865,1.12,1207
promo,5.55,1908,1.28,1358
promote,5.45,1875,1.01,1941
pronounce,5.00,1882,1.35,1495
pronto,5.00,1700,1.35,774
propane,5.42,1651,1.39,749
proper,4.70,2391,1.32,2441
prospect,5.76,2291,1.11,1929
prosper,5.48,2301,1.15,2771
prostate,6.24,1738,0.95,776
protect,4.42,2244,1.05,2865
protein,5.18,1754,1.26,1044
protest,5.30,1711,1.05,1243
proverb,5.03,2191,1.49,2213
provide,4.73,1777,0.71,1113
province,5.67,1940,1.22,1540
provoke,5.55,1547,1.28,798
provost,6.24,1937,0.98,1903
prowess,6.12,1826,1.06,1901
proxy,6.24,1383,0.88,740
prudent,5.91,1479,1.06,844
psychic,5.33,1738,1.14,972
psycho,5.06,2259,1.13,3406
public,4.24,1864,1.16,1594
publish,4.97,2136,0.91,1565
pudding,3.27,1909,1.41,1264
puddle,3.52,1726,1.10,666
pudgy,5.03,1616,1.65,1054
pulpit,5.61,1649,1.31,785
pulsar,6.27,1670,0.92,1625
pumpkin,2.97,1751,1.41,806
puncture,5.39,3222,1.27,5852
punish,3.94,1815,1.29,1422
puny,5.42,1806,1.27,1277
pupil,4.91,1732,1.22,974
puppet,3.18,1712,1.28,967
puppy,2.52,1559,1.04,646
purchase,4.52,2097,0.87,1947
purple,2.76,2308,0.99,2422
purpose,4.67,1985,0.93,1794
pursue,5.27,1740,0.95,1389
pursuit,5.24,1643,1.24,975
putrid,5.82,1448,1.02,1038
putty,4.12,2447,1.44,2419
puzzle,3.39,2045,1.14,1182
pygmy,6.18,1484,1.07,583
pylon,6.30,2040,1.02,2335
python,4.55,2053,1.53,2215
quadrant,5.94,1711,1.13,1141
quantum,6.24,1353,0.84,945
quarrel,5.45,2344,1.34,3458
quarry,6.03,1432,1.24,607
quarter,3.45,1938,1.19,1518
quartet,5.82,2458,1.08,2190
queasy,5.24,1705,1.32,1436
query,6.03,1407,1.10,1158
question,3.39,1776,0.95,1050
quibble,5.97,1902,1.25,1967
quiet,2.91,2291,1.11,1925
quinine,6.39,1986,0.87,1629
quota,5.67,2167,1.19,2764
rabbi,5.39,1920,1.24,1049
rabbit,2.88,1685,1.26,1187
rabble,5.76,1357,1.24,583
rabid,5.70,3119,1.31,7690
raccoon,3.33,1798,1.13,1008
racket,4.79,1841,1.13,969
racy,5.55,2051,1.33,1702
radish,4.70,2036,1.37,951
raffle,4.61,1907,1.08,1378
rainbow,2.88,1759,0.93,1010
raisin,3.33,2582,1.27,4761
rally,5.24,1486,1.10,793
ramble,4.85,2124,1.19,2867
rampage,5.36,1916,1.11,3077
rampant,5.88,1725,1.05,1714
rampart,6.03,2092,1.10,2692
random,4.67,2040,1.00,1315
ransom,5.48,1786,1.07,2128
rapid,4.85,1616,1.30,1040
rapids,4.97,1703,1.29,801
rapport,6.09,1381,1.05,645
rapture,5.88,1924,1.11,1344
rascal,4.39,1925,1.34,2650
ratchet,5.73,2040,1.28,1848
rather,4.61,1865,1.02,1733
ration,5.58,1929,1.16,1578
rattle,3.45,2110,1.08,1230
ravage,5.36,1594,1.19,1309
raven,4.58,2987,1.55,4067
ravine,5.73,1663,1.00,923
razor,4.61,1793,1.16,1254
ready,3.55,1674,1.31,823
really,3.45,1946,1.34,1463
reason,4.18,1859,1.23,1164
rebel,5.18,2090,1.10,1716
reboot,5.48,1974,1.15,1466
recall,5.24,1508,1.16,988
recant,5.85,1658,1.38,1190
recap,5.48,1923,1.15,1833
receipt,4.73,2365,1.16,1751
receive,4.45,2175,1.04,1937
recent,4.52,2423,1.18,2658
recess,3.39,2399,1.05,1272
reckon,5.36,2932,1.32,7540
recluse,5.88,2526,1.19,3511
record,4.55,1990,1.12,1381
recourse,6.24,1864,0.91,1497
recruit,5.52,2095,1.00,1835
redeem,5.42,1687,1.07,1351
reduce,4.97,2575,1.04,2931
reefer,5.97,1677,1.17,1197
refer,5.00,2327,0.95,2953
reflect,4.79,2151,1.37,1684
reflex,4.88,2102,1.20,1431
refrain,5.45,2183,0.98,1964
refuge,5.55,2131,1.05,1533
refund,5.15,2573,1.03,3503
refuse,4.27,2287,1.10,2583
refute,5.97,1468,1.17,762
regal,5.82,1664,1.32,1098
regard,4.94,2137,1.17,2761
regent,5.70,1874,1.36,2016
reggae,5.88,1963,1.16,1902
regime,5.82,1892,1.14,1892
region,4.97,1995,1.04,1232
regret,5.21,1996,1.07,1487
rehab,5.64,1902,0.93,1316
rehearse,4.79,2223,1.08,1779
reindeer,3.09,1967,1.28,834
reject,4.52,1985,1.10,1857
rejoice,4.82,1916,1.23,1228
relapse,5.70,2056,1.10,2554
relate,4.70,1693,1.14,906
relay,4.82,2399,1.20,2058
release,4.64,2115,1.16,1944
relic,5.73,1582,1.38,738
relief,4.82,4135,0.90,12864
relieve,5.03,1733,1.12,1000
relish,5.00,1999,1.35,1309
rely,4.91,1645,1.24,894
remain,4.67,1827,1.15,1509
remark,4.79,2195,1.05,1907
remind,4.33,1731,1.08,1377
remiss,5.85,1680,1.18,1311
remote,3.91,2118,1.12,1425
remove,4.24,1574,1.26,1105
render,5.88,2308,1.13,2883
renounce,6.09,1444,0.85,860
rental,4.45,3033,1.19,4855
repair,4.39,2175,1.08,1800
repeat,4.48,2730,1.04,4592
repel,5.39,1895,1.32,1375
repent,5.36,1717,1.52,992
replace,4.58,2376,1.05,2778
reply,4.24,1804,1.18,1316
report,4.67,3002,1.09,7002
repose,5.85,2531,1.12,3896
reprieve,5.91,1940,1.12,1738
reptile,3.91,1582,1.15,987
request,4.91,2263,1.08,2969
require,5.06,1762,0.94,1588
rescind,6.27,2354,0.84,2658
rescue,4.18,2111,1.09,1883
research,4.91,2110,1.05,1726
resent,5.30,1787,1.14,1240
reserve,5.15,2503,0.97,2689
resign,5.70,1503,1.21,690
resin,6.06,2436,1.02,5214
resist,4.70,1692,1.19,1161
resolve,5.15,1450,0.90,709
resort,4.94,1993,1.15,1347
resource,4.82,1747,0.93,989
respect,4.12,1706,1.27,1111
respond,4.48,1949,1.01,1749
response,4.79,2342,0.91,2888
restore,4.94,2257,1.12,1883
restrain,5.30,2105,1.08,2162
restraint,5.39,2079,1.39,1786
restrict,5.00,2378,1.05,2368
result,4.67,2400,1.09,2711
retail,5.24,1649,1.01,1176
retain,5.15,2186,1.35,1545
retire,5.30,2650,1.02,4286
retract,5.48,2518,1.15,3112
retreat,5.12,2407,1.30,2648
retrieve,5.18,1851,1.10,2052
return,4.09,1682,0.87,1692
reuben,5.85,2569,1.09,4206
reveal,5.03,1447,1.09,689
revel,5.67,1491,1.02,703
revenge,4.64,1667,1.26,1112
revere,5.91,2329,1.15,1745
reverse,4.45,2034,1.27,1648
revert,5.58,1658,1.34,1322
review,4.61,1894,1.19,2001
revise,5.06,1704,1.07,1081
revive,5.27,1994,1.13,1411
revoke,5.52,2065,1.03,1871
revolt,5.24,1607,1.24,961
revue,6.15,1761,0.87,976
reward,4.09,2319,1.43,3311
rhino,3.21,1723,1.12,892
rhubarb,5.21,1569,1.50,870
rhythm,4.39,1626,1.16,910
ribbon,3.85,1683,1.23,980
riddle,4.12,2176,1.32,1792
riffraff,5.91,1519,1.28,676
rigor,6.09,1212,1.05,516
ripple,5.24,1837,1.01,1055
rival,5.21,1812,1.07,1104
river,3.39,1869,1.05,1764
robin,3.64,1845,1.22,1079
robot,3.82,2168,1.22,1375
robust,5.70,1662,1.13,1181
rocket,3.58,1999,1.45,1501
rodent,4.45,1661,1.21,926
romance,4.79,2256,1.24,2207
rookie,5.03,1594,1.15,752
rooster,3.55,2123,1.38,3271
roster,4.55,2491,1.64,2288
rotate,4.48,1832,1.31,1238
rotten,4.15,1910,1.14,1392
roulette,6.15,1651,1.04,934
routine,4.82,2954,1.28,5248
rowdy,4.70,1853,1.05,1550
royal,4.36,1746,1.22,1209
rubber,3.91,3642,1.15,6092
rubbish,5.48,1863,0.90,1156
rubble,5.03,1543,1.23,753
ruby,4.58,2021,1.46,1021
ruckus,5.24,1731,1.36,946
rudder,5.79,1945,1.20,2021
ruffle,4.97,2184,1.10,1894
rugby,5.00,1650,1.32,1024
rugged,5.30,2040,1.24,1484
ruin,4.30,1917,1.46,1235
rumba,6.15,1838,1.00,1309
rumble,4.76,1970,1.30,1475
rummage,5.12,2284,1.17,2595
rummy,5.82,1756,1.46,1697
rumor,4.61,1768,1.32,1070
rumour,5.21,2059,1.18,2183
rupture,5.64,2182,0.93,3161
rural,4.85,2583,1.08,2565
rustic,5.88,1871,1.13,2175
rustle,5.33,4014,1.08,12645
saber,5.67,2871,1.05,5100
sable,5.94,1678,1.04,1127
sacred,4.39,2694,1.52,2456
saddle,4.21,1778,0.97,1076
sadist,5.61,2504,1.48,3948
saffron,6.09,1744,1.08,1617
saga,5.79,1787,1.23,1366
salad,3.55,1690,1.04,790
saline,5.94,1686,1.10,767
salmon,4.24,1818,1.21,763
salon,4.61,1934,1.11,1448
saloon,5.06,1726,1.01,941
salsa,4.09,1992,1.26,1606
salute,5.09,1591,1.32,868
salvage,5.76,1945,1.05,1967
sample,4.30,2136,1.19,2254
sanction,5.88,1956,1.05,1689
sanctum,6.24,1624,0.95,1302
sandwich,2.88,2737,1.15,3025
sapphire,5.48,1752,1.31,1366
sardine,5.18,2458,1.21,5141
satchel,5.88,1570,1.24,931
satin,4.94,2505,1.23,3455
satire,5.97,1559,0.95,960
saucer,5.18,2122,1.33,1460
sauna,5.24,1541,1.10,1123
sausage,3.64,1677,1.22,747
savage,5.18,2293,1.29,2367
savior,4.79,1863,1.50,1757
