word_english,aoa_M,RT_M,aoa_SD,RT_SD
awoke,4.55,2354,1.42,2032
awry,5.97,1715,1.02,1257
axis,5.58,2064,1.02,1669
axle,4.91,1542,1.34,865
babble,4.91,2455,1.27,2172
baboon,4.03,1855,1.39,889
baby,2.58,1926,1.26,1287
backward,3.85,2071,1.06,2636
bacon,3.12,1633,1.07,837
bagel,3.73,2232,1.11,2483
baggage,4.82,1949,1.06,1482
bailiff,5.88,1518,1.16,1034
balance,4.06,1818,1.23,1303
ballad,5.36,2023,1.48,2753
ballast,6.03,1672,1.07,991
ballet,3.76,1779,1.21,860
balloon,2.61,2562,1.18,2187
ballot,5.06,2065,1.39,1354
bamboo,4.55,1804,1.26,965
bandage,3.79,2159,1.12,2419
bandit,4.85,2143,1.34,2524
banish,5.39,1774,1.01,1689
banjo,4.39,2020,1.32,1765
bankrupt,5.45,1963,1.24,1169
banner,4.64,1740,0.94,1271
banquet,5.09,1764,0.98,942
banshee,5.85,2437,1.15,2569
banter,5.97,1915,0.99,1866
baptize,4.24,2026,1.41,978
barber,4.18,1661,1.26,681
barely,4.61,2360,1.16,2374
bargain,5.12,2382,1.05,4062
barley,5.30,1912,1.29,931
barrage,5.97,1615,1.11,787
barrel,4.61,1676,1.27,692
barren,5.55,1607,1.40,1337
barter,5.79,1841,1.03,1252
baseball,3.18,1505,0.89,736
basement,3.24,1848,1.12,1104
bashful,4.79,1847,1.19,1334
basic,4.12,1691,1.08,767
basil,5.39,3145,1.13,7183
basin,5.42,1866,1.24,1374
basis,5.06,1769,1.26,1017
basket,3.61,2043,1.08,1992
bastard,5.58,2123,1.16,1284
bathroom,2.64,3064,0.96,6109
baton,5.33,2309,1.39,3157
battle,4.21,2277,1.15,2129
batty,5.42,1676,1.46,907
bayou,6.15,2349,1.07,2703
bazaar,5.39,1985,1.19,1132
beacon,5.48,2155,1.43,1946
beanie,4.61,2473,1.46,2090
beatnik,6.12,1882,1.45,1308
beauty,3.64,1753,1.05,1529
beaver,3.18,1690,1.02,732
because,3.52,2128,1.16,1824
become,3.91,1507,1.09,761
bedlam,6.36,1614,0.84,797
bedroom,2.52,2082,0.87,1069
beetle,3.39,1688,1.02,572
befall,5.82,2011,1.19,1693
before,3.36,1432,0.88,717
beggar,4.67,2080,1.26,2827
begin,3.58,1595,0.86,832
behalf,5.30,1757,1.34,1720
behave,3.97,2459,1.67,2774
behind,3.70,2108,1.26,2088
behold,5.03,2317,1.28,2249
being,3.61,2367,1.02,2649
belief,4.15,2140,1.30,1860
believe,3.97,1922,1.09,1638
belly,2.73,1932,1.42,1585
belong,4.12,1686,1.05,737
below,3.64,1755,1.14,1418
beneath,4.64,1759,1.29,1074
benign,6.12,1596,1.18,1119
