unigram,unigram_freq
позаду,3806
настав,3804
іншу,3801
скаже,3797
пісню,3796
залиш,3794
стосується,3794
забери,3790
різні,3783
чуєте,3783
останнім,3782
стану,3779
залишилося,3779
дехто,3767
была,3765
спробую,3764
начхати,3760
едді,3759
слів,3753
році,3752
готово,3751
этого,3749
суд,3739
належить,3733
джонні,3732
погана,3732
вибору,3729
бос,3728
знак,3726
ліки,3725
кімната,3723
готель,3714
наказ,3713
ничего,3711
прийняти,3705
йдуть,3703
музику,3699
кудись,3697
грає,3690
ліжко,3688
сигнал,3684
йoгo,3684
кави,3683
её,3681
забрав,3678
божевілля,3677
взяла,3670
випадку,3668
мой,3668
любив,3667
обоє,3666
якраз,3665
дружиною,3665
прикро,3665
вмію,3664
ситуація,3657
алекс,3654
знаешь,3653
список,3652
домі,3651
запитати,3651
класно,3651
алe,3650
дзвінок,3642
велике,3639
знищити,3635
даруйте,3635
документи,3629
брехня,3625
такої,3620
суду,3620
дані,3620
девід,3618
найкраща,3618
фбр,3612
чекав,3603
участь,3601
інформацію,3599
пісня,3597
третій,3594
речей,3594
чимось,3592
справі,3592
центр,3590
йорк,3588
роль,3587
справжнє,3585
знайомі,3584
запах,3584
поле,3578
жартую,3574
забрали,3574
код,3574
кращий,3572
країни,3572
зажди,3572
вище,3571
убити,3569
черга,3562
повний,3556
працюєш,3556
віддати,3552
попереду,3552
декілька,3547
починається,3546
телефону,3546
вбивця,3546
довіряти,3546
якусь,3540
дякуємо,3538
їжа,3537
вбивства,3536
стоїть,3533
лікаря,3533
член,3532
зрозуміли,3532
дозволити,3531
дітьми,3528
боїшся,3520
метрів,3515
болить,3515
сестри,3514
справ,3514
книгу,3510
врятував,3510
імені,3509
вашим,3509
повертайся,3506
учора,3494
виходь,3491
жив,3489
хлопцем,3488
рук,3484
припиніть,3483
могло,3480
побачила,3476
стійте,3474
доля,3472
отримали,3472
сподіваюсь,3460
вийшла,3451
тримайте,3449
іншими,3446
нашій,3444
этом,3442
таксі,3441
двічі,3441
почув,3440
помре,3431
чорний,3430
раді,3429
жива,3428
жодної,3427
слухати,3426
клуб,3425
човен,3422
дитини,3419
ліворуч,3416
почуваюся,3416
головою,3415
потрапити,3412
остання,3405
смачно,3404
зняти,3404
татом,3393
година,3387
пів,3387
щаслива,3385
мозок,3383
чекають,3382
збираєшся,3378
божевільний,3376
угоду,3374
д,3368
зброї,3367
клятий,3363
понад,3362
помітив,3358
теперь,3358
пара,3357
курва,3354
погані,3353
почала,3351
бен,3347
тій,3347
убив,3347
спить,3345
рівень,3342
жах,3342
продовжуй,3336
здоров'я,3334
клер,3332
кейт,3330
їжі,3327
щe,3322
праворуч,3321
стара,3320
пес,3318
батьку,3317
розум,3312
повернулася,3307
їхній,3305
допоміг,3305
вікно,3302
вітаємо,3301
джейн,3300
звук,3294
країні,3293
